,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,MILITARY SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
AERS-403-502,13,4,0,0,0,17,3.764,0,0,0,0,0,17,COLLINS T
,76.47%,23.53%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-403-504,19,4,0,0,0,23,3.826,0,0,0,0,0,23,COLLINS T
,82.61%,17.39%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,52,12,0,0,0,64,3.812,0,0,0,0,0,64,
,81.25%,18.75%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,555,98,5,3,3,664,3.814,0,0,0,1,0,665,
,83.58%,14.76%,0.75%,0.45%,0.45%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,MILITARY SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,"COMMANDANT, CORPS OF CADETS",,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
SOMS-111-502,30,5,5,3,1,44,3.363,0,0,0,0,0,44,VELA C
,68.18%,11.36%,11.36%,6.82%,2.27%,,,,,,,,,
SOMS-111-503,24,6,6,0,2,38,3.315,0,0,0,2,0,40,VELA C
,63.16%,15.79%,15.79%,0.00%,5.26%,,,,,,,,,
SOMS-111-504,30,7,1,2,3,43,3.372,0,0,0,0,0,43,VELA C
