,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,121,169,87,42,3,422,2.86,0,0,0,35,0,457,
,28.67%,40.05%,20.62%,9.95%,0.71%,,,,,,,,,
ACCT-327-501,7,14,10,4,0,35,2.685,0,0,0,8,0,43,BLASOR T
,20.00%,40.00%,28.57%,11.43%,0.00%,,,,,,,,,
ACCT-327-502,8,18,6,3,0,35,2.885,0,0,0,4,0,39,BLASOR T
,22.86%,51.43%,17.14%,8.57%,0.00%,,,,,,,,,
ACCT-327-503,7,17,12,0,1,37,2.783,0,0,0,3,0,40,BLASOR T
,18.92%,45.95%,32.43%,0.00%,2.70%,,,,,,,,,
ACCT-327-504,9,13,7,3,0,32,2.875,0,0,0,12,0,44,LARKIN R
,28.13%,40.63%,21.88%,9.38%,0.00%,,,,,,,,,
ACCT-327-505,13,11,10,0,0,34,3.088,0,0,0,7,0,41,LARKIN R
,38.24%,32.35%,29.41%,0.00%,0.00%,,,,,,,,,
ACCT-327-506,6,18,7,2,0,33,2.848,0,0,0,9,0,42,LARKIN R
,18.18%,54.55%,21.21%,6.06%,0.00%,,,,,,,,,
ACCT-327-507,4,9,16,1,1,31,2.451,0,0,0,12,0,43,LARKIN R
,12.90%,29.03%,51.61%,3.23%,3.23%,,,,,,,,,
ACCT-327-508,10,12,7,1,1,31,2.935,0,0,0,4,0,35,KOLASINSKI A
,32.26%,38.71%,22.58%,3.23%,3.23%,,,,,,,,,
ACCT-327-509,10,14,11,4,0,39,2.769,0,0,0,3,0,42,SHARP N
