SECTION,A,c,B,e,C,g,D,i,F,k,A_2,- F,n,GPR,p,I,r,s,S,u,v,U,x,Q,z,aa,bb,X,dd,ee,TOTAL,INSTRUCTOR,hh,ii
SECTION,A,,B,,C,,D,,F,,A,- F,,GPR,,I,,,S,,,U,,,Q,,,X,,,TOTAL,,INSTRUCTOR,
ANTH-225-599,4,,11,,16,,10,,3,,,44,,2.068,,,True,,,False,,,False,,,10,,,False,,55,,GURSKY-DOYEN S,
,0.0909,,0.25,,0.3636,,0.2273,,0.0682,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,24,,23,,11,,3,,,75,,2.467,,,True,,,False,,,False,,,13,,,False,,89,,,
,0.1867,,0.32,,0.3067,,0.1467,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-501,10,,3,,2,,0,,0,,,15,,3.533,,,False,,,False,,,False,,,0,,,False,,15,,CANTERBURY J,
,0.6667,,0.2,,0.1333,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-502,3,,6,,3,,0,,0,,,12,,3.0,,,False,,,False,,,False,,,0,,,False,,12,,GREENFELDER M,
,0.25,,0.5,,0.25,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-599            3,,6,,4,,1,,1,,15,,,2.6,,True,,,False,,,False,,,0,,,False,,,16,,GURSKY-DOYEN,,S
0.2,,0.4,,0.2667,,0.0667,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      16,,15,,9,,1,,1,,42,,,3.048,,True,,,False,,,False,,,0,,,False,,,43,,,,
0.381,,0.3571,,0.2143,,0.0238,,0.0238,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-229-500            6,,7,,8,,2,,0,,23,,,2.739,,False,,,False,,,False,,,1,,,False,,,24,,GREEN T,,
0.2609,,0.3043,,0.3478,,0.087,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:       6,,7,,8,,2,,0,,23,,,2.739,,False,,,False,,,False,,,1,,,False,,,24,,,,
0.2609,,0.3043,,0.3478,,0.087,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-301-500            0,,8,,8,,2,,1,,19,,,2.21,,False,,,False,,,False,,,4,,,False,,,23,,THOMS A,,
0.0,,0.4211,,0.4211,,0.1053,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:       0,,8,,8,,2,,1,,19,,,2.211,,False,,,False,,,False,,,4,,,False,,,23,,,,
0.0,,0.4211,,0.4211,,0.1053,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-305-900           12,,6,,1,,0,,0,,19,,,3.579,,False,,,False,,,False,,,1,,,False,,,20,,HODGES S,,
0.6316,,0.3158,,0.0526,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      12,,6,,1,,0,,0,,19,,,3.579,,False,,,False,,,False,,,1,,,False,,,20,,,,
0.6316,,0.3158,,0.0526,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
