SECTION,b,c,A,e,f,B,h,i,C,k,l,D,n,F,p,A_2,- F,s,t,GPA,v,I,x,y,S,aa,bb,U,dd,ee,Q,gg,hh,X,jj,kk,TOTAL,mm,INSTRUCTOR,oo,pp,qq,rr
,,0.129,,,0.371,,,0.2581,,,0.2258,,,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,,23,,,16,,,14,,,1,,,62,,2.37,,,,False,,,0,,,False,,5,,,,True,,68,,,,,,
,,0.129,,,0.371,,,0.2581,,,0.2258,,,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-501,,15,,,1,,,2,,,0,,,0,,,18,,3.722,,,,False,,,0,,,False,,0,,,,False,,18,IZZO V,,,,,
,,0.8333,,,0.0556,,,0.1111,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-502,,11,,,5,,,1,,,0,,,0,,,17,,3.588,,,,False,,,0,,,False,,0,,,,False,,17,GANDARILLA M,,,,,
,,0.6471,,,0.2941,,,0.0588,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,,6,,,3,,,0,,,0,,,35,,3.657,,,,False,,,0,,,False,,0,,,,False,,35,,,,,,
,,0.7429,,,0.1714,,,0.0857,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-229-500,,6,,,11,,,7,,,1,,,0,,,25,,2.88,,,,False,,,0,,,False,,1,,,,False,,26,GREEN T,,,,,
,,0.24,,,0.44,,,0.28,,,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,,11,,,7,,,1,,,0,,,25,,2.88,,,,False,,,0,,,False,,1,,,,False,,26,,,,,,
,,0.24,,,0.44,,,0.28,,,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-300-500,,12,,,5,,,1,,,0,,,1,,,19,,3.421,,,,False,,,0,,,False,,0,,,,False,,19,LYNCH D,,,,,
,,0.6316,,,0.2632,,,0.0526,,,0.0,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
