SECTION,A       B        C       D,c,d,e,f,g,h,i,j,F      A - F,l,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,cc,dd,X    TOTAL,ff,gg,hh,ii,jj,INSTRUCTOR,ll,mm,nn
ANTH-205-902,,,15,,8,,1,,0,,,0,,,24,,,3.583,,0,,,,False,,,False,,,1,,0,,,25,,LAPORTE C,,
,,,0.625,,0.3333,,0.0417,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-903,,,23,,1,,0,,1,,,0,,,25,,,3.84,,0,,,,False,,,False,,,0,,0,,,25,,LAPORTE C,,
,,,0.92,,0.04,,0.0,,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-904,,,24,,0,,0,,0,,,0,,,24,,,4.0,,0,,,,False,,,False,,,1,,0,,,25,,LAPORTE C,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,,TOTAL,,,INSTRUCTOR,
ANTH-205-905,,,20,,4,,1,,0,,,0,,,25,,,3.76,,0,,,,False,,,False,0,,,,,False,,25,,,LAPORTE C,
,,,0.8,,0.16,,0.04,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-906,,,20,,3,,0,,0,,,0,,,23,,,3.869,,0,,,,False,,,False,0,,,,,False,,23,,,LAPORTE C,
,,,0.8696,,0.1304,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-907,,,19,,3,,1,,1,,,0,,,24,,,3.666,,0,,,,False,,,False,0,,,,,False,,24,,,LAPORTE C,
,,,0.7917,,0.125,,0.0417,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-908,,,19,,4,,0,,0,,,0,,,23,,,3.826,,0,,,,False,,,False,0,,,,,False,,23,,,LAPORTE C,
,,,0.8261,,0.1739,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,634,,370,,128,,35,,,10,,,1177,,,3.344,,0,,,,False,,,False,27,,,,,False,,1204,,,,
,,,0.5387,,0.3144,,0.1088,,0.0297,,,0.0085,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-501,,,16,,23,,6,,1,,,0,,,46,,,3.173,,0,,,,False,,,False,1,,,,,False,,47,,,HOPKINS A,
,,,0.3478,,0.5,,0.1304,,0.0217,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-502,,,26,,60,,30,,6,,,2,,,124,,,2.822,,0,,,,False,,,False,0,,,,,False,,124,,,WINKING J,
,,,0.2097,,0.4839,,0.2419,,0.0484,,,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,42,,83,,36,,7,,,2,,,170,,,2.917,,0,,,,False,,,False,1,,,,,False,,171,,,,
,,,0.2471,,0.4882,,0.2118,,0.0412,,,0.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-500,,,13,,40,,41,,16,,,6,,,116,,,2.327,,0,,,,False,,,False,16,,,,,False,,132,,,DE RUITER D,
,,,0.1121,,0.3448,,0.3534,,0.1379,,,0.0517,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,13,,40,,41,,16,,,6,,,116,,,2.327,,0,,,,False,,,False,16,,,,,False,,132,,,,
,,,0.1121,,0.3448,,0.3534,,0.1379,,,0.0517,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-501,,,4,,2,,3,,0,,,0,,,9,,,3.111,,0,,,,False,,,False,0,,,,,False,,9,,,CANTERBURY J,
,,,0.4444,,0.2222,,0.3333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-502,,,4,,6,,4,,1,,,0,,,15,,,2.866,,0,,,,False,,,False,0,,,,,False,,15,,,HOFFMEISTER K,
,,,0.2667,,0.4,,0.2667,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-503,,,5,,10,,1,,0,,,1,,,17,,,3.058,,0,,,,False,,,False,0,,,,,False,,17,,,HOFFMEISTER K,
,,,0.2941,,0.5882,,0.0588,,0.0,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,
