SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,INSTRUCTOR,ll,mm,nn
,,0.3412,,0.4118,,0.1882,,0.0588,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-501,,2,,3,,0,,1,,,0,,,6,,,3.0,,0,,,,False,,,False,0,,,,,False,,6,,KIM H,,,
,,0.3333,,0.5,,0.0,,0.1667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-502,,3,,3,,0,,0,,,0,,,6,,,3.5,,0,,,,False,,,False,0,,,,,False,,6,,CUELLO DEL,POZO,P,
,,0.5,,0.5,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,,,
ANTH-226-503,,14,,1,,0,,1,,,0,,16,,,,3.75,,1,,,0,,,0,,,1,,,0,,,18,,IZZO V,,,
,,0.875,,0.0625,,0.0,,0.0625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,7,,0,,2,,,0,,28,,,,3.535,,1,,,0,,,0,,,1,,,0,,,30,,,,,
,,0.6786,,0.25,,0.0,,0.0714,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-301-900,,2,,11,,4,,1,,,0,,18,,,,2.777,,0,,,0,,,0,,,1,,,0,,,19,,THOMS A,,,
,,0.1111,,0.6111,,0.2222,,0.0556,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,2,,11,,4,,1,,,0,,18,,,,2.777,,0,,,0,,,0,,,1,,,0,,,19,,,,,
,,0.1111,,0.6111,,0.2222,,0.0556,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-305-900,,13,,5,,0,,0,,,1,,19,,,,3.526,,0,,,0,,,0,,,1,,,0,,,20,,LINDERHOLM A,,,
,,0.6842,,0.2632,,0.0,,0.0,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,5,,0,,0,,,1,,19,,,,3.526,,0,,,0,,,0,,,1,,,0,,,20,,,,,
,,0.6842,,0.2632,,0.0,,0.0,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-312-500,,14,,10,,0,,0,,,0,,24,,,,3.583,,0,,,0,,,0,,,0,,,0,,,24,,PRANG T,,,
,,0.5833,,0.4167,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,10,,0,,0,,,0,,24,,,,3.583,,0,,,0,,,0,,,0,,,0,,,24,,,,,
,,0.5833,,0.4167,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-313-500,,12,,9,,5,,1,,,2,,29,,,,2.965,,0,,,0,,,0,,,3,,,0,,,32,,KENNEDY C,,,
,,0.4138,,0.3103,,0.1724,,0.0345,,,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,9,,5,,1,,,2,,29,,,,2.965,,0,,,0,,,0,,,3,,,0,,,32,,,,,
,,0.4138,,0.3103,,0.1724,,0.0345,,,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-316-501,,28,,17,,11,,3,,,0,,59,,,,3.186,,0,,,0,,,0,,,5,,,0,,,64,,PULAK C,,,
,,0.4746,,0.2881,,0.1864,,0.0508,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,28,,17,,11,,3,,,0,,59,,,,3.186,,0,,,0,,,0,,,5,,,0,,,64,,,,,
,,0.4746,,0.2881,,0.1864,,0.0508,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
