SEYMORE M,2.15%,5.38% 13.98% 15.05% 33.33%,,,9.68%,7.53%,9.68%,3.23%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,10,19,24,58,22,12,15,3,0,0,0,0,166,2.996,0,0,0,166
,1.81%,6.02% 11.45% 14.46% 34.94% 13.25%,7.23%,9.04%,1.81%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7091-601,2,4,5,4,8,5,3,4,1,1,0,0,0,37,3,0,0,0,37
FORTNEY S,5.41% 10.81% 13.51% 10.81% 21.62% 13.51%,,,,,8.11% 10.81%,2.70%,2.70%,0.00%,0.00%,0.00%,,,,,,,
LAW-7091-602,0,2,6,10,6,8,3,2,3,0,0,0,0,40,2.967,0,0,0,40
MARKOVIC M,0.00%,5.00% 15.00% 25.00% 15.00% 20.00%,7.50%,5.00%,7.50%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,6,11,14,14,13,6,6,4,1,0,0,0,77,2.983,0,0,0,77
,2.60%,7.79% 14.29% 18.18% 18.18% 16.88%,7.79%,7.79%,5.19%,1.30%,0.00%,0.00%,0.00%,,,,,,,
LAW-7104-601,0,3,3,3,8,8,4,0,0,0,0,0,0,29,3.023,0,3,0,32
HARRINGTON M,0.00% 10.34% 10.34% 10.34% 27.59% 27.59% 13.79%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,3,3,3,8,8,4,0,0,0,0,0,0,29,3.023,0,3,0,32
,0.00% 10.34% 10.34% 10.34% 27.59% 27.59% 13.79%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2016,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7108-601,0,2,3,6,8,2,0,1,2,0,1,0,0,25,2.986,0,2,0,27
JOHNSON J,0.00%,8.00% 12.00% 24.00% 32.00%,,,8.00%,0.00%,4.00%,8.00%,0.00%,4.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,3,6,8,2,0,1,2,0,1,0,0,25,2.986,0,2,0,27
,0.00%,8.00% 12.00% 24.00% 32.00%,,,8.00%,0.00%,4.00%,8.00%,0.00%,4.00%,0.00%,0.00%,,,,,,,
LAW-7113-601,1,2,5,2,2,3,4,0,0,0,0,0,0,19,3.176,0,5,0,24
PHAM L,5.26% 10.53% 26.32% 10.53% 10.53% 15.79% 21.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,2,5,2,2,3,4,0,0,0,0,0,0,19,3.176,0,5,0,24
,5.26% 10.53% 26.32% 10.53% 10.53% 15.79% 21.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7145-601,0,1,4,3,2,4,1,1,0,0,0,0,0,16,3.105,0,7,0,23
BARNES W,0.00%,6.25% 25.00% 18.75% 12.50% 25.00%,6.25%,6.25%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,4,3,2,4,1,1,0,0,0,0,0,16,3.105,0,7,0,23
,0.00%,6.25% 25.00% 18.75% 12.50% 25.00%,6.25%,6.25%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7174-601,0,1,1,6,7,8,1,0,0,0,0,0,0,24,3.014,0,10,0,34
HELGE T,0.00%,4.17%,4.17% 25.00% 29.17% 33.33%,4.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,1,6,7,8,1,0,0,0,0,0,0,24,3.014,0,10,0,34
,0.00%,4.17%,4.17% 25.00% 29.17% 33.33%,4.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7227-601,1,4,1,0,3,1,0,1,0,0,0,0,0,11,3.395,0,2,0,13
DRYDEN J,9.09% 36.36%,,9.09%,0.00% 27.27%,9.09%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,4,1,0,3,1,0,1,0,0,0,0,0,11,3.395,0,2,0,13
,9.09% 36.36%,,9.09%,0.00% 27.27%,9.09%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7260-601,0,3,3,7,3,4,4,0,0,0,0,0,0,24,3.138,0,7,0,31
GREEN M,0.00% 12.50% 12.50% 29.17% 12.50% 16.67% 16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,3,3,7,3,4,4,0,0,0,0,0,0,24,3.138,0,7,0,31
,0.00% 12.50% 12.50% 29.17% 12.50% 16.67% 16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2016,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7262-601,0,1,2,3,1,1,1,0,0,0,0,0,0,9,3.258,0,1,0,10
GEORGE J,0.00% 11.11% 22.22% 33.33% 11.11% 11.11% 11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,2,3,1,1,1,0,0,0,0,0,0,9,3.258,0,1,0,10
,0.00% 11.11% 22.22% 33.33% 11.11% 11.11% 11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7263-601,0,1,3,2,0,0,0,0,1,0,0,0,0,7,3.334,0,0,0,7
HOLLAND H,0.00% 14.29% 42.86% 28.57%,0.00%,0.00%,0.00%,0.00% 14.29%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,3,2,0,0,0,0,1,0,0,0,0,7,3.334,0,0,0,7
,0.00% 14.29% 42.86% 28.57%,0.00%,0.00%,0.00%,0.00% 14.29%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7268-601,1,5,0,1,2,0,2,1,1,0,0,0,0,13,3.205,0,4,0,17
ECKHAUSE M,7.69% 38.46%,0.00%,7.69% 15.38%,0.00% 15.38%,7.69%,7.69%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,5,0,1,2,0,2,1,1,0,0,0,0,13,3.205,0,4,0,17
,7.69% 38.46%,0.00%,7.69% 15.38%,0.00% 15.38%,7.69%,7.69%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7301-601,0,4,3,8,20,17,3,0,0,0,1,0,0,56,2.982,0,9,0,65
SPURLOCK J,0.00%,7.14%,5.36% 14.29% 35.71% 30.36%,5.36%,0.00%,0.00%,0.00%,1.79%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,4,3,8,20,17,3,0,0,0,1,0,0,56,2.982,0,9,0,65
,0.00%,7.14%,5.36% 14.29% 35.71% 30.36%,5.36%,0.00%,0.00%,0.00%,1.79%,0.00%,0.00%,,,,,,,
LAW-7302-601,0,2,3,1,2,0,0,0,0,0,0,0,0,8,3.542,0,7,0,15
GEORGE J,0.00% 25.00% 37.50% 12.50% 25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,3,1,2,0,0,0,0,0,0,0,0,8,3.542,0,7,0,15
,0.00% 25.00% 37.50% 12.50% 25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7316-601,1,4,2,2,9,3,1,1,1,1,0,0,0,25,3.054,0,8,0,33
RAMBO L,4.00% 16.00%,,8.00%,8.00% 36.00% 12.00%,4.00%,4.00%,4.00%,4.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,4,2,2,9,3,1,1,1,1,0,0,0,25,3.054,0,8,0,33
,4.00% 16.00%,,8.00%,8.00% 36.00% 12.00%,4.00%,4.00%,4.00%,4.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2016,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7319-601,0,2,2,3,2,2,2,0,0,0,0,0,0,13,3.179,0,1,0,14
BYRNES W,0.00% 15.38% 15.38% 23.08% 15.38% 15.38% 15.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,2,3,2,2,2,0,0,0,0,0,0,13,3.179,0,1,0,14
,0.00% 15.38% 15.38% 23.08% 15.38% 15.38% 15.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7332-601,1,2,3,1,3,2,2,0,0,0,0,0,0,14,3.239,0,4,0,18
PHAM L,7.14% 14.29% 21.43%,7.14% 21.43% 14.29% 14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,2,3,1,3,2,2,0,0,0,0,0,0,14,3.239,0,4,0,18
,7.14% 14.29% 21.43%,7.14% 21.43% 14.29% 14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7339-601,2,2,2,1,5,1,1,2,2,1,0,0,0,19,2.913,0,3,0,22
ECKSTEIN G10.53% 10.53% 10.53%,5.26% 26.32%,5.26%,5.26% 10.53% 10.53%,5.26%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,2,2,1,5,1,1,2,2,1,0,0,0,19,2.913,0,3,0,22
,10.53% 10.53% 10.53%,5.26% 26.32%,5.26%,5.26% 10.53% 10.53%,5.26%,0.00%,0.00%,0.00%,,,,,,,
LAW-7351-601,0,2,1,2,0,0,0,0,0,0,0,0,0,5,3.666,0,0,0,5
YU P,0.00% 40.00% 20.00% 40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,1,2,0,0,0,0,0,0,0,0,0,5,3.666,0,0,0,5
,0.00% 40.00% 20.00% 40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7383S-601,1,0,2,12,4,0,0,0,0,0,0,0,0,19,3.332,0,0,0,19
REILLY P,5.26%,0.00% 10.53% 63.16% 21.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,0,2,12,4,0,0,0,0,0,0,0,0,19,3.332,0,0,0,19
,5.26%,0.00% 10.53% 63.16% 21.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7390S-601,0,0,3,8,2,1,0,0,0,0,0,0,0,14,3.308,0,3,0,17
ZARTMAN J,0.00%,0.00% 21.43% 57.14% 14.29%,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,3,8,2,1,0,0,0,0,0,0,0,14,3.308,0,3,0,17
,0.00%,0.00% 21.43% 57.14% 14.29%,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2016,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7412-601,0,0,0,6,12,6,0,0,0,0,0,0,0,24,3,0,0,0,24
ZADEH J,0.00%,0.00%,0.00% 25.00% 50.00% 25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,0,6,12,6,0,0,0,0,0,0,0,24,3,0,0,0,24
,0.00%,0.00%,0.00% 25.00% 50.00% 25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7428-601,3,3,2,3,4,2,4,5,1,0,0,0,0,27,2.951,0,6,0,33
SHANNON J,11.11% 11.11%,7.41% 11.11% 14.81%,7.41% 14.81% 18.52%,3.70%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,3,2,3,4,2,4,5,1,0,0,0,0,27,2.951,0,6,0,33
,11.11% 11.11%,7.41% 11.11% 14.81%,7.41% 14.81% 18.52%,3.70%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7444-601,1,4,6,5,7,4,1,3,1,0,0,0,0,32,3.136,0,8,0,40
WARREN G,3.13% 12.50% 18.75% 15.63% 21.88% 12.50%,3.13%,9.38%,3.13%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,4,6,5,7,4,1,3,1,0,0,0,0,32,3.136,0,8,0,40
,3.13% 12.50% 18.75% 15.63% 21.88% 12.50%,3.13%,9.38%,3.13%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7454-601,1,3,8,5,3,7,11,0,0,0,0,0,0,38,3.035,0,11,0,49
NEWMAN N,2.63%,7.89% 21.05% 13.16%,7.89% 18.42% 28.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,3,8,5,3,7,11,0,0,0,0,0,0,38,3.035,0,11,0,49
,2.63%,7.89% 21.05% 13.16%,7.89% 18.42% 28.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7484-601,0,2,2,3,1,5,0,0,0,0,0,0,0,13,3.206,0,6,1,20
VISHNUBHAKAT S,0.00% 15.38% 15.38% 23.08%,7.69% 38.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,2,3,1,5,0,0,0,0,0,0,0,13,3.206,0,6,1,20
,0.00% 15.38% 15.38% 23.08%,7.69% 38.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7488-601,0,2,4,2,4,2,0,0,0,0,0,0,0,14,3.334,0,3,0,17
HENNING W,0.00% 14.29% 28.57% 14.29% 28.57% 14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,4,2,4,2,0,0,0,0,0,0,0,14,3.334,0,3,0,17
,0.00% 14.29% 28.57% 14.29% 28.57% 14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2016,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7493-601,0,1,3,3,6,2,0,0,0,0,0,0,0,15,3.222,0,2,0,17
WOODCOCK D,0.00%,6.67% 20.00% 20.00% 40.00% 13.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,3,3,6,2,0,0,0,0,0,0,0,15,3.222,0,2,0,17
,0.00%,6.67% 20.00% 20.00% 40.00% 13.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7516-601,0,4,3,2,5,2,0,0,0,0,0,0,0,16,3.375,0,2,0,18
LUCAS G,0.00% 25.00% 18.75% 12.50% 31.25% 12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,4,3,2,5,2,0,0,0,0,0,0,0,16,3.375,0,2,0,18
,0.00% 25.00% 18.75% 12.50% 31.25% 12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7532-601,0,1,2,4,5,4,1,3,3,0,0,0,0,23,2.768,0,6,0,29
BELLOWS C,0.00%,4.35%,8.70% 17.39% 21.74% 17.39%,4.35% 13.04% 13.04%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,2,4,5,4,1,3,3,0,0,0,0,23,2.768,0,6,0,29
