,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SPRING 2016 - QATAR,,,,,,,,,,,
COLLEGE:,ASSOC PROVOST FOR UG STUDIES,,,,,,,,,,,,,
DEPARTMENT:,AP-UNDERGRAD STUDIES,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
UGST-181-500,4,3,0,0,0,7 3.571,0,0,0,0,0,7,SMALL N
,57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,3,0,0,0,7 3.571,0,0,0,0,0,7,
,57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,4,3,0,0,0,7 3.571,0,0,0,0,0,7,
,57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,4,3,0,0,0,7 3.571,0,0,0,0,0,7,
,57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SPRING 2016 - QATAR,,,,,,,,,,,
COLLEGE:,COLLEGE OF ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,CHEMICAL ENGINEERING,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
CHEN-204-500,3,2,0,0,0,5 3.600,0,0,0,0,0,5,MARKATOS N
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,2,0,0,0,5 3.600,0,0,0,0,0,5,
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-205-500,5,7,4,2,1,19 2.684,0,0,0,1,0,20,CASTIER M
,26.32%,36.84%,21.05%,10.53%,5.26%,,,,,,,,,
COURSE TOTAL:,5,7,4,2,1,19 2.684,0,0,0,1,0,20,
,26.32%,36.84%,21.05%,10.53%,5.26%,,,,,,,,,
CHEN-313-500,9,13,2,0,1,25 3.160,0,0,0,0,0,25,SALAMA G
,36.00%,52.00%,8.00%,0.00%,4.00%,,,,,,,,,
COURSE TOTAL:,9,13,2,0,1,25 3.160,0,0,0,0,0,25,
,36.00%,52.00%,8.00%,0.00%,4.00%,,,,,,,,,
CHEN-323-500,6,6,5,0,0,17 3.059,0,0,0,0,0,17,NOUNOU M
,35.29%,35.29%,29.41%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,6,5,0,0,17 3.059,0,0,0,0,0,17,
,35.29%,35.29%,29.41%,0.00%,0.00%,,,,,,,,,
CHEN-426-500,6,10,0,0,0,16 3.375,0,0,0,0,0,16,LINKE P
,37.50%,62.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,10,0,0,0,16 3.375,0,0,0,0,0,16,
,37.50%,62.50%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-433-501,1,4,1,0,0,6 3.000,0,0,0,0,0,6,SALAMA G
,16.67%,66.67%,16.67%,0.00%,0.00%,,,,,,,,,
CHEN-433-502,4,6,0,0,0,10 3.400,0,0,0,0,0,10,SALAMA G
,40.00%,60.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SPRING 2016 - QATAR,,,,,,,,,,,
COLLEGE:,COLLEGE OF ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,CHEMICAL ENGINEERING,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
COURSE TOTAL:,5,10,1,0,0,16 3.250,0,0,0,0,0,16,
,31.25%,62.50%,6.25%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,34,48,12,2,2,98 3.122,0,0,0,1,0,99,
,34.69%,48.98%,12.24%,2.04%,2.04%,,,,,,,,,
COLLEGE TOTAL:,34,48,12,2,2,98 3.122,0,0,0,1,0,99,
,34.69%,48.98%,12.24%,2.04%,2.04%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SPRING 2016 - QATAR,,,,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,CHEMICAL ENGINEERING,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
CHEN-457-500,7,8,3,0,0,18 3.222,0,0,0,0,0,18,ABDEL-WAHAB A
,38.89%,44.44%,16.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,8,3,0,0,18 3.222,0,0,0,0,0,18,
,38.89%,44.44%,16.67%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,7,8,3,0,0,18 3.222,0,0,0,0,0,18,
,38.89%,44.44%,16.67%,0.00%,0.00%,,,,,,,,,
