SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
COURSE TOTAL:,,4,,13,,7,,4,,,2,,30,,,,2.433,,0,,,0,,,0,,,False,,,0,,30,,,,
,,0.1333,,0.4333,,0.2333,,0.1333,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3425-500,,10,,17,,1,,1,,,1,,30,,,,3.133,,0,,,0,,,0,,,False,,,0,,30,,,COTTER J,
,,0.3333,,0.5667,,0.0333,,0.0333,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,17,,1,,1,,,1,,30,,,,3.133,,0,,,0,,,0,,,False,,,0,,30,,,,
,,0.3333,,0.5667,,0.0333,,0.0333,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,
DDHS-4015-500,,20,,10,,0,,0,,,0,,30,,,,3.666,,0,,,0,,,0,,,False,,,0,,30,,,ABRAHAM C,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,10,,0,,0,,,0,,30,,,,3.666,,0,,,0,,,0,,,False,,,0,,30,,,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
