SECTION,b,A,d,e,B,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,bb,X,dd,TOTAL,ff,INSTRUCTOR,hh,ii
INTA-632-600,9,,,2,,,0,,0,,0,,,11,3.818,,,False,,,False,False,,,False,,,0,,,11,,,
,0.8182,,,0.1818,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,2,,,0,,0,,0,,,11,3.818,,,False,,,False,False,,,False,,,0,,,11,,,
,0.8182,,,0.1818,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
INTA-636-600,17,,,3,,,0,,0,,0,,,20,3.85,,,False,,,False,False,,,False,,,0,,,20,,,
,0.85,,,0.15,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,17,,,3,,,0,,0,,0,,,20,3.85,,,False,,,False,False,,,False,,,0,,,20,,,
,0.85,,,0.15,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
NAPPER L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPPER L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERRA D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATSIOS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
