BUSH-602-600,b,8,d,3,f,2,h,0,j,k,1,m,n,14,p,0.0,r,s,0_2,u,v,w,0_3,y,z,0_4,bb,cc,1_2,ee,ff,gg,0_5,ii,jj,15,ll,RAISOR,C,oo,pp
COURSE TOTAL:,,8,,6,,0,,0,,,0,,14,,,3.571,,False,,,,False,,,False,,,False,,,,False,,,14,,,,,,
,,0.5714,,0.4286,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-600,,15,,10,,0,,0,,,0,,25,,,3.6,,False,,,,False,,,False,,,False,,,,False,,,25,,,CESARIO B,,,
,,0.6,,0.4,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-601,,7,,6,,0,,0,,,0,,13,,,3.538,,False,,,,False,,,False,,,False,,,,False,,,13,,,ITZKOWITZ-,,,
,,0.5385,,0.4615,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-700,,19,,1,,1,,1,,,1,,23,,,3.565,,False,,,,False,,,False,,,False,,,,False,,,23,,,LASALA P,,,
,,0.8261,,0.0435,,0.0435,,0.0435,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-702,,5,,3,,0,,0,,,0,,8,,,3.625,,False,,,,False,,,False,,,False,,,,False,,,8,,,ITZKOWITZ-,,,
,,0.625,,0.375,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
