,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,GEOSCIENCES,,,,,,,,,,,,,
DEPARTMENT:,ATMOSPHERIC SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
COURSE TOTAL:,8,0,1,0,0,9,3.777,0,0,0,0,0,9,
,88.89%,0.00%,11.11%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,GEOSCIENCES,,,,,,,,,,,,,
DEPARTMENT:,GEOGRAPHY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,414,115,36,13,17,595,3.521,2,0,0,14,0,611,
,69.58%,19.33%,6.05%,2.18%,2.86%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,GEOSCIENCES,,,,,,,,,,,,,
DEPARTMENT:,GEOLOGY & GEOPHYSICS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
GEOL-101-299,87,18,11,5,2,123,3.487,0,0,0,2,0,125,KENDERES E
,70.73%,14.63%,8.94%,4.07%,1.63%,,,,,,,,,
COURSE TOTAL:,87,18,11,5,2,123,3.487,0,0,0,2,0,125,
,70.73%,14.63%,8.94%,4.07%,1.63%,,,,,,,,,
GEOL-102-198,12,9,0,1,1,23,3.304,0,0,0,0,0,23,KENDERES E
,52.17%,39.13%,0.00%,4.35%,4.35%,,,,,,,,,
GEOL-102-201,12,6,3,0,0,21,3.428,0,0,0,1,0,22,KENDERES E
,57.14%,28.57%,14.29%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,15,3,1,1,44,3.363,0,0,0,1,0,45,
,54.55%,34.09%,6.82%,2.27%,2.27%,,,,,,,,,
GEOL-207-299,50,13,0,0,0,63,3.793,0,0,0,0,0,63,NEELY S
,79.37%,20.63%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,50,13,0,0,0,63,3.793,0,0,0,0,0,63,
,79.37%,20.63%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,GEOSCIENCES,,,,,,,,,,,,,
DEPARTMENT:,GEOLOGY & GEOPHYSICS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,161,46,14,6,3,230,3.574,0,0,0,3,0,233,
,70.00%,20.00%,6.09%,2.61%,1.30%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,GEOSCIENCES,,,,,,,,,,,,,
DEPARTMENT:,OCEANOGRAPHY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
OCNG-251-399,16,16,2,1,1,36,3.25,0,0,0,1,0,37,RATTANASRIAMPAIPONG
,44.44%,44.44%,5.56%,2.78%,2.78%,,,,,,,,,
COURSE TOTAL:,16,16,2,1,1,36,3.25,0,0,0,1,0,37,
,44.44%,44.44%,5.56%,2.78%,2.78%,,,,,,,,,
OCNG-252-199,8,2,4,1,2,17,2.764,0,0,0,0,0,17,WIEDERWOHL C
,47.06%,11.76%,23.53%,5.88%,11.76%,,,,,,,,,
COURSE TOTAL:,8,2,4,1,2,17,2.764,0,0,0,0,0,17,
,47.06%,11.76%,23.53%,5.88%,11.76%,,,,,,,,,
DEPARTMENT TOTAL:,24,18,6,2,3,53,3.184,0,0,0,1,0,54,
,45.28%,33.96%,11.32%,3.77%,5.66%,,,,,,,,,
COLLEGE TOTAL:,619,206,75,24,25,949,3.463,2,0,0,19,0,970,
,65.23%,21.71%,7.90%,2.53%,2.63%,,,,,,,,,
