,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ARCHITECTURE,,,,,,,,,,,,,
DEPARTMENT:,ARCHITECTURE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
,28.57%,52.38%,9.52%,4.76%,4.76%,,,,,,,,,
CARC-311-205,3,7,9,2,0,21,2.523,1,0,0,0,0,22,LAVY S
,14.29%,33.33%,42.86%,9.52%,0.00%,,,,,,,,,
CARC-311-250,15,3,0,0,0,18,3.833,0,0,0,0,0,18,ROLDAN M
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-311-350,11,0,0,0,0,11,4,0,0,0,0,0,11,ROLDAN M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,148,34,13,4,1,200,3.62,1,0,0,0,0,201,
,74.00%,17.00%,6.50%,2.00%,0.50%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ARCHITECTURE,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF ARCHITECTURE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CARC-331-101,29,0,0,0,0,29,4,0,0,0,0,0,29,FORTENBERRY B
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-331-103,28,0,0,0,0,28,4,0,0,0,0,0,28,GODDARD T
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-331-104,12,6,2,0,0,20,3.5,0,0,0,0,0,20,DAVIS D
,60.00%,30.00%,10.00%,0.00%,0.00%,,,,,,,,,
CARC-331-201,21,5,0,1,0,27,3.703,0,0,0,0,0,27,WOODFIN S
,77.78%,18.52%,0.00%,3.70%,0.00%,,,,,,,,,
CARC-331-202,23,2,1,0,0,26,3.846,0,0,0,0,0,26,AITANI K
,88.46%,7.69%,3.85%,0.00%,0.00%,,,,,,,,,
CARC-331-203,6,8,6,0,1,21,2.857,0,0,0,0,0,21,HUANG C
,28.57%,38.10%,28.57%,0.00%,4.76%,,,,,,,,,
CARC-331-205,16,4,2,0,0,22,3.636,0,0,0,0,0,22,LAVY S
,72.73%,18.18%,9.09%,0.00%,0.00%,,,,,,,,,
CARC-331-250,16,2,0,0,0,18,3.888,0,0,0,0,0,18,ROLDAN M
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
CARC-331-350,11,0,0,0,0,11,4,0,0,0,0,0,11,ROLDAN M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,162,27,11,1,1,202,3.722,0,0,0,0,0,202,
