------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7010-601,1,6,2,15,10,6,2,0,1,0,0,0,0,43,3.201,0,0,0,43
GORDON R,2.33% 13.95%,4.65% 34.88% 23.26% 13.95%,,,,4.65%,0.00%,2.33%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,6,2,15,10,6,2,0,1,0,0,0,0,43,3.201,0,0,0,43
,2.33% 13.95%,4.65% 34.88% 23.26% 13.95%,,,,4.65%,0.00%,2.33%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7017-601,0,5,6,13,11,9,2,0,0,0,0,0,0,46,3.195,0,0,0,46
MORMANN F,0.00% 10.87% 13.04% 28.26% 23.91% 19.57%,,,,,4.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7017-602,1,5,8,18,11,3,4,2,1,0,0,0,0,53,3.194,0,0,0,53
BARNES W,1.89%,9.43% 15.09% 33.96% 20.75%,,,5.66%,7.55%,3.77%,1.89%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7017-603,1,5,7,19,8,4,1,5,0,0,0,0,0,50,3.199,0,0,0,50
HENNING W,2.00% 10.00% 14.00% 38.00% 16.00%,,,,8.00%,2.00% 10.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7017-604,0,1,2,3,3,2,2,0,0,0,0,0,0,13,3.102,0,0,0,13
BURGE M,0.00%,7.69% 15.38% 23.08% 23.08% 15.38% 15.38%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,16,23,53,33,18,9,7,1,0,0,0,0,162,3.189,0,0,0,162
,1.23%,9.88% 14.20% 32.72% 20.37% 11.11%,,,,5.56%,4.32%,0.62%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7021-601,1,6,7,6,16,2,3,3,0,0,1,0,0,45,3.133,0,0,0,45
AYRES P,2.22% 13.33% 15.56% 13.33% 35.56%,,,,4.44%,6.67%,6.67%,0.00%,0.00%,2.22%,0.00%,0.00%,,,,,,,
LAW-7021-602,1,3,6,7,12,6,0,1,0,0,0,0,0,36,3.204,0,0,0,36
BAYLOR A,2.78%,8.33% 16.67% 19.44% 33.33% 16.67%,,,,0.00%,2.78%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7021-603,3,4,5,10,14,3,3,0,2,0,0,0,0,44,3.182,0,0,0,44
PHAM L,6.82%,9.09% 11.36% 22.73% 31.82%,,,6.82%,6.82%,0.00%,4.55%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7021-604,2,7,8,5,2,6,6,1,1,0,0,0,0,38,3.202,0,0,0,38
PHAM L,5.26% 18.42% 21.05% 13.16%,,,5.26% 15.79% 15.79%,,,2.63%,2.63%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,7,20,26,28,44,17,12,5,3,0,1,0,0,163,3.178,0,0,0,163
,4.29% 12.27% 15.95% 17.18% 26.99% 10.43%,,,,,7.36%,3.07%,1.84%,0.00%,0.61%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7032-601,1,5,5,16,13,7,3,1,0,0,0,0,0,51,3.182,0,0,0,51
ALTON S,1.96%,9.80%,9.80% 31.37% 25.49% 13.73%,,,5.88%,1.96%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7032-602,1,5,5,20,14,6,1,2,1,0,0,0,0,55,3.181,0,0,0,55
SHORT A,1.82%,9.09%,9.09% 36.36% 25.45% 10.91%,,,1.82%,3.64%,1.82%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7032-603,9,4,6,7,14,7,8,2,0,0,0,0,0,57,3.171,0,0,0,57
CASADO-PEREZ V,15.79%,7.02% 10.53% 12.28% 24.56% 12.28% 14.04%,,,,,3.51%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,11,14,16,43,41,20,12,5,1,0,0,0,0,163,3.178,0,0,0,163
,6.75%,8.59%,9.82% 26.38% 25.15% 12.27%,,,7.36%,3.07%,0.61%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7056-601,0,8,8,4,11,15,0,0,0,0,0,0,0,46,3.211,0,8,0,46
SNYDER F,0.00% 17.39% 17.39%,,8.70% 23.91% 32.61%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,8,8,4,11,15,0,0,0,0,0,0,0,46,3.211,0,8,0,46
,0.00% 17.39% 17.39%,,8.70% 23.91% 32.61%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7065-601,0,2,4,12,14,4,0,0,0,0,0,0,0,36,3.203,0,0,0,36
BLOCH-WEHBA H,0.00%,5.56% 11.11% 33.33% 38.89% 11.11%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7065-602,0,4,3,10,3,1,4,0,0,0,0,0,0,25,3.252,0,1,0,25
PHILLIPS S,0.00% 16.00% 12.00% 40.00% 12.00%,,,,4.00% 16.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,6,7,22,17,5,4,0,0,0,0,0,0,61,3.223,0,1,0,61
,0.00%,9.84% 11.48% 36.07% 27.87%,,,8.20%,6.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7076-601,2,4,6,14,8,3,2,1,0,0,0,0,0,40,3.283,0,11,0,40
BELL S,5.00% 10.00% 15.00% 35.00% 20.00%,,,,7.50%,5.00%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,4,6,14,8,3,2,1,0,0,0,0,0,40,3.283,0,11,0,40
,5.00% 10.00% 15.00% 35.00% 20.00%,,,,7.50%,5.00%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7080-601,2,7,8,19,18,6,5,2,0,0,0,0,0,67,3.198,0,0,0,67
SEYMORE M,2.99% 10.45% 11.94% 28.36% 26.87%,,,,8.96%,7.46%,2.99%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
COURSE TOTAL:,2,7,8,19,18,6,5,2,0,0,0,0,0,67,3.198,0,0,0,67
,2.99% 10.45% 11.94% 28.36% 26.87%,,,,8.96%,7.46%,2.99%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7091-601,2,3,5,0,19,5,0,0,0,0,0,0,0,34,3.197,0,0,0,34
REILLY P,5.88%,8.82% 14.71%,0.00% 55.88% 14.71%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,3,5,0,19,5,0,0,0,0,0,0,0,34,3.197,0,0,0,34
,5.88%,8.82% 14.71%,0.00% 55.88% 14.71%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7101-601,0,3,1,0,0,1,0,0,0,0,0,0,0,5,3.668,0,0,0,5
MAROUF F,0.00% 60.00% 20.00%,,0.00%,0.00% 20.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,3,1,0,0,1,0,0,0,0,0,0,0,5,3.668,0,0,0,5
,0.00% 60.00% 20.00%,,0.00%,0.00% 20.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7104-601,0,0,2,19,16,0,0,0,0,0,0,0,0,37,3.205,0,0,0,37
ZADEH J,0.00%,0.00%,5.41% 51.35% 43.24%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,2,19,16,0,0,0,0,0,0,0,0,37,3.205,0,0,0,37
,0.00%,0.00%,5.41% 51.35% 43.24%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7113-601,0,2,6,11,2,1,0,0,0,0,0,0,0,22,3.423,0,2,0,22
VISHNUBHAKAT S,0.00%,9.09% 27.27% 50.00%,,9.09%,4.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,6,11,2,1,0,0,0,0,0,0,0,22,3.423,0,2,0,22
,0.00%,9.09% 27.27% 50.00%,,9.09%,4.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7145-601,1,4,5,10,8,3,2,2,0,0,0,0,0,35,3.209,0,6,0,35
BARNES W,2.86% 11.43% 14.29% 28.57% 22.86%,,,,8.57%,5.71%,5.71%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,4,5,10,8,3,2,2,0,0,0,0,0,35,3.209,0,6,0,35
,2.86% 11.43% 14.29% 28.57% 22.86%,,,,8.57%,5.71%,5.71%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7155-601,0,0,9,1,6,0,0,0,0,0,0,0,0,16,3.397,0,0,0,16
CALBOLI I,0.00%,0.00% 56.25%,6.25% 37.50%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
COURSE TOTAL:,0,0,9,1,6,0,0,0,0,0,0,0,0,16,3.397,0,0,0,16
,0.00%,0.00% 56.25%,6.25% 37.50%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7174-600,5,3,5,4,0,6,0,0,1,0,0,0,0,24,3.392,1,0,0,25
REIS E,20.83% 12.50% 20.83% 16.67%,,,0.00% 25.00%,,0.00%,0.00%,4.17%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,5,3,5,4,0,6,0,0,1,0,0,0,0,24,3.392,1,0,0,25
,20.83% 12.50% 20.83% 16.67%,,,0.00% 25.00%,,0.00%,0.00%,4.17%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7195-601,1,3,4,4,1,1,2,0,0,0,0,0,0,16,3.396,0,0,0,16
SOBOL N,6.25% 18.75% 25.00% 25.00%,,,6.25%,6.25% 12.50%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,3,4,4,1,1,2,0,0,0,0,0,0,16,3.396,0,0,0,16
,6.25% 18.75% 25.00% 25.00%,,,6.25%,6.25% 12.50%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7196-601,0,0,2,12,0,0,0,0,0,0,0,0,0,14,3.378,0,0,0,14
ZADEH J,0.00%,0.00% 14.29% 85.71%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,2,12,0,0,0,0,0,0,0,0,0,14,3.378,0,0,0,14
,0.00%,0.00% 14.29% 85.71%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7260-601,1,7,4,2,7,5,3,0,0,0,0,0,0,29,3.265,0,4,0,29
GREEN M,3.45% 24.14% 13.79%,,6.90% 24.14% 17.24% 10.34%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,7,4,2,7,5,3,0,0,0,0,0,0,29,3.265,0,4,0,29
,3.45% 24.14% 13.79%,,6.90% 24.14% 17.24% 10.34%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7263-601,0,2,2,8,3,0,0,0,0,0,0,0,0,15,3.398,0,0,0,15
HOLLAND H,0.00% 13.33% 13.33% 53.33% 20.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,2,8,3,0,0,0,0,0,0,0,0,15,3.398,0,0,0,15
,0.00% 13.33% 13.33% 53.33% 20.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7268-601,0,0,1,18,9,2,1,0,0,0,0,0,0,31,3.17,1,0,0,32
SLATTERY J,0.00%,0.00%,3.23% 58.06% 29.03%,,6.45%,3.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
COURSE TOTAL:,0,0,1,18,9,2,1,0,0,0,0,0,0,31,3.17,1,0,0,32
,0.00%,0.00%,3.23% 58.06% 29.03%,,6.45%,3.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7277-601,0,1,6,3,6,0,1,0,0,0,0,0,0,17,3.314,0,0,0,17
MORMANN F,0.00%,5.88% 35.29% 17.65% 35.29%,,,0.00%,5.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,6,3,6,0,1,0,0,0,0,0,0,17,3.314,0,0,0,17
,0.00%,5.88% 35.29% 17.65% 35.29%,,,0.00%,5.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7302-601,0,0,11,4,1,1,0,0,0,0,0,0,0,17,3.491,0,0,0,17
GEORGE J,0.00%,0.00% 64.71% 23.53%,,5.88%,5.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,11,4,1,1,0,0,0,0,0,0,0,17,3.491,0,0,0,17
,0.00%,0.00% 64.71% 23.53%,,5.88%,5.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7313-601,1,6,3,8,20,2,1,0,0,0,1,0,0,42,3.198,0,0,0,42
SEYMORE M,2.38% 14.29%,,7.14% 19.05% 47.62%,,4.76%,2.38%,0.00%,0.00%,0.00%,2.38%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,6,3,8,20,2,1,0,0,0,1,0,0,42,3.198,0,0,0,42
,2.38% 14.29%,,7.14% 19.05% 47.62%,,4.76%,2.38%,0.00%,0.00%,0.00%,2.38%,0.00%,0.00%,,,,,,,
LAW-7316-601,0,4,4,11,16,6,0,0,0,0,0,0,0,41,3.203,0,4,0,41
BLOCH-WEHBA H,0.00%,9.76%,9.76% 26.83% 39.02% 14.63%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,4,4,11,16,6,0,0,0,0,0,0,0,41,3.203,0,4,0,41
,0.00%,9.76%,9.76% 26.83% 39.02% 14.63%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7318-601,1,1,5,7,12,5,0,0,0,0,0,0,0,31,3.194,0,2,0,31
MAHER B,3.23%,3.23% 16.13% 22.58% 38.71% 16.13%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,1,5,7,12,5,0,0,0,0,0,0,0,31,3.194,0,2,0,31
,3.23%,3.23% 16.13% 22.58% 38.71% 16.13%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7319-601,1,5,5,3,2,1,4,0,0,0,0,0,0,21,3.349,0,2,0,21
BYRNES W,4.76% 23.81% 23.81% 14.29%,,,9.52%,4.76% 19.05%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
COURSE TOTAL:,1,5,5,3,2,1,4,0,0,0,0,0,0,21,3.349,0,2,0,21
,4.76% 23.81% 23.81% 14.29%,,,9.52%,4.76% 19.05%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7334-601,0,3,5,8,1,2,0,0,1,0,0,0,0,20,3.35,0,0,0,20
WELSH N,0.00% 15.00% 25.00% 40.00%,,,5.00% 10.00%,,0.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,3,5,8,1,2,0,0,1,0,0,0,0,20,3.35,0,0,0,20
,0.00% 15.00% 25.00% 40.00%,,,5.00% 10.00%,,0.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7419-601,0,2,4,6,12,3,0,0,0,0,0,0,0,27,3.21,0,1,0,28
HOLLAND H,0.00%,7.41% 14.81% 22.22% 44.44% 11.11%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,4,6,12,3,0,0,0,0,0,0,0,27,3.21,0,1,0,28
,0.00%,7.41% 14.81% 22.22% 44.44% 11.11%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7435-601,1,0,9,9,14,4,0,0,0,0,0,0,0,37,3.234,0,3,0,37
MAGNUSON W,2.70%,0.00% 24.32% 24.32% 37.84% 10.81%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,0,9,9,14,4,0,0,0,0,0,0,0,37,3.234,0,3,0,37
,2.70%,0.00% 24.32% 24.32% 37.84% 10.81%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7444-601,0,3,6,5,5,6,0,0,1,0,0,0,0,26,3.206,0,3,0,26
SULLIVAN H,0.00% 11.54% 23.08% 19.23% 19.23% 23.08%,,,,,0.00%,0.00%,3.85%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,3,6,5,5,6,0,0,1,0,0,0,0,26,3.206,0,3,0,26
,0.00% 11.54% 23.08% 19.23% 19.23% 23.08%,,,,,0.00%,0.00%,3.85%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7454-601,1,1,2,3,2,1,0,0,0,0,0,0,0,10,3.401,0,0,0,10
NEWMAN N,10.00% 10.00% 20.00% 30.00% 20.00% 10.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,1,2,3,2,1,0,0,0,0,0,0,0,10,3.401,0,0,0,10
,10.00% 10.00% 20.00% 30.00% 20.00% 10.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7458-601,1,0,7,11,19,12,9,0,1,1,0,0,0,61,2.94,0,0,0,61
MURPHY J,1.64%,0.00% 11.48% 18.03% 31.15% 19.67% 14.75%,,,,,0.00%,1.64%,1.64%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7458-701,1,5,13,14,16,10,3,2,1,0,0,0,0,65,3.164,0,31,0,65
FARKAS S,1.54%,7.69% 20.00% 21.54% 24.62% 15.38%,,,,4.62%,3.08%,1.54%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,5,20,25,35,22,12,2,2,1,0,0,0,126,3.055,0,31,0,126
,1.59%,3.97% 15.87% 19.84% 27.78% 17.46%,,,,9.52%,1.59%,1.59%,0.79%,0.00%,0.00%,0.00%,,,,,,,
LAW-7492-601,1,3,3,3,5,2,0,0,0,0,0,0,0,17,3.373,0,1,0,17
NEWMAN N,5.88% 17.65% 17.65% 17.65% 29.41% 11.76%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,3,3,3,5,2,0,0,0,0,0,0,0,17,3.373,0,1,0,17
