,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MILITARY SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERS-102-500,25,2,0,0,0,27,3.925,0,0,0,1,0,28,PEREZ M
,92.59%,7.41%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-501,18,2,0,0,0,20,3.9,0,0,0,0,0,20,PEREZ M
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-502,28,4,0,0,1,33,3.757,0,0,0,0,0,33,PEREZ M
,84.85%,12.12%,0.00%,0.00%,3.03%,,,,,,,,,
AERS-102-503,30,2,0,0,0,32,3.937,0,0,0,0,0,32,PEREZ M
,93.75%,6.25%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-504,25,5,1,0,0,31,3.774,0,0,0,0,0,31,PEREZ M
,80.65%,16.13%,3.23%,0.00%,0.00%,,,,,,,,,
AERS-102-505,24,3,0,0,0,27,3.888,0,0,0,0,0,27,PEREZ M
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-507,7,0,0,0,0,7,4,0,0,0,0,0,7,PEREZ M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-508,14,0,0,0,0,14,4,0,0,0,0,0,14,PEREZ M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-509,15,1,0,0,0,16,3.937,0,0,0,0,0,16,PEREZ M
,93.75%,6.25%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-510,16,0,0,0,0,16,4,0,0,0,0,0,16,PEREZ M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,202,19,1,0,1,223,3.887,0,0,0,1,0,224,
,90.58%,8.52%,0.45%,0.00%,0.45%,,,,,,,,,
AERS-202-501,33,0,0,0,0,33,4,0,0,0,0,0,33,COOPER H
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-202-502,32,2,0,0,0,34,3.941,0,0,0,0,0,34,COOPER H
,94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MILITARY SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERS-202-505,25,0,0,0,0,25,4,0,0,0,0,0,25,COOPER H
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-202-506,30,1,0,0,0,31,3.967,0,0,0,0,0,31,COOPER H
,96.77%,3.23%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,120,3,0,0,0,123,3.975,0,0,0,0,0,123,
,97.56%,2.44%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-304-501,26,2,0,0,0,28,3.928,0,0,0,0,0,28,CARTER R
,92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-304-502,22,0,0,0,0,22,4,0,0,0,0,0,22,CARTER R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-304-503,32,0,0,0,0,32,4,1,0,0,0,1,34,CARTER R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,80,2,0,0,0,82,3.975,1,0,0,0,1,84,
,97.56%,2.44%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-404-501,27,2,0,0,0,29,3.931,0,0,0,0,0,29,RICHARDSON D
,93.10%,6.90%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-404-502,32,2,0,0,0,34,3.941,0,0,0,0,0,34,RICHARDSON D
,94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
