AGCJ-105-500,8,c,d,1,f,1_2,h,0,j,0_2,l,m,10,o,3.7,q,r,0_3,t,u,0_4,w,0_5,y,z,0_6,bb,cc,dd,0_7,ff,gg,10_2,ii,ROBERTS L,kk,ll,mm
,,0.4444,,0.3333,,0.2222,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-409-500,,9,,0,,0,,0,,0,,,9,,4.0,,0,,,,False,,,False,,,2,,0,,,11,,ZENT R,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,0,,0,,0,,0,,,9,,4.0,,0,,,,False,,,False,,,2,,0,,,11,,,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-411-500,,5,,9,,4,,0,,0,,,18,,3.055,,0,,,,False,,,False,,,0,,0,,,18,,WINGENBACH,,,G,
,,0.2778,,0.5,,0.2222,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,9,,4,,0,,0,,,18,,3.055,,0,,,,False,,,False,,,0,,0,,,18,,,,,,
,,0.2778,,0.5,,0.2222,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-481-500,,25,,0,,1,,0,,0,,,26,,3.923,,0,,,,False,,,False,,,0,,0,,,26,,WALTHER D,,,,
,,0.9615,,0.0,,0.0385,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,0,,1,,0,,0,,,26,,3.923,,0,,,,False,,,False,,,0,,0,,,26,,,,,,
,,0.9615,,0.0,,0.0385,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-489-501,,18,,1,,0,,0,,0,,,19,,3.947,,0,,,,False,,,False,,,0,,0,,,19,,WALTHER D,,,,
,,0.9474,,0.0526,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,1,,0,,0,,0,,,19,,3.947,,0,,,,False,,,False,,,0,,0,,,19,,,,,,
,,0.9474,,0.0526,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-494-515,,5,,0,,0,,0,,0,,,5,,4.0,,0,,,,False,,,False,,,0,,0,,,5,,DUNSFORD D,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-494-566,,17,,2,,1,,0,,1,,,21,,3.52,,0,,,,False,,,False,,,0,,0,,,21,,DUNSFORD D,,,,
,,0.8095,,0.0952,,0.0476,,0.0,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,2,,1,,0,,1,,,26,,3.612,,0,,,,False,,,False,,,0,,0,,,26,,,,,,
,,0.8462,,0.0769,,0.0385,,0.0,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
