AGCJ-305-700,7,c,d,3,f,2,h,0,j,0_2,l,m,12,o,3.416,q,r,0_3,t,u,0_4,w,0_5,y,z,0_6,bb,cc,dd,0_7,ff,gg,12_2,ii,COSTELLO L,kk,ll,mm
ALEC-494-151,,8,,0,,0,,0,,0,,,8,,4.0,,0,,,,False,,,False,,,0,,0,,,8,,MAZURKIEWICZ,,,J,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,0,,0,,0,,0,,,8,,4.0,,0,,,,False,,,False,,,0,,0,,,8,,,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEC-617-700,,11,,3,,1,,0,,0,,,15,,3.666,,0,,,,False,,,False,,,1,,0,,,16,,STRONG J,,,,
,,0.7333,,0.2,,0.0667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,3,,1,,0,,0,,,15,,3.666,,0,,,,False,,,False,,,1,,0,,,16,,,,,,
,,0.7333,,0.2,,0.0667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-202-199,,17,,8,,1,,1,,0,,,27,,3.518,,0,,,,False,,,False,,,1,,0,,,28,,MOORE L,,,,
,,0.6296,,0.2963,,0.037,,0.037,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-202-700,,22,,7,,1,,0,,0,,,30,,3.7,,0,,,,False,,,False,,,1,,0,,,31,,DUNN A,,,,
,,0.7333,,0.2333,,0.0333,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,39,,15,,2,,1,,0,,,57,,3.614,,0,,,,False,,,False,,,2,,0,,,59,,,,,,
,,0.6842,,0.2632,,0.0351,,0.0175,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-301-700,,4,,5,,5,,3,,2,,,19,,2.315,,0,,,,False,,,False,,,0,,0,,,19,,ODOM S,,,,
,,0.2105,,0.2632,,0.2632,,0.1579,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,5,,5,,3,,2,,,19,,2.315,,0,,,,False,,,False,,,0,,0,,,19,,,,,,
,,0.2105,,0.2632,,0.2632,,0.1579,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-340-700,,8,,12,,5,,0,,0,,,25,,3.12,,0,,,,False,,,False,,,0,,0,,,25,,DUNN A,,,,
,,0.32,,0.48,,0.2,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-340-931,,3,,6,,2,,0,,0,,,11,,3.09,,0,,,,False,,,False,,,0,,0,,,11,,BENSON J,,,,
,,0.2727,,0.5455,,0.1818,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
