RICH L,0.00%,0.00%,5.56% 27.78% 38.89% 16.67% 11.11%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7001-609,0,2,2,4,4,3,1,2,1,0,0,0,0,19,2.982,0,0,0,19
PIERCE T,0.00% 10.53% 10.53% 21.05% 21.05% 15.79%,,,,,5.26% 10.53%,,5.26%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7001-610,0,2,2,1,4,7,2,1,0,0,0,0,0,19,2.948,0,0,0,19
HAMBLETON J0.00% 10.53% 10.53%,,,5.26% 21.05% 36.84% 10.53%,,,,5.26%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,10,15,29,65,38,16,7,2,0,0,0,0,182,2.981,0,0,0,182
,0.00%,5.49%,8.24% 15.93% 35.71% 20.88%,,,8.79%,3.85%,1.10%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7005-601,1,3,6,10,24,10,3,1,4,0,0,0,0,62,2.995,0,0,0,62
WELSH N,1.61%,4.84%,9.68% 16.13% 38.71% 16.13%,,,4.84%,1.61%,6.45%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7005-602,1,4,4,15,17,13,3,1,3,0,0,0,1,62,2.973,0,0,0,62
GEORGE J,1.61%,6.45%,6.45% 24.19% 27.42% 20.97%,,,4.84%,1.61%,4.84%,0.00%,0.00%,0.00%,1.61%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7005-603,1,4,5,11,17,9,8,3,1,0,0,0,0,59,2.988,0,0,0,59
VISHNUBHAKAT S,1.69%,6.78%,8.47% 18.64% 28.81% 15.25% 13.56%,,,,5.08%,1.69%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,11,15,36,58,32,14,5,8,0,0,0,1,183,2.985,0,0,0,183
,1.64%,6.01%,8.20% 19.67% 31.69% 17.49%,,,7.65%,2.73%,4.37%,0.00%,0.00%,0.00%,0.55%,,,,,,,
LAW-7010-601,3,6,3,8,6,9,10,4,0,0,0,0,0,49,3,0,0,0,49
PENROSE M,6.12% 12.24%,,6.12% 16.33% 12.24% 18.37% 20.41%,,,,8.16%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,6,3,8,6,9,10,4,0,0,0,0,0,49,3,0,0,0,49
,6.12% 12.24%,,6.12% 16.33% 12.24% 18.37% 20.41%,,,,8.16%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7042-601,1,3,5,15,15,15,3,1,4,0,0,0,0,62,2.984,0,0,0,62
SHORT A,1.61%,4.84%,8.06% 24.19% 24.19% 24.19%,,,4.84%,1.61%,6.45%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7042-602,1,2,2,13,15,13,8,2,5,0,0,0,0,61,2.841,0,0,0,61
RAGAVAN S,1.64%,3.28%,3.28% 21.31% 24.59% 21.31% 13.11%,,,,3.28%,8.20%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7042-603,1,0,6,13,17,19,0,3,0,0,0,0,0,59,3,0,0,0,59
REILLY P,1.69%,0.00% 10.17% 22.03% 28.81% 32.20%,,,,0.00%,5.08%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,5,13,41,47,47,11,6,9,0,0,0,0,182,2.941,0,0,0,182
,1.65%,2.75%,7.14% 22.53% 25.82% 25.82%,,,6.04%,3.30%,4.95%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7056-601,0,2,2,5,10,8,0,2,0,1,0,0,0,30,2.956,0,0,0,30
ALEXANDER L0.00%,,6.67%,6.67% 16.67% 33.33% 26.67%,,,0.00%,6.67%,0.00%,3.33%,0.00%,0.00%,0.00%,,,,,,,
LAW-7056-602,2,0,5,6,16,14,4,0,0,0,0,0,0,47,3.001,0,0,0,47
MAGNUSON W,4.26%,0.00% 10.64% 12.77% 34.04% 29.79%,,,,8.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,2,7,11,26,22,4,2,0,1,0,0,0,77,2.983,0,0,0,77
,2.60%,2.60%,9.09% 14.29% 33.77% 28.57%,,,5.19%,2.60%,0.00%,1.30%,0.00%,0.00%,0.00%,,,,,,,
LAW-7065-601,1,2,4,4,2,1,2,0,0,0,0,0,0,16,3.333,0,0,0,16
SEYMORE M,6.25% 12.50% 25.00% 25.00% 12.50%,,,,6.25% 12.50%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7065-602,2,4,6,5,12,9,7,4,0,0,0,0,0,49,3,0,0,0,49
PENROSE M,4.08%,8.16% 12.24% 10.20% 24.49% 18.37% 14.29%,,,,,8.16%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,6,10,9,14,10,9,4,0,0,0,0,0,65,3.082,0,0,0,65
,4.62%,9.23% 15.38% 13.85% 21.54% 15.38% 13.85%,,,,,6.15%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7076-601,0,2,10,28,5,10,7,4,2,1,1,0,0,70,2.994,0,0,0,70
ALTON S,0.00%,2.86% 14.29% 40.00%,,7.14% 14.29% 10.00%,,,5.71%,2.86%,1.43%,1.43%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,10,28,5,10,7,4,2,1,1,0,0,70,2.994,0,0,0,70
,0.00%,2.86% 14.29% 40.00%,,7.14% 14.29% 10.00%,,,5.71%,2.86%,1.43%,1.43%,0.00%,0.00%,,,,,,,
LAW-7091-601,3,8,3,8,15,4,8,6,0,2,0,0,0,57,2.994,0,0,0,57
FORTNEY S,5.26% 14.04%,,5.26% 14.04% 26.32%,,7.02% 14.04% 10.53%,,,0.00%,3.51%,0.00%,0.00%,0.00%,,,,,,,
LAW-7091-602,1,2,5,7,25,16,3,0,1,0,0,0,0,60,3,0,0,0,60
MCGRATH J,1.67%,3.33%,8.33% 11.67% 41.67% 26.67%,,,5.00%,0.00%,1.67%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,4,10,8,15,40,20,11,6,1,2,0,0,0,117,2.997,0,0,0,117
,3.42%,8.55%,6.84% 12.82% 34.19% 17.09%,,,9.40%,5.13%,0.85%,1.71%,0.00%,0.00%,0.00%,,,,,,,
LAW-7108-601,0,3,2,8,5,2,0,0,0,0,0,0,0,20,3.316,0,0,0,20
JOHNSON J,0.00% 15.00% 10.00% 40.00% 25.00% 10.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,3,2,8,5,2,0,0,0,0,0,0,0,20,3.316,0,0,0,20
,0.00% 15.00% 10.00% 40.00% 25.00% 10.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7112-601,0,1,1,0,1,5,0,0,0,0,0,0,0,8,3.002,0,0,0,8
MURPHY J,0.00% 12.50% 12.50%,,0.00% 12.50% 62.50%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7112-602,0,0,0,2,3,2,0,0,0,0,0,0,0,7,3,0,0,0,7
PIERCE T,0.00%,0.00%,0.00% 28.57% 42.86% 28.57%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,1,2,4,7,0,0,0,0,0,0,0,15,3.001,0,0,0,15
,0.00%,6.67%,6.67% 13.33% 26.67% 46.67%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7113-601,1,3,1,3,2,8,1,1,0,0,0,0,0,20,3.068,0,0,0,20
PHAM L,5.00% 15.00%,,5.00% 15.00% 10.00% 40.00%,,,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,3,1,3,2,8,1,1,0,0,0,0,0,20,3.068,0,0,0,20
,5.00% 15.00%,,5.00% 15.00% 10.00% 40.00%,,,5.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7188-601,1,0,4,0,1,2,0,0,0,0,0,0,0,8,3.378,0,0,0,8
HARRISON S12.50%,,0.00% 50.00%,0.00% 12.50% 25.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,0,4,0,1,2,0,0,0,0,0,0,0,8,3.378,0,0,0,8
,12.50%,0.00% 50.00%,0.00% 12.50% 25.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7203-601,1,1,5,4,3,3,0,0,0,0,0,0,0,17,3.334,0,0,0,17
YU P,5.88%,5.88% 29.41% 23.53% 17.65% 17.65%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,1,5,4,3,3,0,0,0,0,0,0,0,17,3.334,0,0,0,17
,5.88%,5.88% 29.41% 23.53% 17.65% 17.65%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7205-601,0,0,1,11,0,0,0,0,0,0,0,0,0,12,3.358,0,0,0,12
SLATTERY J,0.00%,0.00%,8.33% 91.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,1,11,0,0,0,0,0,0,0,0,0,12,3.358,0,0,0,12
,0.00%,0.00%,8.33% 91.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7217-601,0,2,0,1,2,0,1,0,0,0,0,0,0,6,3.276,0,0,0,6
WARE M,0.00% 33.33%,,0.00% 16.67% 33.33%,,0.00% 16.67%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,0,1,2,0,1,0,0,0,0,0,0,6,3.276,0,0,0,6
,0.00% 33.33%,,0.00% 16.67% 33.33%,,0.00% 16.67%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7248-601,1,2,2,0,0,1,0,0,0,0,0,0,0,6,3.67,0,0,0,6
GREEN M,16.67% 33.33% 33.33%,,0.00%,0.00% 16.67%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,2,2,0,0,1,0,0,0,0,0,0,0,6,3.67,0,0,0,6
,16.67% 33.33% 33.33%,,0.00%,0.00% 16.67%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7301-601,0,2,3,5,5,3,3,2,0,0,0,0,0,23,3.028,0,0,0,23
SPURLOCK J,0.00%,8.70% 13.04% 21.74% 21.74% 13.04% 13.04%,,,,,8.70%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,3,5,5,3,3,2,0,0,0,0,0,23,3.028,0,0,0,23
,0.00%,8.70% 13.04% 21.74% 21.74% 13.04% 13.04%,,,,,8.70%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7313-601,1,0,1,4,9,3,3,0,0,0,0,0,0,21,3,0,0,0,21
SEYMORE M,4.76%,0.00%,4.76% 19.05% 42.86% 14.29% 14.29%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,0,1,4,9,3,3,0,0,0,0,0,0,21,3,0,0,0,21
,4.76%,0.00%,4.76% 19.05% 42.86% 14.29% 14.29%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7317-601,0,1,3,3,6,0,1,0,1,0,0,0,0,15,3.133,0,0,0,15
DUFFY T,0.00%,6.67% 20.00% 20.00% 40.00%,,,0.00%,6.67%,0.00%,6.67%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,3,3,6,0,1,0,1,0,0,0,0,15,3.133,0,0,0,15
,0.00%,6.67% 20.00% 20.00% 40.00%,,,0.00%,6.67%,0.00%,6.67%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7319-601,0,3,3,4,13,5,4,1,1,0,0,0,0,34,2.99,1,0,0,35
LUCAS G,0.00%,8.82%,8.82% 11.76% 38.24% 14.71% 11.76%,,,,2.94%,2.94%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,3,3,4,13,5,4,1,1,0,0,0,0,34,2.99,1,0,0,35
,0.00%,8.82%,8.82% 11.76% 38.24% 14.71% 11.76%,,,,2.94%,2.94%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7332-601,1,2,3,6,4,1,1,0,0,0,0,0,0,18,3.333,0,0,0,18
PHAM L,5.56% 11.11% 16.67% 33.33% 22.22%,,,,5.56%,5.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,2,3,6,4,1,1,0,0,0,0,0,0,18,3.333,0,0,0,18
,5.56% 11.11% 16.67% 33.33% 22.22%,,,,5.56%,5.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7339-601,2,2,0,2,2,0,1,1,0,0,0,0,0,10,3.301,0,0,0,10
ECKSTEIN G20.00% 20.00%,,,0.00% 20.00% 20.00%,,0.00% 10.00% 10.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,2,0,2,2,0,1,1,0,0,0,0,0,10,3.301,0,0,0,10
,20.00% 20.00%,,0.00% 20.00% 20.00%,,0.00% 10.00% 10.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7383-601,0,4,3,2,0,0,0,0,0,0,0,0,0,9,3.741,0,0,0,9
SPURLOCK J,0.00% 44.44% 33.33% 22.22%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,4,3,2,0,0,0,0,0,0,0,0,0,9,3.741,0,0,0,9
,0.00% 44.44% 33.33% 22.22%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7389-601,2,2,2,0,0,4,0,0,0,0,0,0,0,10,3.404,0,0,0,10
GREEN M,20.00% 20.00% 20.00%,,0.00%,0.00% 40.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,2,2,0,0,4,0,0,0,0,0,0,0,10,3.404,0,0,0,10
,20.00% 20.00% 20.00%,,0.00%,0.00% 40.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7401-601,0,2,2,3,4,1,0,0,0,0,0,0,0,12,3.333,0,0,0,12
MULVANEY T,0.00% 16.67% 16.67% 25.00% 33.33%,,,,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,2,3,4,1,0,0,0,0,0,0,0,12,3.333,0,0,0,12
,0.00% 16.67% 16.67% 25.00% 33.33%,,,,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7412-601,0,0,0,7,15,7,0,0,0,0,0,0,0,29,3,0,0,0,29
ZADEH J,0.00%,0.00%,0.00% 24.14% 51.72% 24.14%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,0,7,15,7,0,0,0,0,0,0,0,29,3,0,0,0,29
,0.00%,0.00%,0.00% 24.14% 51.72% 24.14%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7418-601,1,5,7,7,15,17,8,3,0,0,0,0,0,63,2.984,0,0,0,63
MORRISON A,1.59%,7.94% 11.11% 11.11% 23.81% 26.98% 12.70%,,,,,4.76%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7418-602,3,3,8,10,13,12,7,2,2,1,0,0,0,61,2.995,0,0,0,61
SOBOL N,4.92%,4.92% 13.11% 16.39% 21.31% 19.67% 11.48%,,,,,3.28%,3.28%,1.64%,0.00%,0.00%,0.00%,,,,,,,
LAW-7418-603,1,3,10,10,18,11,3,4,2,1,0,0,0,63,3,0,0,0,63
MAROUF F,1.59%,4.76% 15.87% 15.87% 28.57% 17.46%,,,,4.76%,6.35%,3.17%,1.59%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,5,11,25,27,46,40,18,9,4,2,0,0,0,187,2.993,0,0,0,187
,2.67%,5.88% 13.37% 14.44% 24.60% 21.39%,,,,9.63%,4.81%,2.14%,1.07%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7432-601,3,4,1,1,0,0,0,0,0,0,0,0,0,9,3.892,0,0,0,9
GARCIA SANCHEZ G,33.33% 44.44% 11.11% 11.11%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,4,1,1,0,0,0,0,0,0,0,0,0,9,3.892,0,0,0,9
,33.33% 44.44% 11.11% 11.11%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7438-601,2,1,2,0,3,2,1,0,0,0,0,0,0,11,3.275,0,0,0,11
CASADO-PEREZ V,18.18%,9.09% 18.18%,0.00% 27.27% 18.18%,,,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,1,2,0,3,2,1,0,0,0,0,0,0,11,3.275,0,0,0,11
,18.18%,9.09% 18.18%,0.00% 27.27% 18.18%,,,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7440-601,1,2,2,3,1,3,0,0,0,0,0,0,0,12,3.362,0,0,0,12
WALLACE W,8.33% 16.67% 16.67% 25.00%,,,8.33% 25.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,2,2,3,1,3,0,0,0,0,0,0,0,12,3.362,0,0,0,12
,8.33% 16.67% 16.67% 25.00%,,,8.33% 25.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7452-601,0,2,1,5,3,1,0,0,0,0,0,0,0,12,3.332,0,0,0,12
VISHNUBHAKAT S,0.00% 16.67%,8.33% 41.67% 25.00%,,,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,1,5,3,1,0,0,0,0,0,0,0,12,3.332,0,0,0,12
,0.00% 16.67%,8.33% 41.67% 25.00%,,,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7458-601,0,0,1,3,2,0,1,0,0,0,0,0,0,7,3.141,0,0,0,7
MCGRATH J,0.00%,0.00% 14.29% 42.86% 28.57%,,,0.00% 14.29%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,1,3,2,0,1,0,0,0,0,0,0,7,3.141,0,0,0,7
,0.00%,0.00% 14.29% 42.86% 28.57%,,,0.00% 14.29%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7483-601,1,2,2,2,2,2,1,0,0,0,0,0,0,12,3.306,0,0,0,12
BARNETT B,8.33% 16.67% 16.67% 16.67% 16.67% 16.67%,,,,,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,2,2,2,2,2,1,0,0,0,0,0,0,12,3.306,0,0,0,12
,8.33% 16.67% 16.67% 16.67% 16.67% 16.67%,,,,,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7488-601,1,3,1,4,3,3,1,0,2,0,0,0,0,18,3.093,0,0,0,18
HENNING W,5.56% 16.67%,5.56% 22.22% 16.67% 16.67%,,,,5.56%,0.00% 11.11%,,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,3,1,4,3,3,1,0,2,0,0,0,0,18,3.093,0,0,0,18
,5.56% 16.67%,5.56% 22.22% 16.67% 16.67%,,,,5.56%,0.00% 11.11%,,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7533-601,0,2,2,7,3,2,0,1,2,0,0,0,0,19,3.07,0,0,0,19
