ARCH-206-500,17,c,d,0,f,0_2,h,0_3,j,0_4,l,m,17_2,o,4.0,q,r,0_5,t,u,0_6,w,0_7,y,z,0_8,bb,cc,0_9,ee,ff,gg,17_3,KIM H,jj,kk
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEWART Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,X,,,,TOTAL,,INSTRUCTOR,,
ARCH-250-700,,69,,19,,4,,3,,1,,,96,,3.583,,0,,,,False,,,False,3,,,,,False,,99,,CAMPAGNOL G,,
,,0.7188,,0.1979,,0.0417,,0.0313,,0.0104,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-701,,86,,12,,0,,0,,1,,,99,,3.838,,0,,,,False,,,False,0,,,,,False,,99,,CAMPAGNOL G,,
,,0.8687,,0.1212,,0.0,,0.0,,0.0101,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,294,,112,,35,,12,,11,,,464,,3.435,,0,,,,False,,,False,11,,,,,False,,475,,,,
,,0.6336,,0.2414,,0.0754,,0.0259,,0.0237,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-260-500,,7,,0,,0,,0,,0,,,7,,4.0,,0,,,,False,,,False,0,,,,,False,,7,,IISAKA M,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,0,,0,,0,,0,,,7,,4.0,,0,,,,False,,,False,0,,,,,False,,7,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
