ARCH-206-500,9,c,d,8,f,0,h,0_2,j,0_3,l,m,17,o,3.529,q,r,0_4,t,u,0_5,w,0_6,y,z,0_7,bb,cc,dd,0_8,ff,gg,17_2,KIM J,jj,kk
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-933,,2,,9,,1,,0,,0,,,12,,3.083,,0,,,,False,,,False,,,0,,0,,,12,,MAFFEI G,,
,,0.1667,,0.75,,0.0833,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,29,,12,,2,,0,,0,,,43,,3.627,,0,,,,False,,,False,,,0,,0,,,43,,,,
,,0.6744,,0.2791,,0.0465,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-328-500,,12,,2,,0,,0,,0,,,14,,3.857,,0,,,,False,,,False,,,0,,0,,,14,,OBRIEN M,,
,,0.8571,,0.1429,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,2,,0,,0,,0,,,14,,3.857,,0,,,,False,,,False,,,0,,0,,,14,,,,
,,0.8571,,0.1429,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-331-500,,6,,14,,11,,5,,3,,,39,,2.384,,0,,,,False,,,False,,,6,,0,,,45,,NICHOLS A,,
,,0.1538,,0.359,,0.2821,,0.1282,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,14,,11,,5,,3,,,39,,2.384,,0,,,,False,,,False,,,6,,0,,,45,,,,
,,0.1538,,0.359,,0.2821,,0.1282,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,
