SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
PSAA-620-700,,5,,1,,0,,0,,,0,,6,,,,3.833,,0,,,0,,,0,,,False,,,0,,6,,,MILESKI J,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,1,,0,,0,,,0,,6,,,,3.833,,0,,,0,,,0,,,False,,,0,,6,,,,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAA-621-399,,3,,2,,0,,0,,,0,,5,,,,3.6,,0,,,0,,,0,,,False,,,0,,5,,,BULLOCK J,
,,0.6,,0.4,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,2,,0,,0,,,0,,5,,,,3.6,,0,,,0,,,0,,,False,,,0,,5,,,,
,,0.6,,0.4,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAA-623-399,,8,,1,,0,,0,,,0,,9,,,,3.888,,0,,,0,,,0,,,False,,,0,,9,,,GRAHAM C,
,,0.8889,,0.1111,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
