SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
AERO-303-501,,20,,27,,7,,1,,,0,,,55,,,3.2,,1,,,,False,,,False,,,0,,0,,56,,WHITE E,,,
,,0.3636,,0.4909,,0.1273,,0.0182,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,35,,50,,12,,4,,,0,,,101,,,3.148,,1,,,,False,,,False,,,2,,0,,104,,,,,
,,0.3465,,0.495,,0.1188,,0.0396,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-500,,15,,27,,26,,4,,,0,,,72,,,2.736,,2,,,,False,,,False,,,2,,0,,76,,ZHUANG L,,,
,,0.2083,,0.375,,0.3611,,0.0556,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,27,,26,,4,,,0,,,72,,,2.736,,2,,,,False,,,False,,,2,,0,,76,,,,,
,,0.2083,,0.375,,0.3611,,0.0556,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-500,,30,,27,,7,,0,,,0,,,64,,,3.359,,0,,,,False,,,False,,,0,,0,,64,,STROUBOULIS,,True,
,,0.4688,,0.4219,,0.1094,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-501,,12,,13,,9,,3,,,1,,,38,,,2.842,,0,,,,False,,,False,,,1,,0,,39,,WHITCOMB J,,,
,,0.3158,,0.3421,,0.2368,,0.0789,,,0.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,42,,40,,16,,3,,,1,,,102,,,3.166,,0,,,,False,,,False,,,1,,0,,103,,,,,
,,0.4118,,0.3922,,0.1569,,0.0294,,,0.0098,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-310-500,,14,,22,,31,,6,,,0,,,73,,,2.602,,0,,,,False,,,False,,,3,,0,,76,,HALDER A,,,
,,0.1918,,0.3014,,0.4247,,0.0822,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,22,,31,,6,,,0,,,73,,,2.602,,0,,,,False,,,False,,,3,,0,,76,,,,,
,,0.1918,,0.3014,,0.4247,,0.0822,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-321-200,,5,,3,,0,,1,,,0,,,9,,,3.333,,0,,,,False,,,False,,,0,,0,,9,,VALASEK J,,,
,,0.5556,,0.3333,,0.0,,0.1111,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-321-500,,11,,27,,45,,2,,,2,,,87,,,2.494,,0,,,,False,,,False,,,1,,0,,88,,VALASEK J,,,
,,0.1264,,0.3103,,0.5172,,0.023,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,30,,45,,3,,,2,,,96,,,2.572,,0,,,,False,,,False,,,1,,0,,97,,,,,
,,0.1667,,0.3125,,0.4688,,0.0313,,,0.0208,,,,,,,,,,,,,,,,,,,,,,,,,,,
