SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,TOTAL,ff,INSTRUCTOR,hh,ii,jj,kk
WILCOX B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TICHENOR N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TICHENOR N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TICHENOR N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TICHENOR N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TICHENOR N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REED H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,,18,,,10,,3,,2,,,,47,2.829,,,True,,,False,False,,,0,,,0,48,,,,,,
,0.2979,,,0.383,,,0.2128,,0.0638,,0.0426,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-500,6,,,10,,,12,,4,,0,,,,32,2.562,,,False,,,False,False,,,9,,,0,41,WHITCOMB J,,,,,
,0.1875,,,0.3125,,,0.375,,0.125,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-501,22,,,27,,,8,,0,,0,,,,57,3.245,,,False,,,False,False,,,0,,,0,57,ZHUANG L,,,,,
,0.386,,,0.4737,,,0.1404,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,28,,,37,,,20,,4,,0,,,,89,3.0,,,False,,,False,False,,,9,,,0,98,,,,,,
,0.3146,,,0.4157,,,0.2247,,0.0449,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-500,9,,,11,,,11,,9,,3,,,,43,2.325,,,False,,,False,False,,,3,,,0,46,WHITCOMB J,,,,,
,0.2093,,,0.2558,,,0.2558,,0.2093,,0.0698,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,11,,,11,,9,,3,,,,43,2.325,,,False,,,False,False,,,3,,,0,46,,,,,,
,0.2093,,,0.2558,,,0.2558,,0.2093,,0.0698,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-310-501,6,,,20,,,14,,2,,4,,,,46,2.478,,,False,,,False,False,,,1,,,0,47,CHAKRAVORTY,,S,,,
,0.1304,,,0.4348,,,0.3043,,0.0435,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-310-502,12,,,26,,,13,,2,,0,,,,53,2.905,,,False,,,False,False,,,1,,,0,54,CHAKRAVORTY,,S,,,
,0.2264,,,0.4906,,,0.2453,,0.0377,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,,46,,,27,,4,,4,,,,99,2.707,,,False,,,False,False,,,2,,,0,101,,,,,,
,0.1818,,,0.4646,,,0.2727,,0.0404,,0.0404,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-321-500,18,,,22,,,18,,5,,0,,,,63,2.841,,,False,,,False,False,,,2,,,0,65,SAHA D,,,,,
,0.2857,,,0.3492,,,0.2857,,0.0794,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,,22,,,18,,5,,0,,,,63,2.841,,,False,,,False,False,,,2,,,0,65,,,,,,
,0.2857,,,0.3492,,,0.2857,,0.0794,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-351-500,5,,,13,,,23,,5,,3,,,,49,2.244,,,False,,,False,False,,,7,,,0,56,CIZMAS P,,,,,
,0.102,,,0.2653,,,0.4694,,0.102,,0.0612,,,,,,,,,,,,,,,,,,,,,,,,,
