SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
AERO-201-500,,2,,12,,14,,0,,,0,,28,,,,2.571,,0,,,0,,,0,,,False,,,0,,28,,,SHRYOCK K,,
,,0.0714,,0.4286,,0.5,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,2,,12,,14,,0,,,0,,28,,,,2.571,,0,,,0,,,0,,,False,,,0,,28,,,,,
,,0.0714,,0.4286,,0.5,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-500,,11,,15,,12,,2,,,0,,40,,,,2.875,,0,,,0,,,0,,,False,,,0,,40,,,DEMARS K,,
,,0.275,,0.375,,0.3,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,15,,12,,2,,,0,,40,,,,2.875,,0,,,0,,,0,,,False,,,0,,40,,,,,
,,0.275,,0.375,,0.3,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-200,,11,,9,,11,,1,,,0,,32,,,,2.937,,0,,,0,,,0,,,False,,,0,,32,,,BOYD J,,
,,0.3438,,0.2813,,0.3438,,0.0313,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-500,,1,,6,,4,,0,,,0,,11,,,,2.727,,0,,,0,,,0,,,False,,,0,,11,,,BOYD J,,
,,0.0909,,0.5455,,0.3636,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-501,,13,,18,,9,,1,,,2,,43,,,,2.906,,0,,,0,,,0,,,False,,,0,,43,,,BOYD J,,
,,0.3023,,0.4186,,0.2093,,0.0233,,,0.0465,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-502,,11,,19,,9,,4,,,0,,43,,,,2.86,,0,,,0,,,0,,,False,,,0,,43,,,ANDRIENKO D,,
,,0.2558,,0.4419,,0.2093,,0.093,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-503,,7,,21,,9,,4,,,1,,42,,,,2.69,,0,,,0,,,0,,,False,,,0,,42,,,ANDRIENKO D,,
,,0.1667,,0.5,,0.2143,,0.0952,,,0.0238,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,43,,73,,42,,10,,,3,,171,,,,2.836,,0,,,0,,,0,,,False,,,0,,171,,,,,
,,0.2515,,0.4269,,0.2456,,0.0585,,,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-500,,1,,12,,12,,3,,,0,,28,,,,2.392,,0,,,0,,,0,,,False,,,0,,28,,,LE GRAVEREND J,,
,,0.0357,,0.4286,,0.4286,,0.1071,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-501,,4,,20,,13,,2,,,0,,39,,,,2.666,,0,,,0,,,0,,,False,,,0,,39,,,LE GRAVEREND J,,
,,0.1026,,0.5128,,0.3333,,0.0513,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
