SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll
,,0.9048,,0.0952,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
AERO-302-902,,18,,2,,0,,0,,,0,,20,,,,3.9,,0,,,False,,,False,,,0,,,False,,20,,,TICHENOR N,
,,0.9,,0.1,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-302-903,,20,,1,,0,,0,,,0,,21,,,,3.952,,0,,,False,,,False,,,1,,,False,,22,,,TICHENOR N,
,,0.9524,,0.0476,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-302-904,,19,,2,,0,,0,,,0,,21,,,,3.904,,0,,,False,,,False,,,0,,,False,,21,,,TICHENOR N,
,,0.9048,,0.0952,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-302-905,,16,,4,,0,,0,,,0,,20,,,,3.8,,0,,,False,,,False,,,0,,,False,,20,,,TICHENOR N,
,,0.8,,0.2,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,92,,11,,0,,0,,,0,,103,,,,3.893,,0,,,False,,,False,,,1,,,False,,104,,,,
,,0.8932,,0.1068,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-303-200,,3,,1,,0,,0,,,1,,5,,,,3.0,,0,,,False,,,False,,,0,,,False,,5,,,POLUDNENKO O,
,,0.6,,0.2,,0.0,,0.0,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-303-500,,15,,32,,12,,2,,,0,,61,,,,2.983,,0,,,False,,,False,,,1,,,False,,62,,,POLUDNENKO O,
,,0.2459,,0.5246,,0.1967,,0.0328,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,33,,12,,2,,,1,,66,,,,2.984,,0,,,False,,,False,,,1,,,False,,67,,,,
,,0.2727,,0.5,,0.1818,,0.0303,,,0.0152,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-200,,4,,2,,0,,0,,,0,,6,,,,3.666,,0,,,False,,,False,,,0,,,False,,6,,,KINRA V,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-500,,18,,21,,11,,3,,,1,,54,,,,2.962,,0,,,False,,,False,,,4,,,True,,59,,,KINRA V,
,,0.3333,,0.3889,,0.2037,,0.0556,,,0.0185,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-501,,18,,19,,13,,0,,,0,,50,,,,3.1,,0,,,False,,,False,,,2,,,False,,52,,,TALREJA R,
,,0.36,,0.38,,0.26,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,40,,42,,24,,3,,,1,,110,,,,3.063,,0,,,False,,,False,,,6,,,True,,117,,,,
,,0.3636,,0.3818,,0.2182,,0.0273,,,0.0091,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-500,,6,,9,,15,,11,,,0,,41,,,,2.243,,0,,,False,,,False,,,9,,,False,,50,,,WHITCOMB J,
,,0.1463,,0.2195,,0.3659,,0.2683,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
