SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
PHEO-600-600,,5,,2,,0,,0,,,0,,7,,,,3.714,,0,,,0,,,0,,,False,,,0,,7,,,BENDEN M,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,2,,0,,0,,,0,,7,,,,3.714,,0,,,0,,,0,,,False,,,0,,7,,,,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-605-600,,22,,0,,0,,0,,,0,,22,,,,4.0,,1,,,0,,,0,,,False,,,0,,23,,,MCDONALD T,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,0,,0,,0,,,0,,22,,,,4.0,,1,,,0,,,0,,,False,,,0,,23,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-613-700,,5,,0,,0,,0,,,0,,5,,,,4.0,,0,,,0,,,0,,,False,,,0,,5,,,CARRILLO G,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,0,,0,,0,,,0,,5,,,,4.0,,0,,,0,,,0,,,False,,,0,,5,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-618-600,,11,,5,,1,,0,,,0,,17,,,,3.588,,0,,,0,,,0,,,True,,,0,,18,,,PICKENS A,
,,0.6471,,0.2941,,0.0588,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,5,,1,,0,,,0,,17,,,,3.588,,0,,,0,,,0,,,True,,,0,,18,,,,
,,0.6471,,0.2941,,0.0588,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
