SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,F      A - F,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,X    TOTAL,dd,ee,ff,gg,INSTRUCTOR,ii,jj,kk
PHEO-650-699,,28,,,0,,,0,,0,,,0,,28,,4.0,,,1,,,False,,False,,False,,,False,,29,,RENE A,,
,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,28,,,0,,,0,,0,,,0,,28,,4.0,,,1,,,False,,False,,False,,,False,,29,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHEO-655-600,,16,,,5,,,0,,0,,,0,,21,,3.761,,,0,,,False,,False,,False,,,False,,21,,PERES C,,
,,0.7619,,,0.2381,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,,5,,,0,,0,,,0,,21,,3.761,,,0,,,False,,False,,False,,,False,,21,,,,
,,0.7619,,,0.2381,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHEO-675-600,,11,,,2,,,0,,0,,,0,,13,,3.846,,,0,,,False,,False,,False,,,False,,13,,SHARMA V,,
,,0.8462,,,0.1538,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,2,,,0,,0,,,0,,13,,3.846,,,0,,,False,,False,,False,,,False,,13,,,,
,,0.8462,,,0.1538,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHEO-679-600,,8,,,2,,,0,,0,,,0,,10,,3.8,,,0,,,False,,False,,False,,,False,,10,,BENDEN M,,
,,0.8,,,0.2,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,,2,,,0,,0,,,0,,10,,3.8,,,0,,,False,,False,,False,,,False,,10,,,,
,,0.8,,,0.2,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHEO-689-600,,8,,,1,,,0,,0,,,0,,9,,3.888,,,0,,,False,,False,,False,,,False,,9,,MEHTA R,,
,,0.8889,,,0.1111,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,,1,,,0,,0,,,0,,9,,3.888,,,0,,,False,,False,,False,,,False,,9,,,,
,,0.8889,,,0.1111,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,150,,,29,,,4,,1,,,0,,1843.782,,,,,3,,,False,,False,,False,,,False,,187,,,,
,,0.8152,,,0.1576,,,0.0217,,0.0054,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
