,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
,4.67%,7.48% 10.28% 12.15% 30.84% 14.95% 10.28%,,,,,4.67%,3.74%,0.93%,0.00%,0.00%,0.00%,,,,,,,
LAW-7042-601,1,7,2,14,24,18,5,1,4,0,0,0,0,76,2.978,0,0,0,76
SHORT A,1.32%,9.21%,2.63% 18.42% 31.58% 23.68%,,,6.58%,1.32%,5.26%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7042-602,5,0,11,8,44,23,0,7,0,0,0,0,0,98,3.004,0,0,0,98
REILLY P,5.10%,0.00% 11.22%,8.16% 44.90% 23.47%,,,0.00%,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,6,7,13,22,68,41,5,8,4,0,0,0,0,174,2.993,0,0,0,174
,3.45%,4.02%,7.47% 12.64% 39.08% 23.56%,,,2.87%,4.60%,2.30%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7056-601,0,4,2,14,11,15,4,0,1,0,0,0,0,51,3.019,0,3,0,51
ALEXANDER L0.00%,,7.84%,3.92% 27.45% 21.57% 29.41%,,,7.84%,0.00%,1.96%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,4,2,14,11,15,4,0,1,0,0,0,0,51,3.019,0,3,0,51
,0.00%,7.84%,3.92% 27.45% 21.57% 29.41%,,,7.84%,0.00%,1.96%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7065-601,0,3,11,11,14,10,5,4,1,0,1,0,0,60,3,0,0,0,60
PHILLIPS S,0.00%,5.00% 18.33% 18.33% 23.33% 16.67%,,,,8.33%,6.67%,1.67%,0.00%,1.67%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,3,11,11,14,10,5,4,1,0,1,0,0,60,3,0,0,0,60
,0.00%,5.00% 18.33% 18.33% 23.33% 16.67%,,,,8.33%,6.67%,1.67%,0.00%,1.67%,0.00%,0.00%,,,,,,,
LAW-7076-601,0,6,7,8,5,16,5,4,0,0,0,0,0,51,3.013,0,3,0,51
ALTON S,0.00% 11.76% 13.73% 15.69%,,,9.80% 31.37%,,9.80%,7.84%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
COURSE TOTAL:,0,6,7,8,5,16,5,4,0,0,0,0,0,51,3.013,0,3,0,51
,0.00% 11.76% 13.73% 15.69%,,,9.80% 31.37%,,9.80%,7.84%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7080-601,1,8,6,9,14,11,11,4,1,0,0,0,0,65,2.994,0,0,0,65
SEYMORE M,1.54% 12.31%,9.23% 13.85% 21.54% 16.92% 16.92%,,,,,6.15%,1.54%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,8,6,9,14,11,11,4,1,0,0,0,0,65,2.994,0,0,0,65
