,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,FOUNDATIONAL SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CHEM-101-401,5,10,15,9,2,41,2.17,0,0,0,3,0,44,ULLOA O
,12.20%,24.39%,36.59%,21.95%,4.88%,,,,,,,,,
COURSE TOTAL:,5,10,15,9,2,41,2.17,0,0,0,3,0,44,
,12.20%,24.39%,36.59%,21.95%,4.88%,,,,,,,,,
CHEM-102-200,4,4,5,0,0,13,2.923,0,0,0,0,0,13,GALAN J
,30.77%,30.77%,38.46%,0.00%,0.00%,,,,,,,,,
CHEM-102-401,7,16,33,23,2,81,2.037,0,0,0,2,0,83,TOWNSEND G
,8.64%,19.75%,40.74%,28.40%,2.47%,,,,,,,,,
CHEM-102-402,1,7,13,22,7,50,1.46,0,0,0,7,0,57,NAIR R
,2.00%,14.00%,26.00%,44.00%,14.00%,,,,,,,,,
CHEM-102-403,4,11,15,13,3,46,2,0,0,0,5,0,51,NAIR R
,8.70%,23.91%,32.61%,28.26%,6.52%,,,,,,,,,
COURSE TOTAL:,16,38,66,58,12,190,1.936,0,0,0,14,0,204,
,8.42%,20.00%,34.74%,30.53%,6.32%,,,,,,,,,
CHEM-106-401,7,5,2,2,0,16,3.062,0,0,0,0,0,16,TOWNSEND G
,43.75%,31.25%,12.50%,12.50%,0.00%,,,,,,,,,
COURSE TOTAL:,7,5,2,2,0,16,3.062,0,0,0,0,0,16,
,43.75%,31.25%,12.50%,12.50%,0.00%,,,,,,,,,
CHEM-107-401,5,12,19,15,13,64,1.703,0,0,0,9,0,73,NAIR R
,7.81%,18.75%,29.69%,23.44%,20.31%,,,,,,,,,
COURSE TOTAL:,5,12,19,15,13,64,1.703,0,0,0,9,0,73,
,7.81%,18.75%,29.69%,23.44%,20.31%,,,,,,,,,
CHEM-111-401,4,7,2,1,0,14,3,0,0,0,0,0,14,TOWNSEND G
,28.57%,50.00%,14.29%,7.14%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,FOUNDATIONAL SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CHEM-111-402,4,4,1,0,1,10,3,0,0,0,1,0,11,TOWNSEND G
