,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
COURSE TOTAL:,26,19,5,0,1,51,3.352,0,0,0,1,0,52,
,50.98%,37.25%,9.80%,0.00%,1.96%,,,,,,,,,
ACCT-450-200,5,0,0,0,0,5,4,0,0,0,0,0,5,HEAD M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4,0,0,0,0,0,5,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-603-100,43,4,0,0,0,47,3.914,0,0,0,0,0,47,FARMER K
,91.49%,8.51%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,43,4,0,0,0,47,3.914,0,0,0,0,0,47,
,91.49%,8.51%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-628-201,27,8,2,0,1,38,3.578,0,0,0,1,0,39,SANDERS J
,71.05%,21.05%,5.26%,0.00%,2.63%,,,,,,,,,
ACCT-628-202,27,9,1,0,1,38,3.605,1,0,0,1,0,40,SANDERS J
,71.05%,23.68%,2.63%,0.00%,2.63%,,,,,,,,,
COURSE TOTAL:,54,17,3,0,2,76,3.592,1,0,0,2,0,79,
,71.05%,22.37%,3.95%,0.00%,2.63%,,,,,,,,,
ACCT-629-200,31,2,0,0,0,33,3.939,0,0,0,0,0,33,FLAGG J
,93.94%,6.06%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,31,2,0,0,0,33,3.939,0,0,0,0,0,33,
,93.94%,6.06%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ACCT-640-700,17,12,4,1,0,34,3.323,0,0,0,2,0,36,FOSTER C
,50.00%,35.29%,11.76%,2.94%,0.00%,,,,,,,,,
COURSE TOTAL:,17,12,4,1,0,34,3.323,0,0,0,2,0,36,
,50.00%,35.29%,11.76%,2.94%,0.00%,,,,,,,,,
ACCT-647-200,23,14,1,0,0,38,3.578,0,0,0,1,0,39,REDMAN K
,60.53%,36.84%,2.63%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,14,1,0,0,38,3.578,0,0,0,1,0,39,
,60.53%,36.84%,2.63%,0.00%,0.00%,,,,,,,,,
ACCT-650-600,64,0,0,0,0,64,4,0,0,0,0,0,64,HEAD M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,64,0,0,0,0,64,4,0,0,0,0,0,64,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,696,386,203,28,17,1330,3.274,3,0,0,33,0,1366,
,52.33%,29.02%,15.26%,2.11%,1.28%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF BUSINESS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
BUAD-620-661,50,2,0,0,0,52,3.961,0,0,0,0,0,52,KRAJICEK J
,96.15%,3.85%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,50,2,0,0,0,52,3.961,0,0,0,0,0,52,
,96.15%,3.85%,0.00%,0.00%,0.00%,,,,,,,,,
BUAD-679-101,6,0,0,0,0,6,4,0,0,0,0,0,6,MARCANTONIO J
