,85.00%,5.00%,10.00%,0.00%,0.00%,,,,,,,,,
ENGL-210-397,20,0,0,0,0,20,4,0,0,0,2,0,22,PRESSWOOD P
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-210-398,13,1,3,0,0,17,3.588,0,0,0,0,0,17,GARZA-HORNE J
,76.47%,5.88%,17.65%,0.00%,0.00%,,,,,,,,,
ENGL-210-498,10,6,1,2,0,19,3.263,0,0,0,0,0,19,GARZA-HORNE J
,52.63%,31.58%,5.26%,10.53%,0.00%,,,,,,,,,
COURSE TOTAL:,43,7,4,2,0,56,3.625,0,0,0,2,0,58,
,76.79%,12.50%,7.14%,3.57%,0.00%,,,,,,,,,
ENGL-251-100,4,9,3,0,1,17,2.882,0,0,0,0,0,17,TRABER D
,23.53%,52.94%,17.65%,0.00%,5.88%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,LIBERAL STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,4,9,3,0,1,17,2.882,0,0,0,0,0,17,
,23.53%,52.94%,17.65%,0.00%,5.88%,,,,,,,,,
HISP-204-399,4,2,0,0,2,8,2.75,0,0,0,0,0,8,MANDUJANO M
,50.00%,25.00%,0.00%,0.00%,25.00%,,,,,,,,,
COURSE TOTAL:,4,2,0,0,2,8,2.75,0,0,0,0,0,8,
,50.00%,25.00%,0.00%,0.00%,25.00%,,,,,,,,,
HIST-106-201,11,0,1,0,0,12,3.833,0,0,0,0,0,12,FALVO K
,91.67%,0.00%,8.33%,0.00%,0.00%,,,,,,,,,
HIST-106-701,9,2,1,3,2,17,2.764,0,0,0,0,0,17,FALVO K
,52.94%,11.76%,5.88%,17.65%,11.76%,,,,,,,,,
HIST-106-702,4,3,3,0,1,11,2.818,0,0,0,0,0,11,FALVO K
,36.36%,27.27%,27.27%,0.00%,9.09%,,,,,,,,,
COURSE TOTAL:,24,5,5,3,3,40,3.1,0,0,0,0,0,40,
,60.00%,12.50%,12.50%,7.50%,7.50%,,,,,,,,,
MAST-345-999,4,2,1,0,3,10,2.4,0,0,0,0,0,10,JOSVOLL K
,40.00%,20.00%,10.00%,0.00%,30.00%,,,,,,,,,
COURSE TOTAL:,4,2,1,0,3,10,2.4,0,0,0,0,0,10,
,40.00%,20.00%,10.00%,0.00%,30.00%,,,,,,,,,
MUSC-226-700,29,0,0,0,1,30,3.866,0,0,0,1,0,31,KATES-HAMMOND C
,96.67%,0.00%,0.00%,0.00%,3.33%,,,,,,,,,
COURSE TOTAL:,29,0,0,0,1,30,3.866,0,0,0,1,0,31,
,96.67%,0.00%,0.00%,0.00%,3.33%,,,,,,,,,
POLS-206-399,11,8,7,0,1,27,3.037,0,0,0,0,0,27,HANEY A
,40.74%,29.63%,25.93%,0.00%,3.70%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,LIBERAL STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
POLS-206-701,4,5,3,4,5,21,1.952,0,0,0,0,0,21,HANEY A
,19.05%,23.81%,14.29%,19.05%,23.81%,,,,,,,,,
COURSE TOTAL:,15,13,10,4,6,48,2.562,0,0,0,0,0,48,
,31.25%,27.08%,20.83%,8.33%,12.50%,,,,,,,,,
POLS-207-399,10,10,3,1,1,25,3.08,0,0,0,0,0,25,HANEY A
,40.00%,40.00%,12.00%,4.00%,4.00%,,,,,,,,,
POLS-207-701,4,10,8,0,4,26,2.384,0,0,0,0,0,26,HANEY A
,15.38%,38.46%,30.77%,0.00%,15.38%,,,,,,,,,
COURSE TOTAL:,14,20,11,1,5,51,2.725,0,0,0,0,0,51,
,27.45%,39.22%,21.57%,1.96%,9.80%,,,,,,,,,
DEPARTMENT TOTAL:,168,67,37,10,23,305,3.137,0,0,0,4,0,309,
,55.08%,21.97%,12.13%,3.28%,7.54%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,MARINE & COASTAL ENVIRON SCI,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
OCNG-251-401,5,4,0,0,1,10,3.2,0,0,0,0,0,10,COLEMAN C
,50.00%,40.00%,0.00%,0.00%,10.00%,,,,,,,,,
COURSE TOTAL:,5,4,0,0,1,10,3.2,0,0,0,0,0,10,
,50.00%,40.00%,0.00%,0.00%,10.00%,,,,,,,,,
DEPARTMENT TOTAL:,5,4,0,0,1,10,3.2,0,0,0,0,0,10,
,50.00%,40.00%,0.00%,0.00%,10.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,MARINE BIOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
MARB-610-199,8,0,0,0,0,8,4,0,0,0,0,0,8,ARMITAGE A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4,0,0,0,0,0,8,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,8,0,0,0,0,8,4,0,0,0,0,0,8,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,MARINE ENGINEERING TECHNOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
MARE-261-301,0,2,3,1,1,7,1.857,0,0,0,0,0,7,KHAN I
,0.00%,28.57%,42.86%,14.29%,14.29%,,,,,,,,,
COURSE TOTAL:,0,2,3,1,1,7,1.857,0,0,0,0,0,7,
,0.00%,28.57%,42.86%,14.29%,14.29%,,,,,,,,,
MARE-305-199,0,3,8,0,0,11,2.272,0,0,0,0,0,11,COLEMAN G
,0.00%,27.27%,72.73%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,0,3,8,0,0,11,2.272,0,0,0,0,0,11,
,0.00%,27.27%,72.73%,0.00%,0.00%,,,,,,,,,
MARE-306-199,1,5,6,2,1,15,2.2,0,0,0,0,0,15,KHAN I
,6.67%,33.33%,40.00%,13.33%,6.67%,,,,,,,,,
COURSE TOTAL:,1,5,6,2,1,15,2.2,0,0,0,0,0,15,
,6.67%,33.33%,40.00%,13.33%,6.67%,,,,,,,,,
MARE-307-200,0,3,2,0,0,5,2.6,0,0,0,1,0,6,POTIER P
,0.00%,60.00%,40.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,0,3,2,0,0,5,2.6,0,0,0,1,0,6,
,0.00%,60.00%,40.00%,0.00%,0.00%,,,,,,,,,
MARE-441-299,1,5,4,0,1,11,2.454,0,0,0,1,0,12,COLEMAN G
,9.09%,45.45%,36.36%,0.00%,9.09%,,,,,,,,,
COURSE TOTAL:,1,5,4,0,1,11,2.454,0,0,0,1,0,12,
,9.09%,45.45%,36.36%,0.00%,9.09%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,MARINE ENGINEERING TECHNOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,2,18,23,3,3,49,2.265,0,0,0,2,0,51,
,4.08%,36.73%,46.94%,6.12%,6.12%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,MARITIME & BUSINESS ADMIN,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ACCT-230-401,7,5,2,0,1,15,3.133,0,0,0,0,0,15,KNOX K
,46.67%,33.33%,13.33%,0.00%,6.67%,,,,,,,,,
COURSE TOTAL:,7,5,2,0,1,15,3.133,0,0,0,0,0,15,
,46.67%,33.33%,13.33%,0.00%,6.67%,,,,,,,,,
ECON-202-399,23,5,5,3,12,48,2.5,0,0,0,0,0,48,BOUDREAUX L
,47.92%,10.42%,10.42%,6.25%,25.00%,,,,,,,,,
COURSE TOTAL:,23,5,5,3,12,48,2.5,0,0,0,0,0,48,
,47.92%,10.42%,10.42%,6.25%,25.00%,,,,,,,,,
ECON-203-499,23,5,3,0,2,33,3.424,0,0,0,0,0,33,BOUDREAUX L
,69.70%,15.15%,9.09%,0.00%,6.06%,,,,,,,,,
COURSE TOTAL:,23,5,3,0,2,33,3.424,0,0,0,0,0,33,
,69.70%,15.15%,9.09%,0.00%,6.06%,,,,,,,,,
ECON-323-399,5,12,8,1,2,28,2.607,0,0,0,0,0,28,MYKONIATIS N
,17.86%,42.86%,28.57%,3.57%,7.14%,,,,,,,,,
COURSE TOTAL:,5,12,8,1,2,28,2.607,0,0,0,0,0,28,
,17.86%,42.86%,28.57%,3.57%,7.14%,,,,,,,,,
ECON-452-499,19,3,1,0,0,23,3.782,0,0,0,0,0,23,BOUDREAUX L
,82.61%,13.04%,4.35%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,3,1,0,0,23,3.782,0,0,0,0,0,23,
,82.61%,13.04%,4.35%,0.00%,0.00%,,,,,,,,,
MARA-205-299,3,4,4,0,0,11,2.909,0,0,0,0,0,11,BOUDREAUX L
,27.27%,36.36%,36.36%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,4,4,0,0,11,2.909,0,0,0,0,0,11,
,27.27%,36.36%,36.36%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,MARITIME & BUSINESS ADMIN,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
MARA-301-399,14,5,0,0,12,31,2.29,0,0,0,0,0,31,BOUDREAUX L
,45.16%,16.13%,0.00%,0.00%,38.71%,,,,,,,,,
COURSE TOTAL:,14,5,0,0,12,31,2.29,0,0,0,0,0,31,
,45.16%,16.13%,0.00%,0.00%,38.71%,,,,,,,,,
MARA-363-399,38,13,0,0,1,52,3.673,0,0,0,0,0,52,NWABUEZE U
,73.08%,25.00%,0.00%,0.00%,1.92%,,,,,,,,,
COURSE TOTAL:,38,13,0,0,1,52,3.673,0,0,0,0,0,52,
,73.08%,25.00%,0.00%,0.00%,1.92%,,,,,,,,,
MARA-373-299,19,11,5,4,1,40,3.075,0,0,0,0,0,40,NWABUEZE U
,47.50%,27.50%,12.50%,10.00%,2.50%,,,,,,,,,
COURSE TOTAL:,19,11,5,4,1,40,3.075,0,0,0,0,0,40,
,47.50%,27.50%,12.50%,10.00%,2.50%,,,,,,,,,
MARA-416-299,23,7,1,0,0,31,3.709,5,0,0,3,0,39,WATERWORTH L
,74.19%,22.58%,3.23%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,7,1,0,0,31,3.709,5,0,0,3,0,39,
,74.19%,22.58%,3.23%,0.00%,0.00%,,,,,,,,,
MARA-421-399,40,5,5,0,0,50,3.7,1,0,0,0,0,51,WOODS K
,80.00%,10.00%,10.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,40,5,5,0,0,50,3.7,1,0,0,0,0,51,
,80.00%,10.00%,10.00%,0.00%,0.00%,,,,,,,,,
MARA-424-700,10,2,0,0,0,12,3.833,0,0,0,0,0,12,BRHO M
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,2,0,0,0,12,3.833,0,0,0,0,0,12,
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,MARITIME & BUSINESS ADMIN,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
MARA-440-399,3,11,6,4,4,28,2.178,0,0,0,0,0,28,MYKONIATIS N
,10.71%,39.29%,21.43%,14.29%,14.29%,,,,,,,,,
COURSE TOTAL:,3,11,6,4,4,28,2.178,0,0,0,0,0,28,
,10.71%,39.29%,21.43%,14.29%,14.29%,,,,,,,,,
MARA-450-700,6,4,1,0,0,11,3.454,0,0,0,0,0,11,BRHO M
,54.55%,36.36%,9.09%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,4,1,0,0,11,3.454,0,0,0,0,0,11,
,54.55%,36.36%,9.09%,0.00%,0.00%,,,,,,,,,
MARA-466-999,0,13,6,2,1,22,2.409,0,0,0,0,0,22,NWABUEZE U
,0.00%,59.09%,27.27%,9.09%,4.55%,,,,,,,,,
COURSE TOTAL:,0,13,6,2,1,22,2.409,0,0,0,0,0,22,
,0.00%,59.09%,27.27%,9.09%,4.55%,,,,,,,,,
MARA-475-399,12,5,3,0,0,20,3.45,0,0,0,0,0,20,CONWAY S
,60.00%,25.00%,15.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,5,3,0,0,20,3.45,0,0,0,0,0,20,
,60.00%,25.00%,15.00%,0.00%,0.00%,,,,,,,,,
MARA-636-199,9,2,0,0,0,11,3.818,0,0,0,0,0,11,WANG P
,81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,2,0,0,0,11,3.818,0,0,0,0,0,11,
,81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
MARA-640-700,21,2,0,0,0,23,3.913,0,0,0,0,0,23,BRHO M
,91.30%,8.70%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,2,0,0,0,23,3.913,0,0,0,0,0,23,
,91.30%,8.70%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,MARITIME & BUSINESS ADMIN,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
MARA-641-701,7,0,0,0,0,7,4,0,0,0,0,0,7,BRHO M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4,0,0,0,0,0,7,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MARA-664-199,5,4,0,0,0,9,3.555,0,0,0,2,0,11,WANG P
,55.56%,44.44%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,4,0,0,0,9,3.555,0,0,0,2,0,11,
,55.56%,44.44%,0.00%,0.00%,0.00%,,,,,,,,,
MARA-672-399,4,1,0,0,1,6,3.166,0,0,0,1,0,7,MYKONIATIS N
,66.67%,16.67%,0.00%,0.00%,16.67%,,,,,,,,,
COURSE TOTAL:,4,1,0,0,1,6,3.166,0,0,0,1,0,7,
,66.67%,16.67%,0.00%,0.00%,16.67%,,,,,,,,,
SCMT-303-199,7,14,3,5,2,31,2.612,0,0,0,1,0,32,WANG P
,22.58%,45.16%,9.68%,16.13%,6.45%,,,,,,,,,
COURSE TOTAL:,7,14,3,5,2,31,2.612,0,0,0,1,0,32,
,22.58%,45.16%,9.68%,16.13%,6.45%,,,,,,,,,
SCMT-364-199,6,5,0,1,2,14,2.857,0,0,0,0,0,14,WANG P
,42.86%,35.71%,0.00%,7.14%,14.29%,,,,,,,,,
COURSE TOTAL:,6,5,0,1,2,14,2.857,0,0,0,0,0,14,
,42.86%,35.71%,0.00%,7.14%,14.29%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,MARITIME & BUSINESS ADMIN,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,304,138,53,20,41,556,3.158,6,0,0,7,0,569,
,54.68%,24.82%,9.53%,3.60%,7.37%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,MARITIME TRANSPORTATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
MART-202-200,4,8,5,0,2,19,2.631,0,0,0,1,0,20,ASKINS D
,21.05%,42.11%,26.32%,0.00%,10.53%,,,,,,,,,
COURSE TOTAL:,4,8,5,0,2,19,2.631,0,0,0,1,0,20,
,21.05%,42.11%,26.32%,0.00%,10.53%,,,,,,,,,
MART-208-100,4,8,2,0,0,14,3.142,0,0,0,0,0,14,PETERLIN J
,28.57%,57.14%,14.29%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,8,2,0,0,14,3.142,0,0,0,0,0,14,
,28.57%,57.14%,14.29%,0.00%,0.00%,,,,,,,,,
MART-212-100,10,13,3,0,0,26,3.269,0,0,0,0,0,26,ASKINS D
,38.46%,50.00%,11.54%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,13,3,0,0,26,3.269,0,0,0,0,0,26,
,38.46%,50.00%,11.54%,0.00%,0.00%,,,,,,,,,
MART-213-100,6,5,0,0,0,11,3.545,0,0,0,1,0,12,LUNA A
,54.55%,45.45%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,5,0,0,0,11,3.545,0,0,0,1,0,12,
,54.55%,45.45%,0.00%,0.00%,0.00%,,,,,,,,,
MART-215-200,5,9,0,1,1,16,3,0,0,0,0,0,16,PETERLIN J
,31.25%,56.25%,0.00%,6.25%,6.25%,,,,,,,,,
COURSE TOTAL:,5,9,0,1,1,16,3,0,0,0,0,0,16,
,31.25%,56.25%,0.00%,6.25%,6.25%,,,,,,,,,
MART-307-200,3,8,1,0,0,12,3.166,0,0,0,1,0,13,LUNA A
,25.00%,66.67%,8.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,8,1,0,0,12,3.166,0,0,0,1,0,13,
,25.00%,66.67%,8.33%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
