SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
BIMS-489-502,,21,,2,,3,,0,,,0,,26,,3.692,,False,,,False,,False,,0,,,0,,26,,YOUNG C,
,,0.8077,,0.0769,,0.1154,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
BIMS-489-503,,41,,1,,0,,0,,,0,,42,,3.976,,False,,,False,,False,,1,,,0,,43,,YOUNG C,
,,0.9762,,0.0238,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
BIMS-489-504,,34,,2,,3,,0,,,0,,39,,3.794,,False,,,False,,False,,0,,,0,,39,,YOUNG C,
,,0.8718,,0.0513,,0.0769,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,132,,5,,7,,0,,,0,,144,,3.868,,False,,,False,,False,,1,,,0,,145,,,
,,0.9167,,0.0347,,0.0486,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
BIMS-491-917,,5,,0,,0,,0,,,0,,5,,4.0,,False,,,False,,False,,0,,,0,,5,,QUICK C,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,0,,0,,0,,,0,,5,,4.0,,False,,,False,,False,,0,,,0,,5,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
VMID-689-600,,25,,1,,0,,0,,,0,,26,,3.961,,False,,,False,,False,,1,,,0,,27,,BURGHARDT R,
,,0.9615,,0.0385,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,1,,0,,0,,,0,,26,,3.961,,False,,,False,,False,,1,,,0,,27,,,
,,0.9615,,0.0385,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
