SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
EDAD-606-700,,9,,0,,0,,0,,,0,,9,,,,4.0,,0,,,0,,,0,,,False,,,0,,9,,,WEBB-JOHNSON G,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,0,,0,,0,,,0,,9,,,,4.0,,0,,,0,,,0,,,False,,,0,,9,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-608-700,,9,,0,,0,,0,,,0,,9,,,,4.0,,0,,,0,,,0,,,False,,,0,,9,,,MORRIS E,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,0,,0,,0,,,0,,9,,,,4.0,,0,,,0,,,0,,,False,,,0,,9,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-609-700,,21,,3,,0,,0,,,0,,24,,,,3.875,,0,,,0,,,0,,,False,,,0,,24,,,POENITZSCH N,
,,0.875,,0.125,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,3,,0,,0,,,0,,24,,,,3.875,,0,,,0,,,0,,,False,,,0,,24,,,,
,,0.875,,0.125,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-610-100,,7,,0,,0,,0,,,0,,7,,,,4.0,,0,,,0,,,0,,,False,,,0,,7,,,MUSOBA G,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,0,,0,,0,,,0,,7,,,,4.0,,0,,,0,,,0,,,False,,,0,,7,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-619-700,,11,,3,,0,,0,,,0,,14,,,,3.785,,0,,,0,,,0,,,False,,,0,,14,,,RODRIGUEZ R,
,,0.7857,,0.2143,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,3,,0,,0,,,0,,14,,,,3.785,,0,,,0,,,0,,,False,,,0,,14,,,,
,,0.7857,,0.2143,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-623-700,,12,,0,,0,,0,,,0,,12,,,,4.0,,1,,,0,,,0,,,False,,,0,,13,,,HASTINGS C,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,0,,0,,0,,,0,,12,,,,4.0,,1,,,0,,,0,,,False,,,0,,13,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
EDAD-635-700,,15,,0,,0,,0,,,0,,15,,,,4.0,,0,,,0,,,0,,,False,,,0,,15,,,BLANSON A,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,0,,0,,0,,,0,,15,,,,4.0,,0,,,0,,,0,,,False,,,0,,15,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-637-700,,13,,2,,0,,0,,,0,,15,,,,3.866,,0,,,0,,,0,,,False,,,0,,15,,,HOLLEY S,
,,0.8667,,0.1333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,2,,0,,0,,,0,,15,,,,3.866,,0,,,0,,,0,,,False,,,0,,15,,,,
,,0.8667,,0.1333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-669-100,,6,,0,,0,,0,,,0,,6,,,,4.0,,2,,,0,,,0,,,False,,,0,,8,,,BAILEY K,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,0,,0,,0,,,0,,6,,,,4.0,,2,,,0,,,0,,,False,,,0,,8,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-203-700,,25,,2,,1,,0,,,0,,28,,,,3.857,,0,,,0,,,0,,,False,,,0,,28,,,FOWLER R,
,,0.8929,,0.0714,,0.0357,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,2,,1,,0,,,0,,28,,,,3.857,,0,,,0,,,0,,,False,,,0,,28,,,,
,,0.8929,,0.0714,,0.0357,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-210-700,,10,,13,,6,,0,,,1,,30,,,,3.033,,0,,,0,,,0,,,False,,,0,,30,,,MARK C,
,,0.3333,,0.4333,,0.2,,0.0,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,13,,6,,0,,,1,,30,,,,3.033,,0,,,0,,,0,,,False,,,0,,30,,,,
,,0.3333,,0.4333,,0.2,,0.0,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-289-100,,16,,8,,0,,0,,,0,,24,,,,3.666,,0,,,0,,,0,,,False,,,0,,24,,,PONJUAN L,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,8,,0,,0,,,0,,24,,,,3.666,,0,,,0,,,0,,,False,,,0,,24,,,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
EHRD-315-700,,10,,2,,0,,0,,,0,,,12,,,3.833,,0,,,,False,,,False,,,0,,0,,12,,MARK C,,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,2,,0,,0,,,0,,,12,,,3.833,,0,,,,False,,,False,,,0,,0,,12,,,,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-371-700,,25,,3,,1,,0,,,0,,,29,,,3.827,,0,,,,False,,,False,,,0,,0,,29,,BAILEY K,,
,,0.8621,,0.1034,,0.0345,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,3,,1,,0,,,0,,,29,,,3.827,,0,,,,False,,,False,,,0,,0,,29,,,,
,,0.8621,,0.1034,,0.0345,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-372-700,,20,,5,,4,,0,,,0,,,29,,,3.551,,0,,,,False,,,False,,,0,,0,,29,,MUYIA M,,
,,0.6897,,0.1724,,0.1379,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,5,,4,,0,,,0,,,29,,,3.551,,0,,,,False,,,False,,,0,,0,,29,,,,
,,0.6897,,0.1724,,0.1379,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-374-700,,12,,10,,5,,1,,,1,,,29,,,3.068,,0,,,,False,,,False,,,0,,0,,29,,MUYIA M,,
,,0.4138,,0.3448,,0.1724,,0.0345,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,10,,5,,1,,,1,,,29,,,3.068,,0,,,,False,,,False,,,0,,0,,29,,,,
,,0.4138,,0.3448,,0.1724,,0.0345,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-391-700,,11,,10,,4,,1,,,0,,,26,,,3.192,,0,,,,False,,,False,,,0,,0,,26,,MUSOBA G,,
,,0.4231,,0.3846,,0.1538,,0.0385,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,10,,4,,1,,,0,,,26,,,3.192,,0,,,,False,,,False,,,0,,0,,26,,,,
,,0.4231,,0.3846,,0.1538,,0.0385,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-405-700,,22,,2,,4,,1,,,3,,,32,,,3.218,,0,,,,False,,,False,,,1,,0,,33,,WORKMAN M,,
,,0.6875,,0.0625,,0.125,,0.0313,,,0.0938,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,2,,4,,1,,,3,,,32,,,3.218,,0,,,,False,,,False,,,1,,0,,33,,,,
,,0.6875,,0.0625,,0.125,,0.0313,,,0.0938,,,,,,,,,,,,,,,,,,,,,,,,,,
