SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
,,0.4375,,0.25,,0.1875,,0.0,,,0.125,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,4,,3,,0,,,2,,16,,2.875,,0,,,False,,False,,True,,,False,,17,,,
,,0.4375,,0.25,,0.1875,,0.0,,,0.125,,,,,,,,,,,,,,,,,,,,,
EHRD-371-700,,17,,2,,0,,0,,,1,,20,,3.7,,0,,,False,,False,,False,,,False,,20,,BAILEY K,
,,0.85,,0.1,,0.0,,0.0,,,0.05,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,2,,0,,0,,,1,,20,,3.7,,0,,,False,,False,,False,,,False,,20,,,
,,0.85,,0.1,,0.0,,0.0,,,0.05,,,,,,,,,,,,,,,,,,,,,
EHRD-372-700,,19,,5,,3,,1,,,0,,28,,3.5,,1,,,False,,False,,False,,,False,,29,,MUYIA M,
,,0.6786,,0.1786,,0.1071,,0.0357,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,5,,3,,1,,,0,,28,,3.5,,1,,,False,,False,,False,,,False,,29,,,
,,0.6786,,0.1786,,0.1071,,0.0357,,,0.0,,,,,,,,,,,,,,,,,,,,,
EHRD-374-700,,21,,6,,2,,0,,,0,,29,,3.655,,0,,,False,,False,,False,,,False,,29,,MUYIA M,
,,0.7241,,0.2069,,0.069,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,6,,2,,0,,,0,,29,,3.655,,0,,,False,,False,,False,,,False,,29,,,
,,0.7241,,0.2069,,0.069,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
EHRD-391-700,,4,,11,,13,,6,,,4,,38,,2.131,,0,,,False,,False,,True,,,False,,39,,SANDLIN J,
,,0.1053,,0.2895,,0.3421,,0.1579,,,0.1053,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,11,,13,,6,,,4,,38,,2.131,,0,,,False,,False,,True,,,False,,39,,,
,,0.1053,,0.2895,,0.3421,,0.1579,,,0.1053,,,,,,,,,,,,,,,,,,,,,
