SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
EHRD-315-700,,11,,5,,4,,0,,,0,,,20,,,3.35,,0,,,,False,,,False,,,0,,0,,20,,MARK C,,
,,0.55,,0.25,,0.2,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,5,,4,,0,,,0,,,20,,,3.35,,0,,,,False,,,False,,,0,,0,,20,,,,
,,0.55,,0.25,,0.2,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-371-700,,12,,6,,1,,1,,,0,,,20,,,3.45,,0,,,,False,,,False,,,0,,0,,20,,BAILEY K,,
,,0.6,,0.3,,0.05,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-371-701,,9,,4,,3,,0,,,0,,,16,,,3.375,,0,,,,False,,,False,,,3,,0,,19,,RICKETTS C,,
,,0.5625,,0.25,,0.1875,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,10,,4,,1,,,0,,,36,,,3.416,,0,,,,False,,,False,,,3,,0,,39,,,,
,,0.5833,,0.2778,,0.1111,,0.0278,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-372-700,,10,,7,,0,,0,,,1,,,18,,,3.388,,0,,,,False,,,False,,,0,,0,,18,,MUYIA M,,
,,0.5556,,0.3889,,0.0,,0.0,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,7,,0,,0,,,1,,,18,,,3.388,,0,,,,False,,,False,,,0,,0,,18,,,,
,,0.5556,,0.3889,,0.0,,0.0,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-374-700,,14,,10,,1,,1,,,2,,,28,,,3.178,,0,,,,False,,,False,,,0,,0,,28,,MUYIA M,,
,,0.5,,0.3571,,0.0357,,0.0357,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,10,,1,,1,,,2,,,28,,,3.178,,0,,,,False,,,False,,,0,,0,,28,,,,
,,0.5,,0.3571,,0.0357,,0.0357,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-391-700,,5,,11,,10,,6,,,1,,,33,,,2.393,,0,,,,False,,,False,,,2,,0,,35,,SANDLIN J,,
,,0.1515,,0.3333,,0.303,,0.1818,,,0.0303,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,11,,10,,6,,,1,,,33,,,2.393,,0,,,,False,,,False,,,2,,0,,35,,,,
,,0.1515,,0.3333,,0.303,,0.1818,,,0.0303,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-405-700,,30,,5,,2,,0,,,0,,,37,,,3.756,,0,,,,False,,,False,,,0,,0,,37,,FERGUSON-CAMMARATA,,
,,0.8108,,0.1351,,0.0541,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
