COLLEGE: DEPARTMENT:,UNIVERSITY TOTAL UNIVERSITY TOTAL,c,d,"TEXAS A & M UNIVERSITY
GRADE DISTRIBUTION REPORT FOR SUMMER 2016 - COLLEGE STATION",f,g,h,i,j,k,l,m,n,o,p,q,r,s
SECTION,,A,B,,C,D,F,TOTAL A - F,GPR,I,S,U,Q,,X,TOTAL,,
UNIVERSITY TOTAL:   16402,,,9443,,3936,957,580,31318,3.281,180,139,1,,537,74,,32249,
0.5237,,,0.3015,,0.1257,0.0306,0.0185,,,,,,,,,,,
