,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,AGRICULTURE & LIFE SCIENCES,,,,,,,,,,,,,
DEPARTMENT:,"AG LEADERSHIP, EDUC & COMM",,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-405-501,8,2,1,0,0,11,3.636,0,0,0,0,0,11,RUTHERFORD T
,72.73%,18.18%,9.09%,0.00%,0.00%,,,,,,,,,
AGCJ-405-502,10,0,1,0,0,11,3.818,0,0,0,0,0,11,RUTHERFORD T
,90.91%,0.00%,9.09%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,2,2,0,0,22,3.727,0,0,0,0,0,22,
,81.82%,9.09%,9.09%,0.00%,0.00%,,,,,,,,,
AGCJ-406-500,24,0,1,0,0,25,3.92,0,0,0,0,0,25,DUNSFORD D
,96.00%,0.00%,4.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,0,1,0,0,25,3.92,0,0,0,0,0,25,
,96.00%,0.00%,4.00%,0.00%,0.00%,,,,,,,,,
AGCJ-411-500,16,4,4,0,0,24,3.5,0,0,0,1,0,25,MCKIM B
,66.67%,16.67%,16.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,4,4,0,0,24,3.5,0,0,0,1,0,25,
,66.67%,16.67%,16.67%,0.00%,0.00%,,,,,,,,,
AGCJ-413-500,5,9,1,0,0,15,3.266,0,0,0,0,0,15,LEGGETTE H
,33.33%,60.00%,6.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,9,1,0,0,15,3.266,0,0,0,0,0,15,
,33.33%,60.00%,6.67%,0.00%,0.00%,,,,,,,,,
AGCJ-466-500,7,1,0,0,0,8,3.875,0,0,0,0,0,8,MCKIM B
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,1,0,0,0,8,3.875,0,0,0,0,0,8,
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,AGRICULTURE & LIFE SCIENCES,,,,,,,,,,,,,
DEPARTMENT:,"AG LEADERSHIP, EDUC & COMM",,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AGCJ-481-500,18,2,0,0,0,20,3.9,0,0,0,0,0,20,RUTHERFORD T
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,2,0,0,0,20,3.9,0,0,0,0,0,20,
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-485-538,10,0,0,0,0,10,4,0,0,0,0,0,10,MCKIM B
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,0,0,0,0,10,4,0,0,0,0,0,10,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-489-501,15,2,0,0,0,17,3.882,0,0,0,0,0,17,WALTHER D
,88.24%,11.76%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-489-700,4,15,2,0,0,21,3.095,1,0,0,2,0,24,WEGENER R
,19.05%,71.43%,9.52%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,17,2,0,0,38,3.447,1,0,0,2,0,41,
,50.00%,44.74%,5.26%,0.00%,0.00%,,,,,,,,,
AGCJ-494-516,11,0,1,0,0,12,3.863,0,0,0,0,0,12,DUNSFORD D
,91.67%,0.00%,8.33%,0.00%,0.00%,,,,,,,,,
AGCJ-494-538,4,1,1,0,0,6,3.437,0,0,0,0,0,6,MCKIM B
,66.67%,16.67%,16.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,1,2,0,0,18,3.75,0,0,0,0,0,18,
,83.33%,5.56%,11.11%,0.00%,0.00%,,,,,,,,,
AGSC-301-500,18,11,0,0,1,30,3.5,0,0,0,1,0,31,BRIERS G
,60.00%,36.67%,0.00%,0.00%,3.33%,,,,,,,,,
