SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
ACCT-427-100,,35,,,17,,,0,,,0,,,0,,52,,3.673,,,False,,,False,,False,,1,,,False,,53,,,,,
,,0.6731,,,0.3269,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,35,,,17,,,0,,,0,,,0,,52,,3.673,,,False,,,False,,False,,1,,,False,,53,,,,,
,,0.6731,,,0.3269,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-603-100,,14,,,2,,,0,,,0,,,0,,16,,3.875,,,False,,,False,,False,,0,,,False,,16,,,,,
,,0.875,,,0.125,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,,2,,,0,,,0,,,0,,16,,3.875,,,False,,,False,,False,,0,,,False,,16,,,,,
,,0.875,,,0.125,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-628-201,,6,,,4,,,0,,,0,,,0,,10,,3.6,,,True,,,False,,False,,0,,,False,,11,,,,,
,,0.6,,,0.4,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-628-202,,18,,,9,,,3,,,0,,,0,,30,,3.5,,,False,,,False,,False,,0,,,False,,30,,,,,
,,0.6,,,0.3,,,0.1,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,,13,,,3,,,0,,,0,,40,,3.525,,,True,,,False,,False,,0,,,False,,41,,,,,
,,0.6,,,0.325,,,0.075,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-629-200,,12,,,0,,,0,,,0,,,0,,12,,4.0,,,False,,,False,,False,,0,,,False,,12,,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,,0,,,0,,,0,,,0,,12,,4.0,,,False,,,False,,False,,0,,,False,,12,,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-640-199,,3,,,1,,,1,,,0,,,0,,5,,3.4,,,False,,,False,,False,,0,,,False,,5,,,,,
,,0.6,,,0.2,,,0.2,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-640-700,,7,,,10,,,4,,,0,,,0,,21,,3.142,,,False,,,False,,False,,1,,,False,,22,,,,,
,,0.3333,,,0.4762,,,0.1905,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARNOSKY C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDING M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDERS J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDERS J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDERS J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
