SECTION,b,A,d,B,f,C,D,i,F,k,A_2,- F,n,GPR,p,I,r,s,S,u,v,U,x,y,Q,aa,bb,X,dd,ee,TOTAL,gg,INSTRUCTOR,ii,jj,kk
SECTION,,A,,B,,C,D,,F,,A,- F,,GPR,,I,,,S,,,U,,,Q,,,X,,,TOTAL,,INSTRUCTOR,,,
AGCJ-405-501,,7,,3,,0,0,,0,,,10,,3.7,,,False,,,False,,,False,,,False,,,False,,10,,RUTHERFORD,,True,
,,0.7,,0.3,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-405-502,,8,,0,,1,0,,0,,,9,,3.778,,,False,,,False,,,False,,,False,,,False,,9,,RUTHERFORD,,True,
,,0.8889,,0.0,,0.1111,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,3,,1,0,,0,,,19,,3.737,,,False,,,False,,,False,,,False,,,False,,19,,,,,
,,0.7895,,0.1579,,0.0526,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-409-500,,10,,0,,0,0,,0,,,10,,4.0,,,False,,,False,,,False,,,False,,,False,,10,,ZENT R,,,
,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,0,,0,0,,0,,,10,,4.0,,,False,,,False,,,False,,,False,,,False,,10,,,,,
,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-466-500,,16,,3,,0,0,,0,,,19,,3.842,,,False,,,False,,,False,,,False,,,False,,19,,MCKIM B,,,
,,0.8421,,0.1579,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,3,,0,0,,0,,,19,,3.842,,,False,,,False,,,False,,,False,,,False,,19,,,,,
,,0.8421,,0.1579,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-481-500,,23,,6,,2,0,,0,,,31,,3.677,,,False,,,False,,,False,,,False,,,False,,31,,MCKIM B,,,
,,0.7419,,0.1935,,0.0645,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-481-520,,6,,1,,1,0,,0,,,8,,3.625,,,False,,,False,,,False,,,False,,,False,,8,,MCKIM B,,,
,,0.75,,0.125,,0.125,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-481-566,,7,,0,,0,0,,0,,,7,,4.0,,,False,,,False,,,False,,,False,,,False,,7,,MCKIM B,,,
,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      36,,,7,,3,,0,0,,46,,,3.717,,False,,,False,,,False,,,0,,,False,,,46,,,,,,
78.26%,,,0.1522,,0.0652,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-489-501           15,,,6,,1,,0,0,,22,,,3.636,,False,,,False,,,False,,,0,,,False,,,22,,WALTHER,,D,,
68.18%,,,0.2727,,0.0455,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
