SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL   INSTRUCTOR,ii,jj,kk
CEHD-603-600,,9,,3,,0,,0,,,0,,,12,,,3.75,,0,,,,False,,,False,,,0,,False,,12 GOODSON P,,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,3,,0,,0,,,0,,,12,,,3.75,,0,,,,False,,,False,,,0,,False,,12,,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,9,,3,,0,,0,,,0,,,12,,,3.75,,0,,,,False,,,False,,,0,,False,,12,,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
EDAD-601-600,,6,,2,,0,,0,,,0,,8,,,,3.75,,0,,,False,,,False,,,False,,,False,,8,,HAYNES DAVISON C,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,2,,0,,0,,,0,,8,,,,3.75,,0,,,False,,,False,,,False,,,False,,8,,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-605-700,,26,,1,,0,,0,,,1,,28,,,,3.821,,0,,,False,,,False,,,False,,,False,,28,,POENITZSCH N,
,,0.9286,,0.0357,,0.0,,0.0,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,1,,0,,0,,,1,,28,,,,3.821,,0,,,False,,,False,,,False,,,False,,28,,,
,,0.9286,,0.0357,,0.0,,0.0,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-610-600,,16,,0,,0,,0,,,0,,16,,,,4.0,,0,,,False,,,False,,,False,,,False,,16,,BROWN J,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,0,,0,,0,,,0,,16,,,,4.0,,0,,,False,,,False,,,False,,,False,,16,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-612-600,,11,,0,,0,,0,,,0,,11,,,,4.0,,0,,,False,,,False,,,False,,,False,,11,,LECHUGA V,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,0,,0,,0,,,0,,11,,,,4.0,,0,,,False,,,False,,,False,,,False,,11,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-624-700,,17,,1,,0,,0,,,0,,18,,,,3.944,,0,,,False,,,False,,,True,,,False,,19,,SMITH K,
,,0.9444,,0.0556,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,1,,0,,0,,,0,,18,,,,3.944,,0,,,False,,,False,,,True,,,False,,19,,,
,,0.9444,,0.0556,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-631-600,,18,,1,,0,,0,,,0,,19,,,,3.947,,0,,,False,,,False,,,False,,,False,,19,,BAILEY K,
,,0.9474,,0.0526,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,1,,0,,0,,,0,,19,,,,3.947,,0,,,False,,,False,,,False,,,False,,19,,,
,,0.9474,,0.0526,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
EDAD-638-700,,17,,2,,0,,0,,,0,,19,,,,3.894,,0,,,True,,,False,,,True,,,False,,21,,WEBB-JOHNSON G,
,,0.8947,,0.1053,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,2,,0,,0,,,0,,19,,,,3.894,,0,,,True,,,False,,,True,,,False,,21,,,
,,0.8947,,0.1053,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-639-601,,12,,0,,0,,0,,,0,,12,,,,4.0,,0,,,False,,,False,,,False,,,False,,12,,LECHUGA V,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-639-700,,15,,1,,0,,0,,,0,,16,,,,3.937,,1,,,False,,,False,,,True,,,False,,18,,SMITH K,
,,0.9375,,0.0625,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,1,,0,,0,,,0,,28,,,,3.964,,1,,,False,,,False,,,True,,,False,,30,,,
,,0.9643,,0.0357,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-653-600,,11,,0,,0,,0,,,0,,11,,,,4.0,,2,,,False,,,False,,,False,,,False,,13,,MADSEN J,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,0,,0,,0,,,0,,11,,,,4.0,,2,,,False,,,False,,,False,,,False,,13,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-669-600,,19,,0,,0,,0,,,0,,19,,,,4.0,,0,,,False,,,False,,,False,,,False,,19,,HAYNES DAVISON C,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,0,,0,,0,,,0,,19,,,,4.0,,0,,,False,,,False,,,False,,,False,,19,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-683-600,,10,,0,,0,,0,,,0,,10,,,,4.0,,0,,,False,,,False,,,False,,,False,,10,,BAILEY K,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,0,,0,,0,,,0,,10,,,,4.0,,0,,,False,,,False,,,False,,,False,,10,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-687-600,,10,,0,,0,,0,,,0,,10,,,,4.0,,2,,,False,,,False,,,False,,,False,,12,,MADSEN J,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
