SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL   INSTRUCTOR,ii,jj,kk
EDAD-669-100,,16,,0,,0,,0,,,0,,16,,,,4.0,,False,,,False,,,False,,,False,,,0,,16,,BAILEY K,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,0,,0,,0,,,0,,16,,,,4.0,,False,,,False,,,False,,,False,,,0,,16,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-687-700,,26,,2,,0,,0,,,0,,28,,,,3.928,,False,,,False,,,False,,,False,,,0,,28,,WEBB-JOHNSON G,
,,0.9286,,0.0714,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,2,,0,,0,,,0,,28,,,,3.928,,False,,,False,,,False,,,False,,,0,,28,,,
,,0.9286,,0.0714,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-203-700,,16,,2,,1,,0,,,0,,19,,,,3.789,,False,,,False,,,False,,,False,,,0,,19,,FOWLER R,
,,0.8421,,0.1053,,0.0526,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,2,,1,,0,,,0,,19,,,,3.789,,False,,,False,,,False,,,False,,,0,,19,,,
,,0.8421,,0.1053,,0.0526,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-210-700,,10,,5,,4,,0,,,1,,20,,,,3.15,,False,,,False,,,False,,,False,,,0,,20,,MARK C,
,,0.5,,0.25,,0.2,,0.0,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,5,,4,,0,,,1,,20,,,,3.15,,False,,,False,,,False,,,False,,,0,,20,,,
,,0.5,,0.25,,0.2,,0.0,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-289-100,,5,,14,,2,,0,,,0,,21,,,,3.142,,False,,,False,,,False,,,False,,,0,,21,,PONJUAN L,
,,0.2381,,0.6667,,0.0952,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,14,,2,,0,,,0,,21,,,,3.142,,False,,,False,,,False,,,False,,,0,,21,,,
,,0.2381,,0.6667,,0.0952,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-315-700,,4,,12,,3,,0,,,0,,19,,,,3.052,,False,,,False,,,False,,,False,,,0,,19,,MARK C,
,,0.2105,,0.6316,,0.1579,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,12,,3,,0,,,0,,19,,,,3.052,,False,,,False,,,False,,,False,,,0,,19,,,
,,0.2105,,0.6316,,0.1579,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
