SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
ASCC-289-300,,0,,6,,4,,2,,,1,,13,,,,2.153,,0,,,0,,,0,,,0,,,0,,13,,,ELSHEIKH A,
,,0.0,,0.4615,,0.3077,,0.1538,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,0,,6,,4,,2,,,1,,13,,,,2.153,,0,,,0,,,0,,,0,,,0,,13,,,,
,,0.0,,0.4615,,0.3077,,0.1538,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-210-300,,17,,0,,0,,0,,,0,,17,,,,4.0,,0,,,0,,,0,,,0,,,0,,17,,,HINGTGEN L,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,0,,0,,0,,,0,,17,,,,4.0,,0,,,0,,,0,,,0,,,0,,17,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGR-482-300,,17,,1,,0,,0,,,0,,18,,,,3.944,,0,,,0,,,0,,,0,,,0,,18,,,BASHIR H,
,,0.9444,,0.0556,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,1,,0,,0,,,0,,18,,,,3.944,,0,,,0,,,0,,,0,,,0,,18,,,,
,,0.9444,,0.0556,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-105-300,,12,,4,,1,,0,,,0,,17,,,,3.647,,0,,,0,,,0,,,0,,,0,,17,,,BICKHAM T,
,,0.7059,,0.2353,,0.0588,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,4,,1,,0,,,0,,17,,,,3.647,,0,,,0,,,0,,,0,,,0,,17,,,,
,,0.7059,,0.2353,,0.0588,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-106-300,,17,,4,,0,,0,,,0,,21,,,,3.809,,0,,,0,,,0,,,0,,,0,,21,,,BICKHAM T,
