CHEN-205-500,5,c,7,e,4,g,0,i,0_2,k,l,16,n,3.062,p,q,0_3,s,t,0_4,v,0_5,x,y,0_6,aa,bb,cc,0_7,ee,ff,16_2,hh,ABDEL-WAHAB,A,kk,ll
,0.3125,,0.4375,,0.25,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,7,,4,,0,,0,,,16,,3.062,,,False,,,False,,False,,,False,,,,False,,,16,,,,,
,0.3125,,0.4375,,0.25,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-313-500,6,,4,,4,,0,,0,,,14,,3.142,,,False,,,False,,False,,,False,,,,False,,,14,,ABDALLA A,,,
,0.4286,,0.2857,,0.2857,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,4,,4,,0,,0,,,14,,3.142,,,False,,,False,,False,,,False,,,,False,,,14,,,,,
,0.4286,,0.2857,,0.2857,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-323-500,5,,5,,3,,0,,0,,,13,,3.153,,,False,,,False,,False,,,False,,,,False,,,13,,NOUNOU M,,,
,0.3846,,0.3846,,0.2308,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,5,,3,,0,,0,,,13,,3.153,,,False,,,False,,False,,,False,,,,False,,,13,,,,,
,0.3846,,0.3846,,0.2308,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-382-500,4,,9,,1,,0,,0,,,14,,3.214,,,False,,,False,,False,,,False,,,,False,,,14,,KAKOSIMOS K,,,
,0.2857,,0.6429,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,4,,9,,1,,0,,0,,,14,,3.214,,,False,,,False,,False,,,False,,,,False,,,14,,,,,
,0.2857,,0.6429,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-426-500,12,,12,,0,,0,,0,,,24,,3.5,,,False,,,False,,False,,,False,,,,False,,,24,,LINKE P,,,
,0.5,,0.5,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,12,,0,,0,,0,,,24,,3.5,,,False,,,False,,False,,,False,,,,False,,,24,,,,,
,0.5,,0.5,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-433-901,3,,7,,2,,0,,0,,,12,,3.083,,,False,,,False,,False,,,False,,,,False,,,12,,SALAMA G,,,
,0.25,,0.5833,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-433-902,10,,2,,0,,0,,0,,,12,,3.833,,,False,,,False,,False,,,False,,,,False,,,12,,SALAMA G,,,
,0.8333,,0.1667,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,9,,2,,0,,0,,,24,,3.458,,,False,,,False,,False,,,False,,,,False,,,24,,,,,
,0.5417,,0.375,,0.0833,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-459-500,9,,14,,2,,0,,0,,,25,,3.28,,,False,,,False,,False,,,False,,,,False,,,25,,,,,
,0.36,,0.56,,0.08,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,14,,2,,0,,0,,,25,,3.28,,,False,,,False,,False,,,False,,,,False,,,25,,,,,
,0.36,,0.56,,0.08,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-461-500,8,,8,,5,,1,,0,,,22,,3.045,,,False,,,False,,False,,,False,,,,False,,,22,,,,,
,0.3636,,0.3636,,0.2273,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,8,,5,,1,,0,,,22,,3.045,,,False,,,False,,False,,,False,,,,False,,,22,,,,,
,0.3636,,0.3636,,0.2273,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-489-500,5,,5,,2,,0,,0,,,12,,3.25,,,False,,,False,,False,,,False,,,,False,,,12,,,,,
,0.4167,,0.4167,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,5,,2,,0,,0,,,12,,3.25,,,False,,,False,,False,,,False,,,,False,,,12,,,,,
,0.4167,,0.4167,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-623-600,6,,5,,3,,1,,1,,,16,,2.875,,,False,,,False,,False,,,True,,,,False,,,17,,,,,
,0.375,,0.3125,,0.1875,,0.0625,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,5,,3,,1,,1,,,16,,2.875,,,False,,,False,,False,,,True,,,,False,,,17,,,,,
,0.375,,0.3125,,0.1875,,0.0625,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-624-600,5,,3,,0,,0,,0,,,8,,3.625,,,True,,,False,,False,,,False,,,,False,,,9,,,,,
,0.625,,0.375,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,3,,0,,0,,0,,,8,,3.625,,,True,,,False,,False,,,False,,,,False,,,9,,,,,
,0.625,,0.375,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
