COURSE TOTAL:,1,,,5,,15,,3,,0,,,24,,2.166,,,False,,,False,,False,,,2,,,,False,,,26,,,
,0.0417,,,0.2083,,0.625,,0.125,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,
CHEM-228-401,,23,,12,,9,,7,,0,,,51,,3.0,,0,,,,False,,,False,,,False,,0,,,51,,MOSER M,,
,,0.451,,0.2353,,0.1765,,0.1373,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-228-402,,7,,6,,4,,1,,0,,,18,,3.055,,0,,,,False,,,False,,,True,,0,,,19,,MOSER M,,
,,0.3889,,0.3333,,0.2222,,0.0556,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,30,,18,,13,,8,,0,,,69,,3.014,,0,,,,False,,,False,,,True,,0,,,70,,,,
,,0.4348,,0.2609,,0.1884,,0.1159,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-237-401,,8,,3,,0,,1,,0,,,12,,3.5,,0,,,,False,,,False,,,False,,0,,,12,,TOWNSEND G,,
,,0.6667,,0.25,,0.0,,0.0833,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-237-402,,8,,2,,1,,0,,0,,,11,,3.636,,0,,,,False,,,False,,,False,,0,,,11,,TOWNSEND G,,
,,0.7273,,0.1818,,0.0909,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,5,,1,,1,,0,,,23,,3.565,,0,,,,False,,,False,,,False,,0,,,23,,,,
,,0.6957,,0.2174,,0.0435,,0.0435,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-238-401,,5,,2,,1,,1,,1,,,10,,2.9,,0,,,,False,,,False,,,False,,0,,,10,,TOWNSEND G,,
,,0.5,,0.2,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-238-402,,9,,4,,0,,1,,0,,,14,,3.5,,0,,,,False,,,False,,,False,,0,,,14,,TOWNSEND G,,
,,0.6429,,0.2857,,0.0,,0.0714,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-238-403,,10,,3,,0,,0,,0,,,13,,3.769,,0,,,,False,,,False,,,False,,0,,,13,,TOWNSEND G,,
,,0.7692,,0.2308,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-238-404,,7,,5,,0,,0,,0,,,12,,3.583,,0,,,,False,,,False,,,True,,0,,,13,,TOWNSEND G,,
,,0.5833,,0.4167,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-238-405,,6,,1,,0,,1,,0,,,8,,3.5,,0,,,,False,,,False,,,False,,0,,,8,,TOWNSEND G,,
,,0.75,,0.125,,0.0,,0.125,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-238-406,,7,,3,,0,,0,,0,,,10,,3.7,,0,,,,False,,,False,,,False,,1,,,11,,TOWNSEND G,,
,,0.7,,0.3,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,44,,18,,1,,3,,1,,,67,,3.507,,0,,,,False,,,False,,,True,,1,,,69,,,,
,,0.6567,,0.2687,,0.0149,,0.0448,,0.0149,,,,,,,,,,,,,,,,,,,,,,,,,,
