AERO-201-500,0,c,d,23,f,4,h,1,j,0_2,l,m,28,o,2.785,q,r,0_3,t,u,0_4,w,0_5,y,z,0_6,bb,cc,dd,0_7,ff,gg,28_2,ii,SHRYOCK K,kk,ll,mm,nn
LIMBACH C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMBACH C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TICHENOR N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TICHENOR N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TICHENOR N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,,,,
AERO-303-200,,3,,4,,0,,0,,0,,,7,,3.428,,0,,,,False,,,False,,,0,,0,,,7,,POLUDNENKO,,O,,,
,,0.4286,,0.5714,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-303-500,,16,,22,,17,,1,,2,,,58,,2.844,,0,,,,False,,,False,,,3,,0,,,61,,POLUDNENKO,,O,,,
,,0.2759,,0.3793,,0.2931,,0.0172,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-303-501,,13,,10,,12,,0,,0,,,35,,3.028,,0,,,,False,,,False,,,1,,0,,,36,,BOWERSOX R,,,,,
,,0.3714,,0.2857,,0.3429,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,32,,36,,29,,1,,2,,,100,,2.95,,0,,,,False,,,False,,,4,,0,,,104,,,,,,,
,,0.32,,0.36,,0.29,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-500,,10,,15,,13,,4,,3,,,45,,2.555,,0,,,,False,,,False,,,3,,0,,,48,,KINRA V,,,,,
,,0.2222,,0.3333,,0.2889,,0.0889,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,15,,13,,4,,3,,,45,,2.555,,0,,,,False,,,False,,,3,,0,,,48,,,,,,,
,,0.2222,,0.3333,,0.2889,,0.0889,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-500,,13,,27,,20,,8,,1,,,69,,2.623,,0,,,,False,,,False,,,0,,0,,,69,,BENZERGA A,,,,,
,,0.1884,,0.3913,,0.2899,,0.1159,,0.0145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-501,,6,,16,,15,,5,,0,,,42,,2.547,,0,,,,False,,,False,,,9,,0,,,51,,WHITCOMB J,,,,,
,,0.1429,,0.381,,0.3571,,0.119,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,43,,35,,13,,1,,,111,,2.594,,0,,,,False,,,False,,,9,,0,,,120,,,,,,,
,,0.1712,,0.3874,,0.3153,,0.1171,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-310-500,,23,,27,,4,,0,,2,,,56,,3.232,,0,,,,False,,,False,,,1,,0,,,57,,MOBLE B,,,,,
,,0.4107,,0.4821,,0.0714,,0.0,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,23,,27,,4,,0,,2,,,56,,3.232,,0,,,,False,,,False,,,1,,0,,,57,,,,,,,
,,0.4107,,0.4821,,0.0714,,0.0,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-321-500,,10,,21,,25,,2,,0,,,58,,2.672,,0,,,,False,,,False,,,2,,0,,,60,,VADALI S,,,,,
,,0.1724,,0.3621,,0.431,,0.0345,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
