SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn,oo
AERO-304-500,,25,,,25,,,15,,0,,,4,,,69,,2.971,,,0,,,False,,False,,5,,,False,,74,,KINRA V,,,,,
,,0.3623,,,0.3623,,,0.2174,,0.0,,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,,25,,,15,,0,,,4,,,69,,2.971,,,0,,,False,,False,,5,,,False,,74,,,,,,,
,,0.3623,,,0.3623,,,0.2174,,0.0,,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-500,,5,,,15,,,13,,4,,,1,,,38,,2.5,,,1,,,False,,False,,8,,,False,,47,,,,,,,
,,0.1316,,,0.3947,,,0.3421,,0.1053,,,0.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-501,,60,,,5,,,2,,0,,,1,,,68,,3.808,,,0,,,False,,False,,1,,,False,,69,,,,,,,
,,0.8824,,,0.0735,,,0.0294,,0.0,,,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,65,,,20,,,15,,4,,,2,,,106,,3.339,,,1,,,False,,False,,9,,,False,,116,,,,,,,
,,0.6132,,,0.1887,,,0.1415,,0.0377,,,0.0189,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-307-900,,35,,,10,,,2,,1,,,1,,,49,,3.571,,,0,,,False,,False,,1,,,False,,50,,,,,,,
,,0.7143,,,0.2041,,,0.0408,,0.0204,,,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,35,,,10,,,2,,1,,,1,,,49,,3.571,,,0,,,False,,False,,1,,,False,,50,,,,,,,
,,0.7143,,,0.2041,,,0.0408,,0.0204,,,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-310-502,,31,,,9,,,4,,0,,,2,,,46,,3.456,,,0,,,False,,False,,2,,,False,,48,,,,,,,
,,0.6739,,,0.1957,,,0.087,,0.0,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,31,,,9,,,4,,0,,,2,,,46,,3.456,,,0,,,False,,False,,2,,,False,,48,,,,,,,
,,0.6739,,,0.1957,,,0.087,,0.0,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-321-200,,3,,,3,,,0,,0,,,0,,,6,,3.5,,,0,,,False,,False,,0,,,False,,6,,,,,,,
,,0.5,,,0.5,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-321-500,,18,,,52,,,43,,21,,,5,,,139,,2.41,,,0,,,False,,False,,8,,,False,,147,,,,,,,
,,0.1295,,,0.3741,,,0.3094,,0.1511,,,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,,55,,,43,,21,,,5,,,145,,2.455,,,0,,,False,,False,,8,,,False,,153,,,,,,,
,,0.1448,,,0.3793,,,0.2966,,0.1448,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-351-501,,2,,,21,,,23,,2,,,5,,,53,,2.203,,,2,,,False,,False,,28,,,False,,83,,,,,,,
,,0.0377,,,0.3962,,,0.434,,0.0377,,,0.0943,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITCOMB J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STROUBOULIS T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARAGHI M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHATTACHARYA R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALASEK J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALASEK J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIZMAS P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
