SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm,nn
,,0.5041,,0.4553,,0.0407,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-502,,45,,65,,12,,0,,,0,,122,,,,3.27,,1,,,0,,,0,,,1,,,0,,,124,,,VIEIRA DE CASTRO L,,
,,0.3689,,0.5328,,0.0984,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-503,,51,,47,,14,,3,,,3,,118,,,,3.186,,0,,,0,,,0,,,4,,,0,,,122,,,LYNCH D,,
,,0.4322,,0.3983,,0.1186,,0.0254,,,0.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-504,,49,,45,,23,,2,,,2,,121,,,,3.132,,0,,,0,,,0,,,3,,,0,,,124,,,LYNCH D,,
,,0.405,,0.3719,,0.1901,,0.0165,,,0.0165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-505,,71,,12,,2,,1,,,0,,86,,,,3.779,,0,,,0,,,0,,,1,,,0,,,87,,,BAILEY K,,
,,0.8256,,0.1395,,0.0233,,0.0116,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,,TOTAL,,,INSTRUCTOR,,
ANTH-205-506,,61,,22,,3,,2,,,2,,,90,,,3.533,,0,,,,False,,,False,1,,,,,False,,91,,,SMITH M,,
,,0.6778,,0.2444,,0.0333,,0.0222,,,0.0222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-507,,43,,36,,8,,2,,,0,,,89,,,3.348,,0,,,,False,,,False,1,,,,,False,,90,,,PAREDES SALCEDO,R,
,,0.4831,,0.4045,,0.0899,,0.0225,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-508,,9,,22,,13,,1,,,0,,,45,,,2.866,,0,,,,False,,,False,5,,,,,False,,50,,,DOHERTY C,,
,,0.2,,0.4889,,0.2889,,0.0222,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-509,,28,,16,,3,,0,,,1,,,48,,,3.458,,0,,,,False,,,False,2,,,,,False,,50,,,DEMPSEY A,,
,,0.5833,,0.3333,,0.0625,,0.0,,,0.0208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
