SECTION,b,c,A,e,B,g,C,i,D,k,l,F,n,A_2,- F,q,r,GPA,t,I,v,w,x,S,z,aa,bb,U,dd,ee,Q,gg,hh,ii,X,kk,ll,TOTAL,nn,INSTRUCTOR,pp,qq,rr,ss
,,,0.44,,0.52,,0.04,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-904,,,17,,7,,0,,0,,,0,,,24,,,3.708,,0,,,,,False,,,,False,0,,,,,,False,,24,,LAPORTE C,,,,
,,,0.7083,,0.2917,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-905,,,20,,4,,0,,0,,,0,,,24,,,3.833,,0,,,,,False,,,,False,1,,,,,,False,,25,,LAPORTE C,,,,
,,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-906,,,17,,6,,2,,0,,,0,,,25,,,3.6,,0,,,,,False,,,,False,0,,,,,,False,,25,,LAPORTE C,,,,
,,,0.68,,0.24,,0.08,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-907,,,22,,3,,0,,0,,,0,,,25,,,3.88,,0,,,,,False,,,,False,0,,,,,,False,,25,,LAPORTE C,,,,
,,,0.88,,0.12,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,,,X    TOTAL,,,,,,,INSTRUCTOR,,,,,
ANTH-205-908,,,17,,7,,0,,0,,,1,,25,,,,3.56,,0,,,,0,,,0,,,,0,,,,0,,,25,,LAPORTE C,,,,
,,,0.68,,0.28,,0.0,,0.0,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,438,,285,,92,,23,,,7,,845,,,,3.33,,0,,,,0,,,0,,,,29,,,,0,,,874,,,,,,
,,,0.5183,,0.3373,,0.1089,,0.0272,,,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-501,,,19,,4,,3,,0,,,0,,26,,,,3.615,,0,,,,0,,,0,,,,0,,,,0,,,26,,LAUGHLIN T,,,,
,,,0.7308,,0.1538,,0.1154,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-502,,,24,,13,,3,,0,,,0,,40,,,,3.525,,0,,,,0,,,0,,,,1,,,,0,,,41,,HOPKINS A,,,,
,,,0.6,,0.325,,0.075,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-503,,,18,,20,,0,,3,,,5,,46,,,,2.934,,0,,,,0,,,0,,,,0,,,,0,,,46,,RATERMAN J,,,,
,,,0.3913,,0.4348,,0.0,,0.0652,,,0.1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-504,,,14,,13,,12,,2,,,0,,41,,,,2.951,,0,,,,0,,,0,,,,2,,,,0,,,43,,TSAI G,,,,
,,,0.3415,,0.3171,,0.2927,,0.0488,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,75,,50,,18,,5,,,5,,153,,,,3.209,,0,,,,0,,,0,,,,3,,,,0,,,156,,,,,,
,,,0.4902,,0.3268,,0.1176,,0.0327,,,0.0327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-501,,,15,,27,,35,,10,,,3,,90,,,,2.455,,0,,,,0,,,0,,,,9,,,,0,,,99,,DE RUITER D,,,,
,,,0.1667,,0.3,,0.3889,,0.1111,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-599,,,8,,19,,10,,4,,,3,,44,,,,2.568,,1,,,,0,,,0,,,,5,,,,0,,,50,,GURSKY S,,,,
,,,0.1818,,0.4318,,0.2273,,0.0909,,,0.0682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,23,,46,,45,,14,,,6,,134,,,,2.492,,1,,,,0,,,0,,,,14,,,,0,,,149,,,,,,
,,,0.1716,,0.3433,,0.3358,,0.1045,,,0.0448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-501,,,5,,7,,2,,1,,,0,,15,,,,3.066,,0,,,,0,,,0,,,,0,,,,0,,,15,,FORD B,,,,
,,,0.3333,,0.4667,,0.1333,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-502,,,11,,5,,0,,1,,,1,,18,,,,3.333,,0,,,,0,,,0,,,,0,,,,0,,,18,,CANTERBURY J,,,,
,,,0.6111,,0.2778,,0.0,,0.0556,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-504,,,3,,6,,1,,1,,,0,,11,,,,3.0,,0,,,,0,,,0,,,,1,,,,0,,,12,,CANTERBURY J,,,,
,,,0.2727,,0.5455,,0.0909,,0.0909,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
