SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,GPA     I,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
ANTH-226-504,,7,,2,,4,,0,,,0,,13,,3.23,,False,,,False,,False,,0,,,False,,13,,HODGES S,
,,0.5385,,0.1538,,0.3077,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,6,,5,,0,,,0,,25,,3.36,,False,,,False,,False,,0,,,False,,25,,,
,,0.56,,0.24,,0.2,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ANTH-300-500,,10,,6,,1,,1,,,0,,18,,3.388,,True,,,False,,False,,0,,,False,,19,,LYNCH D,
,,0.5556,,0.3333,,0.0556,,0.0556,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,6,,1,,1,,,0,,18,,3.388,,True,,,False,,False,,0,,,False,,19,,,
,,0.5556,,0.3333,,0.0556,,0.0556,,,0.0,,,,,,,,,,,,,,,,,,,,,
ANTH-305-900,,5,,8,,2,,1,,,1,,17,,2.882,,False,,,False,,False,,0,,,False,,17,,LINDERHOLM A,
,,0.2941,,0.4706,,0.1176,,0.0588,,,0.0588,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,8,,2,,1,,,1,,17,,2.882,,False,,,False,,False,,0,,,False,,17,,,
,,0.2941,,0.4706,,0.1176,,0.0588,,,0.0588,,,,,,,,,,,,,,,,,,,,,
ANTH-313-500,,6,,13,,8,,3,,,0,,30,,2.733,,False,,,False,,False,,0,,,False,,30,,HAMILTON D,
,,0.2,,0.4333,,0.2667,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,13,,8,,3,,,0,,30,,2.733,,False,,,False,,False,,0,,,False,,30,,,
,,0.2,,0.4333,,0.2667,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,
ANTH-324-500,,21,,3,,0,,0,,,0,,24,,3.875,,False,,,False,,False,,0,,,False,,24,,BUSTOS I,
,,0.875,,0.125,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ANTH-324-501,,21,,4,,1,,0,,,0,,26,,3.769,,False,,,False,,False,,0,,,False,,26,,BUSTOS I,
,,0.8077,,0.1538,,0.0385,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ANTH-324-502,,111,,11,,3,,1,,,1,,127,,3.811,,False,,,False,,False,,0,,,False,,127,,BUSTOS I,
,,0.874,,0.0866,,0.0236,,0.0079,,,0.0079,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,153,,18,,4,,1,,,1,,177,,3.813,,False,,,False,,False,,0,,,False,,177,,,
,,0.8644,,0.1017,,0.0226,,0.0056,,,0.0056,,,,,,,,,,,,,,,,,,,,,
