SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
ANTH-205-G04,,6,,6,,2,,1,,,0,,15,,,,3.133,,0,,,0,,,0,,,0,,,0,,15,,,LYNCH D,
,,0.4,,0.4,,0.1333,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,480,,243,,68,,18,,,5,,814,,,,3.443,,2,,,0,,,0,,,16,,,1,,833,,,,
,,0.5897,,0.2985,,0.0835,,0.0221,,,0.0061,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
ANTH-210-501,,47,,69,,22,,4,,,2,,,144,,,3.076,,0,,,,False,,,False,,,0,,0,,144,,WINKING J,,
,,0.3264,,0.4792,,0.1528,,0.0278,,,0.0139,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-502,,29,,24,,5,,0,,,0,,,58,,,3.413,,0,,,,False,,,False,,,0,,0,,58,,HOPKINS A,,
,,0.5,,0.4138,,0.0862,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-503,,28,,3,,2,,0,,,3,,,36,,,3.472,,0,,,,False,,,False,,,0,,0,,36,,ACHORN A,,
,,0.7778,,0.0833,,0.0556,,0.0,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-504,,19,,25,,11,,4,,,0,,,59,,,3.0,,0,,,,False,,,False,,,1,,0,,60,,WINKING J,,
,,0.322,,0.4237,,0.1864,,0.0678,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,123,,121,,40,,8,,,5,,,297,,,3.175,,0,,,,False,,,False,,,1,,0,,298,,,,
,,0.4141,,0.4074,,0.1347,,0.0269,,,0.0168,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-500,,26,,17,,16,,2,,,0,,,61,,,3.098,,0,,,,False,,,False,,,2,,0,,63,,PRANG T,,
,,0.4262,,0.2787,,0.2623,,0.0328,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,17,,16,,2,,,0,,,61,,,3.098,,0,,,,False,,,False,,,2,,0,,63,,,,
,,0.4262,,0.2787,,0.2623,,0.0328,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-501,,5,,1,,2,,0,,,0,,,8,,,3.375,,0,,,,False,,,False,,,0,,0,,8,,KIM H,,
,,0.625,,0.125,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-502,,5,,1,,0,,0,,,1,,,7,,,3.285,,0,,,,False,,,False,,,0,,0,,7,,IZZO V,,
,,0.7143,,0.1429,,0.0,,0.0,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-503,,1,,3,,0,,1,,,0,,,5,,,2.8,,0,,,,False,,,False,,,0,,0,,5,,JAIN H,,
,,0.2,,0.6,,0.0,,0.2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,5,,2,,1,,,1,,,20,,,3.2,,0,,,,False,,,False,,,0,,0,,20,,,,
,,0.55,,0.25,,0.1,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-300-500,,13,,5,,1,,0,,,0,,,19,,,3.631,,0,,,,False,,,False,,,0,,0,,19,,LYNCH D,,
,,0.6842,,0.2632,,0.0526,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
