SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn,oo
HENDON E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDON E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMS S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMS S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMS S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURESTI V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURESTI V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,,7,,,1,,,0,,,0,,11,,3.181,,,False,,,False,,False,,0,,,False,,11,,,,,,,
,,0.2727,,,0.6364,,,0.0909,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-401,,8,,,2,,,4,,,0,,,2,,16,,2.875,,,False,,,False,,False,,3,,,False,,19,,BUNCH-DAVIS,,C,,,
,,0.5,,,0.125,,,0.25,,,0.0,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-402,,2,,,4,,,6,,,6,,,1,,19,,2.0,,,False,,,False,,False,,2,,,False,,21,,THEIS W,,,,,
,,0.1053,,,0.2105,,,0.3158,,,0.3158,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-403,,14,,,4,,,0,,,2,,,0,,20,,3.5,,,False,,,False,,False,,0,,,False,,20,,PRESSWOOD P,,,,,
,,0.7,,,0.2,,,0.0,,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-404,,5,,,6,,,2,,,3,,,0,,16,,2.812,,,False,,,False,,False,,3,,,False,,19,,THEIS W,,,,,
,,0.3125,,,0.375,,,0.125,,,0.1875,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-405,,8,,,7,,,5,,,0,,,0,,20,,3.15,,,False,,,False,,False,,0,,,False,,20,,GARZA-HORNE,,J,,,
,,0.4,,,0.35,,,0.25,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
