SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn,oo
ANTH-202-401,,,17,,,12,,,3,,0,,,0,,32,,,3.437,,0,,,False,,False,,0,,,False,,32,,,PEARL F,,,,
,,,0.5313,,,0.375,,,0.0938,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,17,,,12,,,3,,0,,,0,,32,,,3.437,,0,,,False,,False,,0,,,False,,32,,,,,,,
,,,0.5313,,,0.375,,,0.0938,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-401,,,15,,,15,,,4,,0,,,2,,36,,,3.138,,0,,,False,,False,,3,,,False,,39,,,FURTH B,,,,
,,,0.4167,,,0.4167,,,0.1111,,0.0,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-402,,,23,,,9,,,2,,0,,,4,,38,,,3.236,,0,,,False,,False,,1,,,False,,39,,,FURTH B,,,,
,,,0.6053,,,0.2368,,,0.0526,,0.0,,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,38,,,24,,,6,,0,,,6,,74,,,3.189,,0,,,False,,False,,4,,,False,,78,,,,,,,
,,,0.5135,,,0.3243,,,0.0811,,0.0,,,0.0811,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-401,,,17,,,11,,,1,,0,,,0,,29,,,3.551,,1,,,False,,False,,0,,,False,,30,,,MARK S,,,,
,,,0.5862,,,0.3793,,,0.0345,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,17,,,11,,,1,,0,,,0,,29,,,3.551,,1,,,False,,False,,0,,,False,,30,,,,,,,
,,,0.5862,,,0.3793,,,0.0345,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-401,,,11,,,0,,,0,,0,,,0,,11,,,4.0,,0,,,False,,False,,0,,,False,,11,,,MARK S,,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-402,,,10,,,0,,,0,,0,,,0,,10,,,4.0,,1,,,False,,False,,0,,,False,,11,,,MARK S,,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,21,,,0,,,0,,0,,,0,,21,,,4.0,,1,,,False,,False,,0,,,False,,22,,,,,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-316-401,,,19,,,15,,,2,,1,,,0,,37,,,3.405,,0,,,False,,False,,0,,,False,,37,,,MARK S,,,,
,,,0.5135,,,0.4054,,,0.0541,,0.027,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,19,,,15,,,2,,1,,,0,,37,,,3.405,,0,,,False,,False,,0,,,False,,37,,,,,,,
,,,0.5135,,,0.4054,,,0.0541,,0.027,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTS-150-401,,36,,,5,,,1,,,0,,,1,,43,,3.744,,,0,,,False,,False,,0,,,False,,43,,KRESS L,,,,,
,,0.8372,,,0.1163,,,0.0233,,,0.0,,,0.0233,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,36,,,5,,,1,,,0,,,1,,43,,3.744,,,0,,,False,,False,,0,,,False,,43,,,,,,,
,,0.8372,,,0.1163,,,0.0233,,,0.0,,,0.0233,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-401,,22,,,2,,,0,,,0,,,0,,24,,3.916,,,0,,,False,,False,,0,,,False,,24,,HENDON E,,,,,
,,0.9167,,,0.0833,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-402,,24,,,0,,,0,,,0,,,0,,24,,4.0,,,0,,,False,,False,,0,,,False,,24,,HENDON E,,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-403,,5,,,18,,,1,,,0,,,0,,24,,3.166,,,0,,,False,,False,,0,,,False,,24,,VISER V,,,,,
,,0.2083,,,0.75,,,0.0417,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,51,,,20,,,1,,,0,,,0,,72,,3.694,,,0,,,False,,False,,0,,,False,,72,,,,,,,
,,0.7083,,,0.2778,,,0.0139,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-365-401,,6,,,4,,,2,,,0,,,2,,14,,2.857,,,0,,,False,,False,,2,,,False,,16,,VISER V,,,,,
,,0.4286,,,0.2857,,,0.1429,,,0.0,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,,4,,,2,,,0,,,2,,14,,2.857,,,0,,,False,,False,,2,,,False,,16,,,,,,,
,,0.4286,,,0.2857,,,0.1429,,,0.0,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-250-401,,8,,,1,,,1,,,0,,,0,,10,,3.7,,,0,,,False,,False,,0,,,False,,10,,WILLIAMS,,S,,,
,,0.8,,,0.1,,,0.1,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-250-402,,9,,,2,,,0,,,0,,,0,,11,,3.818,,,0,,,False,,False,,0,,,False,,11,,WILLIAMS,,S,,,
,,0.8182,,,0.1818,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-250-403,,5,,,3,,,1,,,0,,,1,,10,,3.1,,,1,,,False,,False,,0,,,False,,11,,WILLIAMS,,S,,,
,,0.5,,,0.3,,,0.1,,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-250-404,,5,,,3,,,0,,,0,,,0,,8,,3.625,,,3,,,False,,False,,0,,,False,,11,,WILLIAMS,,S,,,
,,0.625,,,0.375,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,,9,,,2,,,0,,,1,,39,,3.564,,,4,,,False,,False,,0,,,False,,43,,,,,,,
,,0.6923,,,0.2308,,,0.0513,,,0.0,,,0.0256,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-251-250,,7,,,5,,,0,,,0,,,0,,12,,3.583,,,0,,,False,,False,,0,,,False,,12,,,,,,,
,,0.5833,,,0.4167,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-251-401,,6,,,3,,,1,,,0,,,0,,10,,3.5,,,0,,,False,,False,,1,,,False,,11,,,,,,,
,,0.6,,,0.3,,,0.1,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-251-402,,7,,,3,,,0,,,0,,,0,,10,,3.7,,,0,,,False,,False,,1,,,False,,11,,,,,,,
,,0.7,,,0.3,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,,11,,,1,,,0,,,0,,32,,3.593,,,0,,,False,,False,,2,,,False,,34,,,,,,,
,,0.625,,,0.3438,,,0.0313,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-330-401,,7,,,5,,,0,,,0,,,0,,12,,3.583,,,0,,,False,,False,,0,,,False,,12,,,,,,,
,,0.5833,,,0.4167,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-330-403,,7,,,3,,,2,,,0,,,0,,12,,3.416,,,0,,,False,,False,,0,,,False,,12,,,,,,,
,,0.5833,,,0.25,,,0.1667,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,,8,,,2,,,0,,,0,,24,,3.5,,,0,,,False,,False,,0,,,False,,24,,,,,,,
,,0.5833,,,0.3333,,,0.0833,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-357-401,,5,,,0,,,0,,,0,,,0,,5,,4.0,,,0,,,False,,False,,0,,,False,,5,,,,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,,0,,,0,,,0,,,0,,5,,4.0,,,0,,,False,,False,,0,,,False,,5,,,,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-401,,11,,,7,,,3,,,0,,,0,,21,,3.38,,,0,,,False,,False,,0,,,False,,21,,,,,,,
,,0.5238,,,0.3333,,,0.1429,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-402,,5,,,7,,,6,,,1,,,1,,20,,2.7,,,1,,,False,,False,,1,,,False,,22,,,,,,,
,,0.25,,,0.35,,,0.3,,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
EURESTI V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURESTI V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURESTI V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUFTON A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUFTON A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECHOLS K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEIS W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
