SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL   INSTRUCTOR,gg,hh,ii
,0.9091,,,0.0909,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DIVE-251-402,8,,,3,,,1,,,0,,0,,,12,3.583,,,0,,,False,False,,,0,,,False,,,12,,
,0.6667,,,0.25,,,0.0833,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,,4,,,1,,,0,,0,,,23,3.739,,,0,,,False,False,,,0,,,False,,,23,,
,0.7826,,,0.1739,,,0.0435,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
VISER V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMS S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMS S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMS S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMS S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMS S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURESTI V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURESTI V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
