,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
BURGE M,4.88%,4.88% 12.20% 17.07% 14.63% 24.39% 19.51%,,,,,2.44%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7017-602,1,3,5,5,11,9,5,2,1,0,0,0,0,42,2.984,0,0,0,42
BARNES W,2.38%,7.14% 11.90% 11.90% 26.19% 21.43% 11.90%,,,,,4.76%,2.38%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7017-603,2,3,9,2,7,6,10,3,0,0,0,0,0,42,3,0,0,0,42
SNYDER F,4.76%,7.14% 21.43%,4.76% 16.67% 14.29% 23.81%,,,,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,5,8,19,14,24,25,23,6,1,0,0,0,0,125,2.995,0,0,0,125
,4.00%,6.40% 15.20% 11.20% 19.20% 20.00% 18.40%,,,,,4.80%,0.80%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7032-601,1,2,5,3,13,11,4,1,0,0,0,0,0,40,3.001,0,0,0,40
MORRISS A,2.50%,5.00% 12.50%,7.50% 32.50% 27.50% 10.00%,,,,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7032-602,1,4,4,9,9,4,4,3,1,1,1,0,0,41,2.967,0,0,0,41
SHORT A,2.44%,9.76%,9.76% 21.95% 21.95%,,9.76%,9.76%,7.32%,2.44%,2.44%,2.44%,0.00%,0.00%,,,,,,,
LAW-7032-603,1,4,6,5,14,5,5,3,0,1,0,0,0,44,3.022,0,0,0,44
HOLLAND H,2.27%,9.09% 13.64% 11.36% 31.82% 11.36% 11.36%,,,,,6.82%,0.00%,2.27%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,10,15,17,36,20,13,7,1,2,1,0,0,125,2.997,0,0,0,125
,2.40%,8.00% 12.00% 13.60% 28.80% 16.00% 10.40%,,,,,5.60%,0.80%,1.60%,0.80%,0.00%,0.00%,,,,,,,
LAW-7056-601,0,1,3,5,4,3,4,1,0,0,0,0,0,21,2.999,0,0,0,21
ALEXANDER L0.00%,,4.76% 14.29% 23.81% 19.05% 14.29% 19.05%,,,,,4.76%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
COURSE TOTAL:,0,1,3,5,4,3,4,1,0,0,0,0,0,21,2.999,0,0,0,21
,0.00%,4.76% 14.29% 23.81% 19.05% 14.29% 19.05%,,,,,4.76%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7057-601,1,3,4,5,2,3,0,0,0,0,0,0,0,18,3.408,0,2,0,20
NEWMAN N,5.56% 16.67% 22.22% 27.78% 11.11% 16.67%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,3,4,5,2,3,0,0,0,0,0,0,0,18,3.408,0,2,0,20
,5.56% 16.67% 22.22% 27.78% 11.11% 16.67%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7065-601,1,1,2,5,3,2,0,0,0,0,0,0,0,14,3.31,0,0,0,14
SEYMORE M,7.14%,7.14% 14.29% 35.71% 21.43% 14.29%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7065-602,0,3,6,3,4,1,2,0,0,0,0,0,0,19,3.333,0,0,0,19
PHILLIPS S,0.00% 15.79% 31.58% 15.79% 21.05%,,,,5.26% 10.53%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,4,8,8,7,3,2,0,0,0,0,0,0,33,3.323,0,0,0,33
,3.03% 12.12% 24.24% 24.24% 21.21%,,,,9.09%,6.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7076-601,1,0,7,1,11,7,4,0,1,0,1,0,0,33,2.93,0,0,0,33
HELGE T,3.03%,0.00% 21.21%,,3.03% 33.33% 21.21% 12.12%,,,0.00%,3.03%,0.00%,3.03%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,0,7,1,11,7,4,0,1,0,1,0,0,33,2.93,0,0,0,33
,3.03%,0.00% 21.21%,,3.03% 33.33% 21.21% 12.12%,,,0.00%,3.03%,0.00%,3.03%,0.00%,0.00%,,,,,,,
LAW-7080-601,1,10,3,10,20,13,11,4,1,0,0,0,0,73,2.99,0,0,0,73
SEYMORE M,1.37% 13.70%,,4.11% 13.70% 27.40% 17.81% 15.07%,,,,5.48%,1.37%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7080-602,1,4,5,3,25,6,2,6,0,0,0,0,0,52,3,0,0,0,52
RAMBO L,1.92%,7.69%,9.62%,5.77% 48.08% 11.54%,,3.85% 11.54%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,14,8,13,45,19,13,10,1,0,0,0,0,125,2.994,0,0,0,125
,1.60% 11.20%,,6.40% 10.40% 36.00% 15.20% 10.40%,,,,8.00%,0.80%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7091-601,2,5,7,4,9,2,10,3,2,0,0,0,0,44,3,0,0,0,44
MANHIRE J,4.55% 11.36% 15.91%,,,9.09% 20.45%,4.55% 22.73%,,6.82%,4.55%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
