SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
BIOL-111-100,,14,,5,,7,,1,,,1,,28,,,,3.071,,0,,,0,,,0,,,0,,,0,,28,,,HAWKINS A,
,,0.5,,0.1786,,0.25,,0.0357,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-101,,14,,5,,7,,0,,,0,,26,,,,3.269,,0,,,0,,,0,,,0,,,0,,26,,,HAWKINS A,
,,0.5385,,0.1923,,0.2692,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-102,,18,,6,,3,,1,,,1,,29,,,,3.344,,0,,,0,,,0,,,1,,,0,,30,,,HAWKINS A,
,,0.6207,,0.2069,,0.1034,,0.0345,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-103,,11,,7,,8,,2,,,1,,29,,,,2.862,,0,,,0,,,0,,,1,,,0,,30,,,HAWKINS A,
,,0.3793,,0.2414,,0.2759,,0.069,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-104,,13,,8,,4,,2,,,0,,27,,,,3.185,,0,,,0,,,0,,,0,,,0,,27,,,HAWKINS A,
,,0.4815,,0.2963,,0.1481,,0.0741,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,70,,31,,29,,6,,,3,,139,,,,3.143,,0,,,0,,,0,,,2,,,0,,141,,,,
,,0.5036,,0.223,,0.2086,,0.0432,,,0.0216,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-201,,13,,9,,2,,4,,,0,,28,,,,3.107,,0,,,0,,,0,,,0,,,0,,28,,,LEE C,
,,0.4643,,0.3214,,0.0714,,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-202,,14,,9,,5,,2,,,0,,30,,,,3.166,,0,,,0,,,0,,,1,,,0,,31,,,LEE C,
,,0.4667,,0.3,,0.1667,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-203,,12,,11,,4,,0,,,0,,27,,,,3.296,,0,,,0,,,0,,,1,,,0,,28,,,LEE C,
,,0.4444,,0.4074,,0.1481,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-204,,10,,12,,5,,2,,,1,,30,,,,2.933,,0,,,0,,,0,,,1,,,0,,31,,,LEE C,
,,0.3333,,0.4,,0.1667,,0.0667,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-205,,14,,9,,3,,2,,,1,,29,,,,3.137,,0,,,0,,,0,,,1,,,0,,30,,,LEE C,
,,0.4828,,0.3103,,0.1034,,0.069,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-206,,15,,7,,4,,2,,,1,,29,,,,3.137,,0,,,0,,,0,,,0,,,0,,29,,,LEE C,
,,0.5172,,0.2414,,0.1379,,0.069,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,78,,57,,23,,12,,,3,,173,,,,3.127,,0,,,0,,,0,,,4,,,0,,177,,,,
,,0.4509,,0.3295,,0.1329,,0.0694,,,0.0173,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
BIOL-206-101,,4,,17,,5,,1,,,1,,,28,,,2.785,,0,,,,False,,,False,,,2,,0,,30,,MOYES R,,
,,0.1429,,0.6071,,0.1786,,0.0357,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-206-102,,10,,13,,2,,2,,,1,,,28,,,3.035,,0,,,,False,,,False,,,3,,0,,31,,MOYES R,,
,,0.3571,,0.4643,,0.0714,,0.0714,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,30,,7,,3,,,2,,,56,,,2.91,,0,,,,False,,,False,,,5,,0,,61,,,,
,,0.25,,0.5357,,0.125,,0.0536,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-213-100,,14,,24,,7,,0,,,0,,,45,,,3.155,,0,,,,False,,,False,,,0,,0,,45,,ERICKSON J,,
,,0.3111,,0.5333,,0.1556,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,24,,7,,0,,,0,,,45,,,3.155,,0,,,,False,,,False,,,0,,0,,45,,,,
,,0.3111,,0.5333,,0.1556,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-214-200,,15,,21,,4,,0,,,2,,,42,,,3.119,,0,,,,False,,,False,,,3,,0,,45,,PEPPER A,,
,,0.3571,,0.5,,0.0952,,0.0,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,21,,4,,0,,,2,,,42,,,3.119,,0,,,,False,,,False,,,3,,0,,45,,,,
,,0.3571,,0.5,,0.0952,,0.0,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-301,,6,,9,,3,,2,,,2,,,22,,,2.681,,0,,,,False,,,False,,,0,,0,,22,,COHN W,,
,,0.2727,,0.4091,,0.1364,,0.0909,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-302,,9,,14,,2,,2,,,1,,,28,,,3.0,,0,,,,False,,,False,,,1,,0,,29,,COHN W,,
