SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn
BIMS-101-501,,,117,,,0,,,0,,0,,,0,,117,,,4.0,,False,,,False,,False,,0,,,False,,117,,TIAN Y,,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-502,,,119,,,0,,,0,,0,,,0,,119,,,4.0,,False,,,False,,False,,1,,,False,,120,,TIAN Y,,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-503,,,98,,,15,,,4,,0,,,2,,119,,,3.739,,False,,,False,,False,,0,,,False,,119,,IVANOV I,,,,
,,,0.8235,,,0.1261,,,0.0336,,0.0,,,0.0168,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-504,,,95,,,13,,,7,,0,,,1,,116,,,3.732,,False,,,False,,False,,2,,,False,,118,,IVANOV I,,,,
,,,0.819,,,0.1121,,,0.0603,,0.0,,,0.0086,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-M01,,,18,,,8,,,2,,3,,,2,,33,,,3.121,,False,,,False,,False,,0,,,False,,33,,CAVAZOS C,,,,
,,,0.5455,,,0.2424,,,0.0606,,0.0909,,,0.0606,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,447,,,36,,,13,,3,,,5,,504,,,3.819,,False,,,False,,False,,3,,,False,,507,,,,,,
,,,0.8869,,,0.0714,,,0.0258,,0.006,,,0.0099,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-501,,,113,,,2,,,0,,1,,,1,,117,,,3.923,,False,,,False,,False,,1,,,False,,118,,YOUNG C,,,,
,,,0.9658,,,0.0171,,,0.0,,0.0085,,,0.0085,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-502,,,74,,,4,,,1,,1,,,1,,81,,,3.839,,False,,,False,,False,,0,,,False,,81,,YOUNG C,,,,
,,,0.9136,,,0.0494,,,0.0123,,0.0123,,,0.0123,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,187,,,6,,,1,,2,,,2,,198,,,3.888,,False,,,False,,False,,1,,,False,,199,,,,,,
,,,0.9444,,,0.0303,,,0.0051,,0.0101,,,0.0101,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-500,,,20,,,3,,,0,,0,,,0,,23,,,3.869,,False,,,False,,False,,0,,,False,,23,,CROUCH E,,,,
,,,0.8696,,,0.1304,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-501,,,24,,,0,,,0,,0,,,0,,24,,,4.0,,False,,,False,,False,,0,,,False,,24,,CROUCH E,,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-503,,,24,,,0,,,0,,0,,,0,,24,,,4.0,,False,,,False,,False,,0,,,False,,24,,RIVERA G,,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-504,,,22,,,0,,,0,,0,,,0,,22,,,4.0,,False,,,False,,False,,0,,,False,,22,,BRIGHTSMITH D,,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-505,,23,,,0,,,0,,,0,,,0,,23,,4.0,,,False,,,False,,False,,0,,,False,,23,,NIEMEYER S,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-506,,25,,,0,,,0,,,0,,,0,,25,,4.0,,,False,,,False,,False,,0,,,False,,25,,CARLISLE E,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-507,,25,,,0,,,0,,,0,,,0,,25,,4.0,,,False,,,False,,False,,0,,,False,,25,,BLACK M,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-508,,23,,,0,,,0,,,0,,,0,,23,,4.0,,,False,,,False,,False,,0,,,False,,23,,JOHNSON K,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,186,,,3,,,0,,,0,,,0,,189,,3.984,,,False,,,False,,False,,0,,,False,,189,,,,,,
,,0.9841,,,0.0159,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-201,,13,,,2,,,0,,,0,,,0,,15,,3.866,,,False,,,False,,False,,0,,,False,,15,,RAUDSEPP T,,,,
,,0.8667,,,0.1333,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-501,,32,,,28,,,29,,,0,,,1,,90,,3.0,,,False,,,False,,False,,11,,,False,,101,,MURPHY W,,,,
,,0.3556,,,0.3111,,,0.3222,,,0.0,,,0.0111,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-502,,102,,,2,,,0,,,0,,,0,,104,,3.98,,,False,,,False,,False,,0,,,False,,104,,VENKATRAJ V,,,,
,,0.9808,,,0.0192,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-503,,60,,,29,,,10,,,1,,,0,,100,,3.48,,,False,,,False,,False,,0,,,False,,100,,BERGTHORSSON,,U,,
