,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ASSOC PROVOST FOR UG STUDIES,,,,,,,,,,,,,
DEPARTMENT:,AP-UNDERGRAD STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
UGST-492-550,18,2,1,0,0,21,4,0,0,0,0,0,21,WEBB S
,85.71%,9.52%,4.76%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,2,1,0,0,21,4,0,0,0,0,0,21,
,85.71%,9.52%,4.76%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,18,2,1,0,0,21,4,0,0,0,0,0,21,
,85.71%,9.52%,4.76%,0.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,18,2,1,0,0,21,4,0,0,0,0,0,21,
,85.71%,9.52%,4.76%,0.00%,0.00%,,,,,,,,,
