SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPAGNOL G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPAGNOL G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPAGNOL G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPAGNOL G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,248,,,149,,,50,,,10,,9,,,466,3.324,,,2,,,False,False,,,10,,,False,,478,,,
,0.5322,,,0.3197,,,0.1073,,,0.0215,,0.0193,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-931,11,,,0,,,0,,,0,,0,,,11,4.0,,,1,,,False,False,,,0,,,False,,12,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-932,13,,,0,,,0,,,0,,0,,,13,4.0,,,0,,,False,False,,,0,,,False,,13,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-933,3,,,10,,,0,,,0,,0,,,13,3.23,,,0,,,False,False,,,0,,,False,,13,,,
,0.2308,,,0.7692,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,27,,,10,,,0,,,0,,0,,,37,3.729,,,1,,,False,False,,,0,,,False,,38,,,
,0.7297,,,0.2703,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-330-200,8,,,2,,,0,,,0,,0,,,10,3.8,,,0,,,False,False,,,0,,,False,,10,,,
,0.8,,,0.2,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-330-500,38,,,25,,,16,,,8,,2,,,89,3.0,,,0,,,False,False,,,2,,,False,,91,,,
,0.427,,,0.2809,,,0.1798,,,0.0899,,0.0225,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,46,,,27,,,16,,,8,,2,,,99,3.08,,,0,,,False,False,,,2,,,False,,101,,,
,0.4646,,,0.2727,,,0.1616,,,0.0808,,0.0202,,,,,,,,,,,,,,,,,,,,,,
ARCH-331-500,9,,,14,,,8,,,1,,1,,,33,2.878,,,0,,,False,False,,,1,,,False,,34,,,
,0.2727,,,0.4242,,,0.2424,,,0.0303,,0.0303,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,14,,,8,,,1,,1,,,33,2.878,,,0,,,False,False,,,1,,,False,,34,,,
,0.2727,,,0.4242,,,0.2424,,,0.0303,,0.0303,,,,,,,,,,,,,,,,,,,,,,
ARCH-335-500,8,,,19,,,15,,,0,,0,,,42,2.833,,,0,,,False,False,,,0,,,False,,42,,,
,0.1905,,,0.4524,,,0.3571,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,19,,,15,,,0,,0,,,42,2.833,,,0,,,False,False,,,0,,,False,,42,,,
,0.1905,,,0.4524,,,0.3571,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEYONG S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAO CARTAXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAFFEI G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBRIEN M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBRIEN M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICHOLS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HABERL J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
