ARCH-205-901,15,c,d,0,f,0_2,h,0_3,j,0_4,l,m,15_2,o,4.0,q,r,0_5,t,u,0_6,w,0_7,y,z,1,bb,cc,0_8,ee,ff,16,ESQUIVEL J,ii,jj
YOUSIF S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPAGNOL G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEWART Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPAGNOL G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPAGNOL G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,X,,,TOTAL,,INSTRUCTOR,,
ARCH-250-503,,15,,7,,5,,1,,0,,,28,,3.285,,0,,,,False,,,False,1,,,,False,,29,,STEWART Z,,
,,0.5357,,0.25,,0.1786,,0.0357,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-504,,33,,43,,20,,8,,3,,,107,,2.887,,0,,,,False,,,False,8,,,,False,,115,,STEWART Z,,
,,0.3084,,0.4019,,0.1869,,0.0748,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-700,,68,,24,,6,,1,,0,,,99,,3.606,,0,,,,False,,,False,0,,,,False,,99,,CAMPAGNOL G,,
,,0.6869,,0.2424,,0.0606,,0.0101,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-701,,63,,27,,3,,3,,0,,,96,,3.562,,0,,,,False,,,False,3,,,,False,,99,,CAMPAGNOL G,,
,,0.6563,,0.2813,,0.0313,,0.0313,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,301,,142,,53,,16,,3,,,515,,3.401,,0,,,,False,,,False,15,,,,False,,530,,,,
,,0.5845,,0.2757,,0.1029,,0.0311,,0.0058,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-931,,9,,8,,0,,0,,0,,,17,,3.529,,0,,,,False,,,False,0,,,,False,,17,,CATAO CARTAXO,,
,,0.5294,,0.4706,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-932,,5,,7,,1,,0,,2,,,15,,2.866,,0,,,,False,,,False,0,,,,False,,15,,STEWART K,,
,,0.3333,,0.4667,,0.0667,,0.0,,0.1333,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-933,,9,,7,,0,,0,,0,,,16,,3.562,,1,,,,False,,,False,0,,,,False,,17,,JAIN P,,
,,0.5625,,0.4375,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-934,,7,,3,,2,,0,,0,,,12,,3.416,,0,,,,False,,,False,1,,,,False,,13,,LOPEZ DINARDI,M,
,,0.5833,,0.25,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,30,,25,,3,,0,,2,,,60,,3.35,,1,,,,False,,,False,1,,,,False,,62,,,,
,,0.5,,0.4167,,0.05,,0.0,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-317-500,,12,,1,,0,,0,,0,,,13,,3.923,,0,,,,False,,,False,1,,,,True,,15,,ESQUIVEL J,,
,,0.9231,,0.0769,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,1,,0,,0,,0,,,13,,3.923,,0,,,,False,,,False,1,,,,True,,15,,,,
,,0.9231,,0.0769,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-330-200,,6,,2,,0,,0,,0,,,8,,3.75,,0,,,,False,,,False,0,,,,False,,8,,OBRIEN M,,
,,0.75,,0.25,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
