SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,INSTRUCTOR,ll,mm
ARCH-250-200,,5,,0,,0,,0,,,0,,,5,,,4.0,,0,,,,False,,,False,0,,,,,False,,5,,KLEIN N,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-501,,79,,51,,20,,3,,,2,,,155,,,3.303,,0,,,,False,,,False,5,,,,,False,,160,,KLEIN N,,
,,0.5097,,0.329,,0.129,,0.0194,,,0.0129,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,,
ARCH-250-502,,31,,23,,7,,5,,,1,,67,,,,3.164,,0,,,0,,,0,,,1,,,0,,,68,,KLEIN N,,
,,0.4627,,0.3433,,0.1045,,0.0746,,,0.0149,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-503,,22,,30,,14,,4,,,0,,70,,,,3.0,,0,,,0,,,0,,,2,,,0,,,72,,STEWART Z,,
,,0.3143,,0.4286,,0.2,,0.0571,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-700,,76,,12,,5,,1,,,2,,96,,,,3.656,,0,,,0,,,0,,,4,,,0,,,100,,CAMPAGNOL G,,
,,0.7917,,0.125,,0.0521,,0.0104,,,0.0208,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-701,,80,,11,,6,,0,,,0,,97,,,,3.762,,0,,,0,,,0,,,3,,,0,,,100,,CAMPAGNOL G,,
,,0.8247,,0.1134,,0.0619,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,293,,127,,52,,13,,,5,,490,,,,3.408,,0,,,0,,,0,,,15,,,0,,,505,,,,
,,0.598,,0.2592,,0.1061,,0.0265,,,0.0102,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-260-500,,7,,0,,0,,0,,,0,,7,,,,4.0,,0,,,0,,,0,,,1,,,0,,,8,,WARDEN R,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,0,,0,,0,,,0,,7,,,,4.0,,0,,,0,,,0,,,1,,,0,,,8,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-931,,13,,0,,0,,0,,,0,,13,,,,4.0,,0,,,0,,,0,,,0,,,0,,,13,,BABE J,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-932,,15,,2,,0,,0,,,0,,17,,,,3.882,,0,,,0,,,0,,,0,,,0,,,17,,CATAO CARTAXO,,
,,0.8824,,0.1176,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-933,,12,,3,,0,,0,,,0,,15,,,,3.8,,0,,,0,,,0,,,1,,,0,,,16,,VAHDAT ZAD V,,
,,0.8,,0.2,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,40,,5,,0,,0,,,0,,45,,,,3.888,,0,,,0,,,0,,,1,,,0,,,46,,,,
,,0.8889,,0.1111,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-317-500,,12,,2,,0,,0,,,0,,14,,,,3.857,,0,,,0,,,0,,,0,,,0,,,14,,KALANTAR MEHRJARDI,,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
