ARCH-205-901,b,12,d,e,5,g,0,i,0_2,k,l,0_3,n,o,17,q,3.705,s,t,0_4,v,w,x,0_5,z,aa,0_6,cc,dd,0_7,ff,gg,hh,0_8,jj,kk,17_2,mm,TATE,J,pp,qq,rr
ARCH-250-501,,12,,,9,,5,,1,,,1,,,28,,3.071,,,0,,,,False,,,False,,,0,,,,False,,,28,,,,,,
,,0.4286,,,0.3214,,0.1786,,0.0357,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-502,,72,,,65,,14,,4,,,2,,,157,,3.28,,,0,,,,False,,,False,,,9,,,,False,,,166,,,,,,
,,0.4586,,,0.414,,0.0892,,0.0255,,,0.0127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEWART Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,,X    TOTAL,,,,,,,INSTRUCTOR,,,,,
ARCH-250-503,,,17,,9,,2,,1,,,0,,29,,,3.448,,False,,,,False,,,False,,,0,,,,False,,,29,,,STEWART Z,,,,
,,,0.5862,,0.3103,,0.069,,0.0345,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-504,,,35,,25,,12,,5,,,6,,83,,,2.939,,False,,,,False,,,False,,,2,,,,False,,,85,,,STEWART Z,,,,
,,,0.4217,,0.3012,,0.1446,,0.0602,,,0.0723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-700,,,64,,27,,8,,0,,,0,,99,,,3.565,,False,,,,False,,,False,,,1,,,,False,,,100,,,CAMPAGNOL G,,,,
,,,0.6465,,0.2727,,0.0808,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-701,,,63,,24,,10,,0,,,0,,97,,,3.546,,False,,,,False,,,False,,,3,,,,False,,,100,,,CAMPAGNOL G,,,,
,,,0.6495,,0.2474,,0.1031,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,274,,163,,53,,11,,,9,,510,,,3.337,,False,,,,False,,,False,,,16,,,,False,,,526,,,,,,,
,,,0.5373,,0.3196,,0.1039,,0.0216,,,0.0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-931,,,5,,7,,1,,1,,,0,,14,,,3.142,,False,,,,False,,,False,,,1,,,,False,,,15,,,OBRIEN M,,,,
,,,0.3571,,0.5,,0.0714,,0.0714,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-932,,,6,,6,,1,,1,,,0,,14,,,3.214,,False,,,,False,,,False,,,0,,,,False,,,14,,,STEWART K,,,,
,,,0.4286,,0.4286,,0.0714,,0.0714,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-933,,,10,,4,,0,,0,,,0,,14,,,3.714,,False,,,,False,,,False,,,0,,,,False,,,14,,,ERMINY M,,,,
,,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-934,,,5,,5,,0,,0,,,1,,11,,,3.181,,False,,,,False,,,False,,,0,,,,False,,,11,,,HAWKINS A,,,,
,,,0.4545,,0.4545,,0.0,,0.0,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,26,,22,,2,,2,,,1,,53,,,3.32,,False,,,,False,,,False,,,1,,,,False,,,54,,,,,,,
,,,0.4906,,0.4151,,0.0377,,0.0377,,,0.0189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-317-500,,,7,,0,,0,,0,,,0,,7,,,4.0,,False,,,,False,,,False,,,1,,,,False,,,8,,,ESQUIVEL J,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,7,,0,,0,,0,,,0,,7,,,4.0,,False,,,,False,,,False,,,1,,,,False,,,8,,,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-330-200,,,6,,2,,0,,0,,,0,,8,,,3.75,,False,,,,False,,,False,,,0,,,,False,,,8,,,OBRIEN M,,,,
,,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
